Time,Meg
16:45:03:429,61.8931
16:45:03:458,61.9884
16:45:03:475,62.0878
16:45:03:492,62.1888
16:45:03:509,62.2671
16:45:03:529,62.2507
16:45:03:552,62.1592
16:45:03:576,62.102
16:45:03:593,62.0745
16:45:03:611,61.9956
16:45:03:631,61.9747
16:45:03:652,62.2138
16:45:03:671,62.2728
16:45:03:691,62.5417
16:45:03:712,62.6152
16:45:03:731,62.8175
16:45:03:761,63.0149
16:45:03:772,62.9415
16:45:03:792,63.0527
16:45:03:814,62.4382
16:45:03:834,62.1872
16:45:03:865,62.3168
16:45:03:879,62.1722
16:45:03:894,62.0701
16:45:03:914,62.2103
16:45:03:934,62.1048
16:45:03:964,62.3008
16:45:03:978,62.5026
16:45:03:994,62.5803
16:45:04:013,62.6294
16:45:04:033,62.5601
16:45:04:069,62.6552
16:45:04:074,62.6656
16:45:04:093,62.7138
16:45:04:114,62.6945
16:45:04:142,62.5816
16:45:04:155,62.5457
16:45:04:176,62.4641
16:45:04:195,62.3999
16:45:04:215,62.2828
16:45:04:235,62.328
16:45:04:257,62.3338
16:45:04:276,62.3327
16:45:04:295,62.3047
16:45:04:316,62.4208
16:45:04:337,62.4097
16:45:04:356,62.6597
16:45:04:377,62.661
16:45:04:397,62.4679
16:45:04:417,62.2172
16:45:04:437,62.3266
16:45:04:457,62.1493
16:45:04:478,62.1574
16:45:04:498,62.1368
16:45:04:517,61.8601
16:45:04:537,61.9371
16:45:04:558,62.0843
16:45:04:578,62.3702
16:45:04:598,62.3858
16:45:04:622,62.5115
16:45:04:639,62.3173
16:45:04:659,62.3441
16:45:04:679,62.6248
16:45:04:699,62.6565
16:45:04:722,62.7647
16:45:04:740,62.8168
16:45:04:760,62.766
16:45:04:781,62.9551
16:45:04:800,63.2483
16:45:04:821,63.1703
16:45:04:840,63.0986
16:45:04:861,62.8914
16:45:04:881,62.5505
16:45:04:901,62.4686
16:45:04:923,62.5216
16:45:04:941,62.3304
16:45:04:961,62.0977
16:45:04:982,62.2944
16:45:05:003,62.4088
16:45:05:024,62.6012
16:45:05:043,62.9043
16:45:05:063,62.9587
16:45:05:084,62.924
16:45:05:105,63.0308
16:45:05:123,63.1199
16:45:05:143,63.0405
16:45:05:164,62.8399
16:45:05:184,62.822
16:45:05:206,62.6964
16:45:05:223,62.7541
16:45:05:244,62.6561
16:45:05:264,62.3925
16:45:05:286,62.4034
16:45:05:307,62.5531
16:45:05:324,62.5935
16:45:05:345,62.8587
16:45:05:367,63.1265
16:45:05:384,63.1882
16:45:05:406,63.2698
16:45:05:453,63.4877
16:45:05:455,63.5092
16:45:05:466,63.3726
16:45:05:487,63.3988
16:45:05:507,63.1946
16:45:05:527,63.1999
16:45:05:547,62.931
16:45:05:569,63.0777
16:45:05:586,63.0223
16:45:05:606,62.8319
16:45:05:627,62.8237
16:45:05:649,62.9067
16:45:05:670,62.9369
16:45:05:690,62.9066
16:45:05:710,62.9726
16:45:05:730,63.0693
16:45:05:750,63.2479
16:45:05:770,63.5727
16:45:05:790,63.4815
16:45:05:812,63.5768
16:45:05:831,63.6127
16:45:05:850,63.7032
16:45:05:871,63.662
16:45:05:892,63.6682
16:45:05:912,63.6132
16:45:05:931,63.7751
16:45:05:950,64.1024
16:45:05:972,64.0688
16:45:05:993,64.4257
16:45:06:013,64.4705
16:45:06:033,64.9285
16:45:06:053,65.0773
16:45:06:072,65.2343
16:45:06:093,65.1804
16:45:06:113,65.3549
16:45:06:133,65.19
16:45:06:153,65.3766
16:45:06:174,65.2762
16:45:06:193,65.2614
16:45:06:214,65.4633
16:45:06:234,65.3627
16:45:06:254,65.4585
16:45:06:274,65.3682
16:45:06:296,65.0969
16:45:06:313,64.8364
16:45:06:334,64.6544
16:45:06:354,64.4909
16:45:06:374,64.2085
16:45:06:394,64.2519
16:45:06:414,64.0506
16:45:06:434,63.9797
16:45:06:455,64.2338
16:45:06:474,64.2035
16:45:06:494,64.0394
16:45:06:514,63.8714
16:45:06:534,63.8888
16:45:06:555,63.8507
16:45:06:576,63.8453
16:45:06:597,63.8174
16:45:06:615,63.5903
16:45:06:637,63.491
16:45:06:656,63.5643
16:45:06:676,63.6577
16:45:06:696,63.5968
16:45:06:718,63.6107
16:45:06:736,63.596
16:45:06:756,63.2361
16:45:06:776,63.1187
16:45:06:796,62.8886
16:45:06:816,62.6112
16:45:06:837,62.5074
16:45:06:857,62.3883
16:45:06:877,62.197
16:45:06:897,62.1257
16:45:06:917,62.0488
16:45:06:937,61.981
16:45:06:957,61.8764
16:45:06:979,61.911
16:45:06:998,61.4811
16:45:07:018,61.2254
16:45:07:039,60.9988
16:45:07:059,60.6674
16:45:07:079,60.5411
16:45:07:099,60.3251
16:45:07:122,60.2797
16:45:07:140,60.1143
16:45:07:159,60.1606
16:45:07:180,60.0988
16:45:07:200,59.9344
16:45:07:220,59.8273
16:45:07:240,59.7193
16:45:07:260,59.6302
16:45:07:281,59.5926
16:45:07:301,59.5024
16:45:07:321,59.6048
16:45:07:342,59.7499
16:45:07:361,59.5921
16:45:07:381,59.6285
16:45:07:402,59.6243
16:45:07:422,59.5794
16:45:07:483,59.3532
16:45:07:487,59.26
16:45:07:489,58.9032
16:45:07:502,58.4965
16:45:07:522,58.499
16:45:07:542,58.156
16:45:07:563,57.9335
16:45:07:583,57.6462
16:45:07:603,57.484
16:45:07:623,57.2556
16:45:07:644,57.0359
16:45:07:664,56.8954
16:45:07:685,56.7412
16:45:07:705,56.753
16:45:07:724,56.551
16:45:07:745,56.5199
16:45:07:765,56.2691
16:45:07:785,56.1756
16:45:07:805,56.1271
16:45:07:825,56.0367
16:45:07:845,55.9316
16:45:07:865,55.7867
16:45:07:886,55.8354
16:45:07:906,55.5585
16:45:07:926,55.4782
16:45:07:946,55.2441
16:45:07:966,55.1069
16:45:07:987,54.9004
16:45:08:006,54.8222
16:45:08:028,54.5232
16:45:08:047,54.3281
16:45:08:068,54.3466
16:45:08:088,54.2774
16:45:08:108,54.0952
16:45:08:128,54.1909
16:45:08:149,53.8873
16:45:08:168,53.6697
16:45:08:190,53.7039
16:45:08:208,53.4206
16:45:08:229,53.2534
16:45:08:249,53.0181
16:45:08:269,52.996
16:45:08:289,52.8096
16:45:08:309,52.8435
16:45:08:330,52.7681
16:45:08:350,52.6782
16:45:08:370,52.8638
16:45:08:389,52.7537
16:45:08:410,52.7141
16:45:08:430,52.7953
16:45:08:451,52.8159
16:45:08:471,52.9308
16:45:08:491,52.8678
16:45:08:511,52.8133
16:45:08:532,52.5981
16:45:08:553,52.4847
16:45:08:571,52.5414
16:45:08:592,52.4219
16:45:08:613,52.0753
16:45:08:633,51.9372
16:45:08:654,51.8525
16:45:08:675,51.8843
16:45:08:694,51.8071
16:45:08:714,51.633
16:45:08:733,51.3564
16:45:08:754,51.4523
16:45:08:773,51.3957
16:45:08:794,51.4106
16:45:08:813,51.2119
16:45:08:834,51.1304
16:45:08:854,51.1121
16:45:08:874,51.2212
16:45:08:894,51.3015
16:45:08:914,51.1767
16:45:08:934,51.2566
16:45:08:954,51.1197
16:45:08:974,51.0338
16:45:08:998,50.9833
16:45:09:018,51.0803
16:45:09:038,50.8847
16:45:09:060,50.7805
16:45:09:078,50.7785
16:45:09:101,50.4724
16:45:09:120,50.2473
16:45:09:139,50.234
16:45:09:158,50.1002
16:45:09:180,49.9642
16:45:09:199,49.9927
16:45:09:219,49.8868
16:45:09:238,49.5412
16:45:09:258,49.5569
16:45:09:279,49.3366
16:45:09:297,49.4557
16:45:09:320,49.4204
16:45:09:338,49.2827
16:45:09:361,49.0806
16:45:09:379,49.1094
16:45:09:398,49.1199
16:45:09:419,48.9794
16:45:09:439,49.0688
16:45:09:494,48.8469
16:45:09:499,48.7667
16:45:09:501,48.9501
16:45:09:519,48.7633
16:45:09:539,48.576
16:45:09:559,48.5817
16:45:09:581,48.5893
16:45:09:600,48.6005
16:45:09:620,48.5302
16:45:09:640,48.528
16:45:09:661,48.3375
16:45:09:681,48.2499
16:45:09:701,48.2686
16:45:09:721,48.159
16:45:09:742,48.0805
16:45:09:762,48.0634
16:45:09:782,48.0555
16:45:09:802,47.8806
16:45:09:822,47.721
16:45:09:842,47.6967
16:45:09:862,47.5367
16:45:09:882,47.6559
16:45:09:902,47.7631
16:45:09:923,47.8112
16:45:09:945,47.7429
16:45:09:963,47.7008
16:45:09:983,47.6459
16:45:10:005,47.6587
16:45:10:024,47.8043
16:45:10:044,47.6536
16:45:10:070,47.4274
16:45:10:084,47.3827
16:45:10:106,47.4319
16:45:10:124,47.4599
16:45:10:145,47.6257
16:45:10:165,47.8204
16:45:10:186,47.7039
16:45:10:205,47.7759
16:45:10:225,47.7988
16:45:10:245,47.661
16:45:10:265,47.6551
16:45:10:285,47.7145
16:45:10:308,47.5967
16:45:10:326,47.5638
16:45:10:347,47.6222
16:45:10:368,47.7094
16:45:10:387,47.904
16:45:10:406,48.1054
16:45:10:427,48.3407
16:45:10:447,48.2794
16:45:10:467,48.3407
16:45:10:487,48.2958
16:45:10:508,48.436
16:45:10:528,48.3346
16:45:10:548,48.3276
16:45:10:568,48.564
16:45:10:588,48.561
16:45:10:608,48.7297
16:45:10:628,48.7813
16:45:10:649,48.919
16:45:10:668,48.9481
16:45:10:689,49.1578
16:45:10:710,49.2956
16:45:10:730,49.1089
16:45:10:749,48.9152
16:45:10:770,48.9266
16:45:10:789,48.914
16:45:10:810,48.8823
16:45:10:830,49.1154
16:45:10:850,49.0905
16:45:10:870,49.1441
16:45:10:890,49.2652
16:45:10:910,49.4397
16:45:10:932,49.5758
16:45:10:951,49.86
16:45:10:972,50.0861
16:45:10:991,50.0682
16:45:11:012,50.0817
16:45:11:032,50.111
16:45:11:053,50.3782
16:45:11:074,50.2857
16:45:11:095,50.2857
16:45:11:114,50.4434
16:45:11:134,50.621
16:45:11:154,50.8661
16:45:11:173,50.921
16:45:11:193,50.8348
16:45:11:214,50.8554
16:45:11:233,51.0688
16:45:11:253,51.0363
16:45:11:273,51.0368
16:45:11:294,50.9474
16:45:11:314,50.9504
16:45:11:334,51.1905
16:45:11:354,51.3807
16:45:11:374,51.4665
16:45:11:394,51.706
16:45:11:414,51.9051
16:45:11:435,51.8859
16:45:11:455,52.0044
16:45:11:496,52.126
16:45:11:498,52.058
16:45:11:516,52.1036
16:45:11:536,52.3587
16:45:11:556,52.3452
16:45:11:575,52.3623
16:45:11:596,52.4425
16:45:11:616,52.4173
16:45:11:637,52.5419
16:45:11:656,52.6907
16:45:11:677,52.7642
16:45:11:697,52.9108
16:45:11:717,53.0812
16:45:11:737,53.3355
16:45:11:757,53.5151
16:45:11:778,53.7028
16:45:11:798,53.7756
16:45:11:818,53.9563
16:45:11:838,54.2381
16:45:11:859,54.2626
16:45:11:879,54.4497
16:45:11:899,54.5537
16:45:11:919,54.5612
16:45:11:939,54.7062
16:45:11:960,54.6357
16:45:11:979,54.5952
16:45:12:000,54.4728
16:45:12:021,54.6601
16:45:12:040,54.7109
16:45:12:060,54.6032
16:45:12:080,54.5813
16:45:12:100,54.6528
16:45:12:120,54.7529
16:45:12:140,54.9259
16:45:12:160,55.0184
16:45:12:181,54.8007
16:45:12:201,54.7758
16:45:12:221,54.8478
16:45:12:246,55.1673
16:45:12:262,55.1656
16:45:12:285,55.244
16:45:12:306,55.3064
16:45:12:325,55.4401
16:45:12:346,55.6957
16:45:12:362,55.7592
16:45:12:386,55.7116
16:45:12:407,55.4758
16:45:12:427,55.6332
16:45:12:446,55.6757
16:45:12:466,55.7621
16:45:12:486,55.8968
16:45:12:508,55.9357
16:45:12:527,55.8041
16:45:12:546,56.0309
16:45:12:569,56.1613
16:45:12:587,56.1825
16:45:12:607,56.24
16:45:12:627,56.071
16:45:12:648,55.9086
16:45:12:669,56.0059
16:45:12:688,56.2599
16:45:12:708,56.2769
16:45:12:728,56.2417
16:45:12:746,56.1368
16:45:12:769,56.2617
16:45:12:787,56.2323
16:45:12:808,56.373
16:45:12:827,56.2558
16:45:12:847,56.312
16:45:12:867,56.3158
16:45:12:888,56.4183
16:45:12:907,56.5413
16:45:12:927,56.3885
16:45:12:948,56.402
16:45:12:968,56.3149
16:45:12:988,56.2725
16:45:13:008,56.0717
16:45:13:028,55.9199
16:45:13:048,55.8877
16:45:13:069,55.8733
16:45:13:089,55.9014
16:45:13:109,55.8498
16:45:13:129,55.9697
16:45:13:149,55.8682
16:45:13:169,55.7862
16:45:13:189,55.642
16:45:13:210,55.5533
16:45:13:230,55.3343
16:45:13:250,55.3523
16:45:13:270,55.1801
16:45:13:291,54.7895
16:45:13:310,54.8595
16:45:13:331,55.0754
16:45:13:352,55.0776
16:45:13:372,55.0671
16:45:13:392,55.1101
16:45:13:412,54.9469
16:45:13:432,55.1121
16:45:13:452,55.1764
16:45:13:473,55.1471
16:45:13:518,54.9242
16:45:13:522,54.7924
16:45:13:533,54.6173
16:45:13:553,54.5696
16:45:13:573,54.2955
16:45:13:594,54.1611
16:45:13:615,53.9218
16:45:13:634,53.3943
16:45:13:654,53.2056
16:45:13:674,53.2386
16:45:13:694,53.0433
16:45:13:714,52.9945
16:45:13:734,53.111
16:45:13:754,53.0916
16:45:13:774,53.1059
16:45:13:794,53.2672
16:45:13:814,53.3813
16:45:13:835,53.2553
16:45:13:855,53.2819
16:45:13:875,52.8025
16:45:13:895,52.3637
16:45:13:915,52.2864
16:45:13:936,52.1138
16:45:13:956,51.7632
16:45:13:976,51.6161
16:45:13:996,51.4218
16:45:14:016,51.0628
16:45:14:037,50.9655
16:45:14:056,50.914
16:45:14:077,50.6726
16:45:14:097,50.5794
16:45:14:117,50.5971
16:45:14:137,50.3494
16:45:14:157,50.3086
16:45:14:177,50.2033
16:45:14:198,50.2127
16:45:14:218,50.1957
16:45:14:238,50.0658
16:45:14:259,49.8129
16:45:14:278,49.7174
16:45:14:299,49.7176
16:45:14:319,49.3211
16:45:14:339,49.2974
16:45:14:360,49.2589
16:45:14:380,48.8505
16:45:14:400,48.8162
16:45:14:420,48.7031
16:45:14:440,48.4855
16:45:14:460,48.337
16:45:14:480,48.3619
16:45:14:500,48.2457
16:45:14:521,48.1199
16:45:14:541,48.1866
16:45:14:561,47.9917
16:45:14:581,47.8955
16:45:14:601,47.6255
16:45:14:622,47.3991
16:45:14:642,47.2462
16:45:14:662,46.9457
16:45:14:682,46.7013
16:45:14:702,46.6547
16:45:14:722,46.5273
16:45:14:742,46.4058
16:45:14:763,46.643
16:45:14:783,46.6926
16:45:14:803,46.4838
16:45:14:824,46.6288
16:45:14:844,46.4607
16:45:14:863,46.3969
16:45:14:883,46.3769
16:45:14:904,46.3688
16:45:14:924,46.2211
16:45:14:943,45.9515
16:45:14:964,45.881
16:45:14:984,45.7772
16:45:15:005,45.7584
16:45:15:025,45.5977
16:45:15:045,45.3747
16:45:15:065,45.1306
16:45:15:085,44.9507
16:45:15:105,44.9051
16:45:15:126,45.043
