Time,Meg
17:08:52:729,43.4136
17:08:52:748,43.2894
17:08:52:768,43.3449
17:08:52:789,43.2238
17:08:52:808,43.1522
17:08:52:831,43.1791
17:08:52:849,43.1265
17:08:52:875,43.0248
17:08:52:890,42.9864
17:08:52:909,42.9181
17:08:52:930,42.6818
17:08:52:950,42.4795
17:08:52:981,42.3885
17:08:52:990,42.5062
17:08:53:010,42.2424
17:08:53:030,42.1437
17:08:53:051,42.0783
17:08:53:084,42.0612
17:08:53:092,41.9334
17:08:53:114,42.0745
17:08:53:131,42.0584
17:08:53:152,41.9444
17:08:53:184,41.9359
17:08:53:192,41.7482
17:08:53:218,41.5906
17:08:53:233,41.5955
17:08:53:253,41.5939
17:08:53:285,41.5806
17:08:53:293,41.4173
17:08:53:317,41.0338
17:08:53:334,41.0514
17:08:53:353,41.2295
17:08:53:377,41.1529
17:08:53:396,41.1041
17:08:53:415,41.0835
17:08:53:435,41.0951
17:08:53:456,41.0395
17:08:53:478,40.9149
17:08:53:497,40.629
17:08:53:516,40.4633
17:08:53:536,40.3993
17:08:53:560,40.307
17:08:53:576,40.0458
17:08:53:599,39.9838
17:08:53:617,39.993
17:08:53:636,39.8256
17:08:53:657,39.9358
17:08:53:678,40.1882
17:08:53:698,40.1728
17:08:53:717,40.2093
17:08:53:737,40.3881
17:08:53:757,40.6568
17:08:53:779,40.8961
17:08:53:797,41.1942
17:08:53:817,41.5409
17:08:53:836,41.5235
17:08:53:858,41.5713
17:08:53:878,41.7566
17:08:53:898,42.0436
17:08:53:918,41.8472
17:08:53:937,42.0589
17:08:53:958,42.3187
17:08:53:979,42.2832
17:08:53:998,42.6205
17:08:54:018,43.1049
17:08:54:038,43.4572
17:08:54:059,43.6365
17:08:54:082,44.229
17:08:54:099,44.4076
17:08:54:120,44.5491
17:08:54:143,45.0488
17:08:54:161,45.3468
17:08:54:180,45.4151
17:08:54:200,45.5988
17:08:54:220,45.9283
17:08:54:244,45.9869
17:08:54:260,46.2274
17:08:54:280,46.4176
17:08:54:301,46.3038
17:08:54:321,46.4445
17:08:54:345,46.6507
17:08:54:362,46.7464
17:08:54:382,46.7075
17:08:54:402,46.7446
17:08:54:421,46.8734
17:08:54:445,46.8258
17:08:54:462,46.8675
17:08:54:482,46.7586
17:08:54:503,46.7872
17:08:54:522,46.712
17:08:54:543,46.7483
17:08:54:563,46.7807
17:08:54:584,46.7268
17:08:54:604,46.6932
17:08:54:623,46.8035
17:08:54:644,46.9267
17:08:54:664,46.9593
17:08:54:721,47.137
17:08:54:723,47.091
17:08:54:725,47.1706
17:08:54:745,47.209
17:08:54:765,47.38
17:08:54:787,47.3546
17:08:54:805,47.2456
17:08:54:826,47.2397
17:08:54:846,47.3095
17:08:54:866,47.2637
17:08:54:886,47.3313
17:08:54:906,47.4572
17:08:54:926,47.4956
17:08:54:947,47.3756
17:08:54:966,47.5655
17:08:54:987,47.5718
17:08:55:007,47.5755
17:08:55:027,47.7352
17:08:55:048,47.9082
17:08:55:067,47.7291
17:08:55:087,47.8205
17:08:55:108,48.2167
17:08:55:128,48.3198
17:08:55:149,48.413
17:08:55:168,48.5529
17:08:55:188,48.8746
17:08:55:208,48.7788
17:08:55:228,49.1498
17:08:55:248,49.3953
17:08:55:269,49.436
17:08:55:289,49.7098
17:08:55:309,49.8784
17:08:55:330,49.908
17:08:55:349,49.8529
17:08:55:371,50.1187
17:08:55:391,49.8832
17:08:55:411,49.8714
17:08:55:430,49.7807
17:08:55:450,49.4901
17:08:55:471,49.4805
17:08:55:490,49.5002
17:08:55:512,49.5215
17:08:55:532,49.6415
17:08:55:552,49.8306
17:08:55:575,49.7892
17:08:55:592,50.0187
17:08:55:612,50.1029
17:08:55:632,50.3535
17:08:55:652,50.4983
17:08:55:672,50.6699
17:08:55:693,50.6298
17:08:55:712,50.6163
17:08:55:733,50.6736
17:08:55:752,50.6758
17:08:55:773,50.9424
17:08:55:793,50.8585
17:08:55:813,51.0047
17:08:55:834,51.0389
17:08:55:853,51.2251
17:08:55:874,51.4925
17:08:55:894,51.7287
17:08:55:915,51.5941
17:08:55:934,51.613
17:08:55:955,51.8795
17:08:55:975,52.0902
17:08:55:995,52.2102
17:08:56:018,52.435
17:08:56:037,52.6349
17:08:56:057,53.1096
17:08:56:077,53.5826
17:08:56:097,53.7956
17:08:56:117,53.997
17:08:56:137,54.4254
17:08:56:157,54.672
17:08:56:176,54.9583
17:08:56:197,55.0883
17:08:56:217,55.2182
17:08:56:237,55.1707
17:08:56:257,55.3688
17:08:56:277,55.4335
17:08:56:298,55.371
17:08:56:317,55.4548
17:08:56:338,55.6008
17:08:56:358,55.8412
17:08:56:378,56.0806
17:08:56:398,56.3176
17:08:56:419,56.4242
17:08:56:439,56.6244
17:08:56:459,56.8636
17:08:56:479,57.0452
17:08:56:499,57.155
17:08:56:519,57.2728
17:08:56:540,57.4356
17:08:56:560,57.5749
17:08:56:581,57.7181
17:08:56:600,57.778
17:08:56:620,57.9073
17:08:56:640,57.9613
17:08:56:660,57.9718
17:08:56:680,57.9656
17:08:56:741,58.0128
17:08:56:743,58.165
17:08:56:745,58.1316
17:08:56:761,58.2636
17:08:56:781,58.3873
17:08:56:801,58.5424
17:08:56:821,58.6641
17:08:56:842,58.8596
17:08:56:862,58.8983
17:08:56:883,59.0097
17:08:56:905,59.3188
17:08:56:922,59.3772
17:08:56:947,59.4271
17:08:56:966,59.6624
17:08:56:983,59.94
17:08:57:004,60.0391
17:08:57:026,60.2112
17:08:57:048,60.2936
17:08:57:068,60.1996
17:08:57:087,60.4364
17:08:57:107,60.4437
17:08:57:127,60.3436
17:08:57:146,60.1277
