Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
17:12:38:861,480,-74,485,-98,121,-99,,,,
17:12:40:879,480,-74,485,-98,121,-99,,,,
17:12:42:894,480,-74,485,-98,121,-99,,,,
17:12:44:912,480,-74,485,-98,121,-99,,,,
17:12:46:938,480,-74,485,-98,121,-99,,,,
17:12:48:958,480,-74,485,-98,121,-99,,,,
17:12:50:964,480,-74,485,-98,121,-99,,,,
17:12:52:979,480,-74,485,-98,121,-99,,,,
17:12:54:995,480,-74,485,-98,121,-99,,,,
17:12:57:015,480,-74,485,-98,121,-99,,,,
17:12:59:029,480,-74,485,-98,121,-99,,,,
17:13:01:046,480,-74,485,-98,121,-99,,,,
17:13:03:061,480,-74,485,-98,121,-99,,,,
17:13:05:079,480,-74,485,-98,121,-99,,,,
17:13:07:098,480,-74,485,-98,121,-99,,,,
17:13:09:114,480,-74,485,-98,121,-99,,,,
17:13:11:129,480,-74,485,-98,121,-99,,,,
17:13:13:149,480,-74,485,-98,121,-99,,,,
17:13:15:162,480,-74,485,-98,121,-99,,,,
17:13:17:178,480,-74,485,-98,121,-99,,,,
17:13:19:198,480,-74,485,-98,121,-99,,,,
17:13:21:214,480,-74,485,-98,121,-99,,,,
17:13:23:229,480,-74,485,-98,121,-99,,,,
17:13:25:245,480,-74,485,-98,121,-99,,,,
