Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
17:17:00:082,480,-74,485,-98,121,-99,,,,
17:17:02:094,480,-74,485,-98,121,-99,,,,
17:17:04:124,480,-74,485,-98,121,-99,,,,
17:17:06:130,480,-74,485,-98,121,-99,,,,
17:17:08:161,480,-74,485,-98,121,-99,,,,
17:17:10:160,480,-74,485,-98,121,-99,,,,
17:17:12:179,480,-74,485,-98,121,-99,,,,
17:17:14:194,480,-74,485,-98,121,-99,,,,
17:17:16:214,480,-74,485,-98,121,-99,,,,
17:17:18:234,480,-74,485,-98,121,-99,,,,
17:17:20:275,480,-74,485,-98,121,-99,,,,
17:17:22:261,480,-74,485,-98,121,-99,,,,
17:17:24:278,480,-74,485,-98,121,-99,,,,
17:17:26:295,480,-74,485,-98,121,-99,,,,
17:17:28:315,480,-74,485,-98,121,-99,,,,
17:17:30:328,480,-74,485,-98,121,-99,,,,
17:17:32:345,480,-74,485,-98,121,-99,,,,
17:17:34:362,480,-74,485,-98,121,-99,,,,
17:17:36:379,480,-74,485,-98,121,-99,,,,
17:17:38:395,480,-74,485,-98,121,-99,,,,
17:17:40:413,480,-74,485,-98,121,-99,,,,
17:17:42:429,480,-74,485,-98,121,-99,,,,
17:17:44:445,480,-74,485,-98,121,-99,,,,
17:17:46:461,480,-74,485,-98,121,-99,,,,
17:17:48:479,480,-74,485,-98,121,-99,,,,
