Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
17:22:58:564,471,,47,,473,-99.0,479,,31,
17:23:00:562,471,,47,,473,,479,,31,
17:23:02:560,471,,47,,473,,479,,31,
17:23:04:569,471,-73.0,47,,473,,479,,31,
17:23:06:576,471,-73.0,47,,473,,479,,31,
17:23:08:561,471,-73.0,47,,473,,479,,31,
17:23:10:562,471,-73.0,47,,473,,479,,31,
17:23:12:562,471,-73.0,47,,473,,479,,31,
17:23:14:561,471,-73.0,47,,473,,479,,31,
17:23:16:561,471,-73.0,47,,473,,479,,31,
17:23:18:562,471,-73.0,47,,473,,479,,31,
17:23:20:561,471,-73.0,47,,473,,479,,31,
17:23:22:560,471,-73.0,47,,473,,479,,31,
17:23:24:561,471,-73.0,47,,473,,479,,31,
17:23:26:561,471,-73.0,47,,473,,479,,31,
17:23:28:561,471,-73.0,47,,473,,479,,31,
17:23:30:561,471,-73.0,47,,473,,479,,31,
17:23:32:560,471,-73.0,47,,473,,479,,31,
17:23:34:561,471,-73.0,47,,473,,479,,31,
17:23:36:562,471,-73.0,47,,473,,479,,31,
17:23:38:561,471,-73.0,47,,473,,479,,31,
17:23:40:561,471,-73.0,47,,473,,479,,31,
17:23:42:561,471,-73.0,47,,473,,479,,31,
17:23:44:561,471,-73.0,47,,473,,479,,31,
17:23:46:561,471,-73.0,47,,473,,479,,31,
17:23:48:560,471,-73.0,47,,473,,479,,31,
17:23:50:561,471,-73.0,47,,473,,479,,31,
17:23:52:560,471,-73.0,47,,473,,479,,31,
17:23:54:561,471,-73.0,47,,473,,479,,31,
17:23:56:560,471,,47,,473,,479,,31,
17:23:58:559,471,,47,,473,-94.0,479,,31,
17:24:00:560,471,-72.0,47,,473,-91.0,479,-118.0,31,
17:24:02:561,471,-72.0,47,,473,-91.0,479,-118.0,31,
17:24:04:560,471,,47,,473,,479,,31,
17:24:06:560,471,,47,,473,,479,,31,
17:24:08:561,471,,47,,473,,479,,31,
17:24:10:560,471,,47,,473,,479,,31,
17:24:12:559,471,,47,,473,,479,,31,
17:24:14:560,471,,47,,473,,479,,31,
17:24:16:560,471,,47,,473,,479,,31,
17:24:18:560,471,,47,,473,,479,,31,
17:24:20:561,471,,47,,473,,479,,31,
17:24:22:560,471,,47,,473,,479,,31,
17:24:24:561,471,,47,,473,,479,,31,
17:24:26:562,471,,47,,473,,479,,31,
17:24:28:560,471,,47,,473,,479,,31,
17:24:30:560,471,,47,,473,,479,,31,
17:24:32:562,471,,47,,473,,479,,31,
17:24:34:560,471,,47,,473,,479,,31,
17:24:36:560,471,,47,,473,,479,,31,
17:24:38:561,471,,47,,473,,479,,31,
17:24:40:560,471,,47,,473,,479,,31,
17:24:42:560,471,,47,,473,,479,,31,
17:24:44:560,471,,47,,473,,479,,31,
17:24:46:560,471,,47,,473,,479,,31,
17:24:48:561,471,,47,,473,,479,,31,
17:24:50:561,471,,47,,473,,479,,31,
17:24:52:561,471,,47,,473,,479,-108.0,31,
17:24:54:562,471,-79.0,47,,473,,479,-109.0,31,
17:24:56:560,471,-79.0,47,,473,,479,-109.0,31,
17:24:58:562,471,,47,,473,,479,,31,
17:25:00:561,471,,47,,473,,479,,31,
