Time,Meg
17:36:15:541,72.1912
17:36:15:541,71.0315
17:36:15:542,71.3856
17:36:15:549,70.3187
17:36:15:572,70.9546
17:36:15:586,72.3047
17:36:15:605,70.5592
17:36:15:625,72.5318
17:36:15:647,71.8205
17:36:15:666,71.9106
17:36:15:685,72.6139
17:36:15:705,71.8965
17:36:15:726,70.6442
17:36:15:746,72.5317
17:36:15:766,71.6746
17:36:15:785,71.75
17:36:15:806,72.1392
17:36:15:826,73.4024
17:36:15:847,71.8524
17:36:15:868,72.4445
17:36:15:887,71.8524
17:36:15:907,71.6224
17:36:15:927,73.2117
17:36:15:947,71.387
17:36:15:973,73.3316
17:36:15:986,74.3116
17:36:16:005,71.6746
17:36:16:026,72.8358
17:36:16:048,71.6746
17:36:16:069,72.5771
17:36:16:088,73.2116
17:36:16:107,72.0114
17:36:16:126,70.9166
17:36:16:146,72.7666
17:36:16:169,73.6445
17:36:16:190,72.1392
17:36:16:205,72.9863
17:36:16:226,72.0574
17:36:16:246,71.0165
17:36:16:270,72.0574
17:36:16:286,70.865
17:36:16:306,72.0114
17:36:16:328,73.3316
17:36:16:348,72.1148
17:36:16:370,74.2022
17:36:16:395,71.7372
17:36:16:408,73.1928
17:36:16:428,73.6078
17:36:16:447,73.2117
17:36:16:468,71.137
17:36:16:488,73.2467
17:36:16:506,72.734
17:36:16:529,73.9677
17:36:16:547,72.4623
17:36:16:567,72.9704
17:36:16:587,72.8868
17:36:16:610,74.8048
17:36:16:643,72.609
17:36:16:651,72.5771
17:36:16:664,72.5771
17:36:16:684,69.6679
17:36:16:704,73.0977
17:36:16:724,72.2296
17:36:16:746,73.1064
17:36:16:769,71.9672
17:36:16:787,73.8351
17:36:16:806,72.0114
17:36:16:829,72.3646
17:36:16:852,72.9607
17:36:16:865,72.8263
17:36:16:886,71.2258
17:36:16:908,72.3646
17:36:16:931,72.7063
17:36:16:948,71.2694
17:36:16:967,71.6015
17:36:16:987,71.4949
17:36:17:007,71.862
17:36:17:028,73.8109
17:36:17:047,71.8309
17:36:17:066,71.4641
17:36:17:086,70.9929
17:36:17:106,72.8868
17:36:17:126,72.3646
17:36:17:149,71.4738
17:36:17:167,71.2694
17:36:17:188,73.9677
17:36:17:207,71.3626
17:36:17:230,72.3432
17:36:17:248,73.8315
17:36:17:271,71.7092
17:36:17:289,72.8556
17:36:17:309,73.0681
17:36:17:329,72.734
17:36:17:350,73.0977
17:36:17:367,73.2467
17:36:17:386,72.3646
17:36:17:409,71.862
17:36:17:427,71.2694
17:36:17:447,72.734
17:36:17:467,72.0698
17:36:17:613,72.6142
17:36:17:614,73.2104
17:36:17:614,73.4078
17:36:17:615,72.5091
17:36:17:615,73.0168
17:36:17:616,70.8904
17:36:17:617,73.2695
17:36:17:629,72.2869
17:36:17:650,73.6048
17:36:17:665,73.4078
17:36:17:685,72.312
17:36:17:709,73.0599
17:36:17:728,74.1055
17:36:17:748,73.0104
17:36:17:770,72.4488
17:36:17:785,72.7139
17:36:17:810,73.5389
17:36:17:829,71.8942
17:36:17:848,72.3173
17:36:17:866,71.4723
17:36:17:885,72.8563
17:36:17:906,72.975
17:36:17:927,73.4108
17:36:17:946,72.6519
17:36:17:967,71.7812
17:36:17:986,73.6202
17:36:18:008,71.2673
17:36:18:028,73.5326
17:36:18:048,73.448
17:36:18:068,73.2219
17:36:18:085,72.9855
17:36:18:111,72.3656
17:36:18:128,71.8123
17:36:18:148,72.9941
17:36:18:167,71.945
17:36:18:185,70.7586
17:36:18:207,72.1363
17:36:18:226,71.9372
17:36:18:246,70.5231
17:36:18:265,71.357
17:36:18:288,70.7727
17:36:18:306,71.6051
17:36:18:326,70.7727
17:36:18:347,72.2854
17:36:18:367,71.3633
17:36:18:390,71.1425
17:36:18:408,71.357
17:36:18:425,71.6242
17:36:18:447,70.9473
17:36:18:465,71.2267
17:36:18:486,71.7471
17:36:18:505,71.6618
17:36:18:529,71.7913
17:36:18:547,70.1053
17:36:18:565,69.8056
17:36:18:584,71.4471
17:36:18:605,69.1107
17:36:18:627,69.1189
17:36:18:659,70.7782
17:36:18:664,68.8267
17:36:18:685,69.3851
17:36:18:706,68.6786
17:36:18:724,69.7262
17:36:18:744,67.9039
17:36:18:767,68.0999
17:36:18:787,67.9497
17:36:18:812,67.6624
17:36:18:827,67.8176
17:36:18:844,68.5823
17:36:18:865,68.3164
17:36:18:885,67.5629
17:36:18:908,66.8153
17:36:18:925,67.8012
17:36:18:947,67.2235
17:36:18:971,66.2348
17:36:18:990,67.3973
17:36:19:007,68.5209
17:36:19:027,65.8028
17:36:19:045,65.4561
17:36:19:067,66.1034
17:36:19:087,65.0022
17:36:19:111,63.8716
17:36:19:130,65.0022
17:36:19:150,64.5164
17:36:19:164,64.1465
17:36:19:185,63.7069
17:36:19:207,64.5288
17:36:19:224,64.0335
17:36:19:244,62.7385
17:36:19:265,63.9656
17:36:19:287,63.5508
17:36:19:307,63.6517
17:36:19:328,64.7837
17:36:19:345,63.4562
17:36:19:367,65.0953
17:36:19:386,63.8716
17:36:19:408,61.9684
17:36:19:425,62.5245
17:36:19:444,63.2373
17:36:19:463,61.8873
17:36:19:486,63.1472
17:36:19:510,62.0825
17:36:19:624,61.7109
17:36:19:625,62.5337
17:36:19:626,59.7707
17:36:19:627,58.9374
17:36:19:628,60.3733
17:36:19:629,60.9568
17:36:19:643,62.3272
17:36:19:665,58.6682
17:36:19:684,59.6515
17:36:19:704,59.6151
17:36:19:725,59.3118
17:36:19:745,59.0049
17:36:19:764,59.0873
17:36:19:790,57.2165
17:36:19:806,58.8683
17:36:19:824,59.3119
17:36:19:844,56.7571
17:36:19:869,57.6797
17:36:19:885,56.3811
17:36:19:906,55.2055
17:36:19:927,55.9003
17:36:19:949,54.5461
17:36:19:971,57.0845
17:36:19:984,55.1549
17:36:20:004,55.2055
17:36:20:027,54.6847
17:36:20:044,55.678
17:36:20:067,56.4838
17:36:20:086,56.4838
17:36:20:106,56.66
17:36:20:123,54.911
17:36:20:145,56.4745
17:36:20:168,54.1174
17:36:20:186,56.0348
17:36:20:206,53.0731
17:36:20:224,54.5651
17:36:20:247,56.2364
17:36:20:270,53.9641
17:36:20:286,52.8617
17:36:20:305,53.5429
17:36:20:325,52.8398
17:36:20:349,55.8901
17:36:20:365,53.594
17:36:20:387,55.6673
17:36:20:404,56.9599
17:36:20:425,58.3428
17:36:20:444,57.3374
17:36:20:467,57.1407
17:36:20:483,57.4519
17:36:20:503,57.1407
17:36:20:524,57.9524
17:36:20:545,56.4144
17:36:20:568,57.7485
17:36:20:586,58.9573
17:36:20:607,56.5623
17:36:20:626,59.1606
17:36:20:647,58.2725
17:36:20:670,58.8836
17:36:20:688,56.5317
17:36:20:709,60.095
17:36:20:725,57.8979
17:36:20:742,57.2328
17:36:20:762,58.4077
17:36:20:784,59.0922
17:36:20:805,58.9777
17:36:20:824,57.7485
17:36:20:849,58.9573
17:36:20:865,56.5084
17:36:20:892,57.1516
17:36:20:910,57.2567
17:36:20:928,57.3342
17:36:20:948,56.0624
17:36:20:971,55.9513
17:36:20:985,57.1516
17:36:21:004,55.0968
17:36:21:026,56.686
17:36:21:046,55.5656
17:36:21:069,57.2567
17:36:21:086,57.393
17:36:21:106,55.8008
17:36:21:125,55.8296
17:36:21:146,55.9005
17:36:21:164,55.9513
17:36:21:183,57.2893
17:36:21:202,57.1804
17:36:21:223,55.9555
17:36:21:244,55.3502
17:36:21:267,58.747
17:36:21:285,58.2989
17:36:21:305,59.2652
17:36:21:325,60.161
17:36:21:348,60.7404
17:36:21:366,60.9789
17:36:21:386,59.1799
17:36:21:404,61.1323
17:36:21:427,59.5198
17:36:21:450,60.3598
17:36:21:465,61.6165
17:36:21:485,62.6662
17:36:21:505,61.7494
17:36:21:526,60.9303
17:36:21:651,61.9416
17:36:21:652,60.1848
17:36:21:653,61.0304
17:36:21:654,60.0426
17:36:21:654,62.1475
17:36:21:655,59.9245
17:36:21:663,61.505
17:36:21:683,61.8876
17:36:21:703,59.7746
17:36:21:726,60.9208
17:36:21:747,61.4855
17:36:21:764,59.9207
17:36:21:785,60.6057
17:36:21:803,62.5232
17:36:21:826,62.9161
17:36:21:851,60.711
17:36:21:866,61.1783
17:36:21:885,61.9266
