Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
16:59:34:808,473,-81,474,,317,,475,-86.0,172,
16:59:36:756,473,-81,474,,317,,475,-93.0,172,
16:59:38:758,473,-83,474,,317,,475,-90.0,172,
16:59:40:756,473,-79,474,,317,,475,-92.0,172,
16:59:42:755,473,-77,474,,317,,475,-90.0,172,
16:59:44:750,473,-72,474,,317,,475,-89.0,172,
16:59:46:751,473,-69,474,,317,,475,-89.0,172,
16:59:48:758,473,-68,474,,317,,475,-89.0,172,
16:59:50:749,473,-73,474,,317,,475,-89.0,172,
16:59:52:747,473,-79,474,,317,,475,-83.0,172,
16:59:54:746,473,-80,474,,317,,475,-84.0,172,
16:59:56:745,473,-79,474,,317,,475,-84.0,172,
16:59:58:742,473,-80,474,,317,,475,-83.0,172,
17:00:00:741,473,-81,474,,317,,475,-85.0,172,
17:00:02:743,473,-81,474,,317,,475,-91.0,172,
17:00:04:739,473,-75,474,,317,,475,-86.0,172,
17:00:06:741,473,-74,474,,317,,475,-90.0,172,
17:00:08:742,473,-71,474,,317,,475,,172,-122.0
17:00:10:738,473,-71,474,,317,,475,-89.0,172,
17:00:12:738,473,-69,474,,317,,475,,172,-121.0
17:00:14:733,473,-69,474,,317,,475,-99.0,172,-123.0
17:00:16:739,473,-78,474,,317,,475,,172,
17:00:18:750,473,-76,474,,317,,475,,172,
17:00:20:735,473,-77,474,,317,,475,,172,
17:00:22:729,473,-73,474,,317,,475,,172,
17:00:24:732,473,-76,474,,317,,475,,172,
17:00:26:729,473,-75,474,,317,,475,,172,
17:00:28:733,473,-79,474,,317,,475,,172,
17:00:30:728,473,-77,474,,317,,475,,172,
17:00:32:731,473,-79,474,,317,,475,,172,
17:00:34:726,473,-74,474,-99.0,317,,475,,172,
17:00:36:724,473,-79,474,-94.0,317,,475,,172,
17:00:38:720,473,-83,474,-95.0,317,,475,,172,
17:00:40:720,473,-82,474,-91.0,317,,475,,172,
17:00:42:723,473,-83,474,-99.0,317,,475,,172,
17:00:44:722,473,-82,474,-91.0,317,,475,,172,
17:00:46:718,473,-82,474,-93.0,317,,475,,172,
17:00:48:720,473,-76,474,-90.0,317,,475,,172,
17:00:50:717,473,-81,474,-91.0,317,,475,,172,
17:00:52:716,473,-85,474,-89.0,317,,475,,172,-113.0
17:00:54:711,473,-89,474,-86.0,317,,475,,172,
17:00:56:713,473,-90,474,-86.0,317,,475,,172,
17:00:58:715,473,-89,474,-85.0,317,,475,,172,
17:01:00:716,473,-90,474,-84.0,317,,475,,172,
17:01:02:707,473,-92,474,-86.0,317,,475,,172,
17:01:04:705,473,-91,474,-84.0,317,,475,,172,
17:01:06:708,473,-92,474,-85.0,317,,475,,172,
17:01:08:707,473,-96,474,-84.0,317,,475,,172,
17:01:10:704,473,-95,474,-88.0,317,,475,,172,
17:01:12:702,473,-100,474,-84.0,317,,475,,172,
17:01:14:702,473,-104,474,-88.0,317,,475,,172,
17:01:16:698,473,-98,474,-85.0,317,,475,,172,
17:01:18:722,473,-98,474,-83.0,317,,475,,172,
17:01:20:785,473,-98,474,-84.0,317,,475,,172,
17:01:22:699,473,-83,474,-83.0,317,,475,,172,
17:01:24:698,473,-89,474,-87.0,317,,475,,172,
17:01:26:695,473,-82,474,-88.0,317,,475,,172,
17:01:28:693,473,-77,474,-92.0,317,,475,,172,
17:01:30:697,473,-81,474,-93.0,317,,475,,172,
17:01:32:694,473,-74,474,-92.0,317,,475,,172,
17:01:34:695,473,-68,474,-88.0,317,,475,,172,
17:01:36:690,473,-71,474,-91.0,317,,475,,172,
17:01:38:691,473,-77,474,-98.0,317,,475,,172,
17:01:40:692,473,-80,474,-95.0,317,,475,,172,
17:01:42:689,473,-89,474,-97.0,317,,475,,172,
17:01:44:684,473,-91,474,-101.0,317,,475,,172,
17:01:46:684,473,-83,474,-92.0,317,,475,,172,
17:01:48:682,473,-83,474,-92.0,317,,475,,172,
17:01:50:683,473,-83,474,-92.0,317,,475,,172,
17:01:52:681,473,-83,474,-92.0,317,,475,,172,
17:01:54:680,473,-83,474,-92.0,317,,475,,172,
17:01:56:676,473,-83,474,-92.0,317,,475,,172,
17:01:58:678,473,-83,474,-92.0,317,,475,,172,
17:02:00:678,473,-83,474,-92.0,317,,475,,172,
17:02:02:674,473,-83,474,-92.0,317,,475,,172,
17:02:04:677,473,-83,474,-92.0,317,-111.0,475,,172,
17:02:06:675,473,-83,474,-92.0,317,-110.0,475,,172,
17:02:08:672,473,-83,474,-92.0,317,-108.0,475,,172,
17:02:10:676,473,-83,474,-92.0,317,-106.0,475,,172,
17:02:12:671,473,-85,474,,317,-97.0,475,,172,
17:02:14:669,473,-84,474,,317,-98.0,475,,172,
17:02:16:669,473,-83,474,,317,-97.0,475,,172,
17:02:18:668,473,-85,474,,317,-97.0,475,,172,
17:02:20:666,473,-86,474,,317,-99.0,475,,172,
17:02:22:665,473,-88,474,,317,-96.0,475,,172,
17:02:24:663,473,-91,474,,317,-99.0,475,,172,
17:02:26:669,473,-93,474,,317,-97.0,475,,172,
17:02:28:662,473,-96,474,,317,-97.0,475,,172,
17:02:30:659,473,-99,474,,317,-97.0,475,,172,
17:02:32:660,473,-100,474,,317,,475,,172,
17:02:34:658,473,-100,474,,317,-99.0,475,,172,
17:02:36:657,473,-104,474,,317,-101.0,475,,172,
17:02:38:656,473,-104,474,,317,-106.0,475,,172,
17:02:40:655,473,-104,474,,317,-105.0,475,,172,
17:02:42:656,473,-104,474,,317,-106.0,475,,172,
17:02:44:652,473,-104,474,,317,-104.0,475,,172,
17:02:46:655,473,-104,474,,317,-108.0,475,,172,
17:02:48:654,473,-104,474,,317,-108.0,475,,172,
17:02:50:649,473,-104,474,,317,-107.0,475,,172,
17:02:52:649,473,-91,474,,317,-104.0,475,,172,
17:02:54:646,473,-85,474,,317,-102.0,475,,172,
17:02:56:644,473,-92,474,,317,-103.0,475,,172,
17:02:58:670,473,-92,474,,317,-105.0,475,,172,
17:03:00:645,473,-91,474,,317,-101.0,475,,172,
17:03:02:731,473,-96,474,,317,-100.0,475,,172,
17:03:04:640,473,-95,474,,317,-99.0,475,,172,
17:03:06:639,473,-97,474,,317,-103.0,475,,172,
17:03:08:641,473,-96,474,,317,-100.0,475,,172,
17:03:10:637,473,-99,474,,317,-102.0,475,,172,
17:03:12:640,473,-101,474,,317,-101.0,475,,172,
17:03:14:638,473,-98,474,,317,-101.0,475,,172,
17:03:16:635,473,-100,474,,317,-104.0,475,,172,
17:03:18:634,473,-98,474,,317,-101.0,475,,172,
17:03:20:633,473,-100,474,,317,-105.0,475,,172,
17:03:22:633,473,-97,474,,317,-104.0,475,,172,
17:03:24:640,473,-94,474,,317,-107.0,475,,172,
17:03:26:631,473,-92,474,,317,-104.0,475,,172,
17:03:28:626,473,-84,474,,317,-97.0,475,,172,
17:03:30:626,473,-84,474,,317,-99.0,475,,172,
17:03:32:631,473,-88,474,,317,,475,,172,
17:03:34:627,473,-87,474,,317,,475,,172,
17:03:36:628,473,-81,474,,317,,475,,172,
17:03:38:622,473,-84,474,,317,,475,,172,
17:03:40:620,473,-85,474,,317,,475,,172,
17:03:42:631,473,-84,474,,317,,475,,172,
17:03:44:620,473,-82,474,,317,,475,,172,
17:03:46:621,473,-83,474,,317,,475,,172,
17:03:48:618,473,-89,474,,317,,475,,172,
17:03:50:617,473,-93,474,,317,,475,,172,
17:03:52:617,473,-93,474,,317,,475,,172,
17:03:54:622,473,-95,474,,317,-103.0,475,,172,
17:03:56:617,473,-94,474,,317,-103.0,475,,172,
17:03:58:611,473,-93,474,,317,,475,,172,
17:04:00:613,473,-93,474,,317,-100.0,475,,172,
17:04:02:609,473,-90,474,,317,-100.0,475,,172,
17:04:04:610,473,-91,474,,317,-100.0,475,,172,
17:04:06:606,473,-91,474,,317,-100.0,475,,172,
17:04:08:608,473,-91,474,,317,-100.0,475,,172,
17:04:10:607,473,-91,474,,317,-100.0,475,,172,
17:04:12:610,473,-91,474,,317,-100.0,475,,172,
17:04:14:604,473,-91,474,,317,-100.0,475,,172,
17:04:16:601,473,-91,474,,317,-100.0,475,,172,
17:04:18:600,473,-91,474,,317,-100.0,475,,172,
17:04:20:602,473,-91,474,,317,-100.0,475,,172,
17:04:22:601,473,-91,474,,317,-100.0,475,,172,
17:04:24:598,473,-91,474,,317,-100.0,475,,172,
17:04:26:602,473,-91,474,,317,-100.0,475,,172,
17:04:28:595,473,-94,474,,317,,475,,172,
17:04:30:595,473,-90,474,,317,,475,,172,
17:04:32:595,473,-90,474,-114.0,317,,475,-101.0,172,
17:04:34:595,473,-83,474,,317,,475,,172,
17:04:36:592,473,-75,474,,317,,475,,172,
17:04:38:590,473,-82,474,-100.0,317,,475,,172,
17:04:40:593,473,-81,474,-98.0,317,,475,,172,
17:04:42:589,473,-77,474,,317,,475,,172,
17:04:44:592,473,-77,474,-97.0,317,,475,,172,
17:04:46:585,473,-79,474,-95.0,317,,475,,172,
17:04:48:615,473,-81,474,,317,,475,,172,
17:04:50:624,473,-88,474,,317,,475,,172,
17:04:52:673,473,-86,474,,317,,475,,172,
17:04:54:668,473,-81,474,,317,,475,,172,
17:04:56:579,473,-69,474,,317,,475,,172,
17:04:58:579,473,-81,474,,317,,475,,172,
17:05:00:595,473,-82,474,,317,,475,,172,
17:05:02:599,473,-84,474,,317,,475,,172,
17:05:04:597,473,-89,474,,317,,475,,172,
17:05:06:593,473,-89,474,,317,,475,,172,
17:05:08:592,473,-85,474,,317,,475,,172,
17:05:10:594,473,-76,474,,317,,475,,172,
17:05:12:593,473,-85,474,,317,,475,,172,
17:05:14:591,473,-86,474,,317,,475,,172,
17:05:16:592,473,-80,474,,317,,475,,172,
17:05:18:589,473,-81,474,,317,,475,,172,
17:05:20:585,473,-83,474,,317,,475,,172,
17:05:22:588,473,-85,474,,317,,475,,172,
17:05:24:588,473,-85,474,,317,,475,-87.0,172,
17:05:26:582,473,-82,474,,317,,475,-86.0,172,
