Time,Meg
18:24:22:077,39.9233
18:24:22:093,40.1096
18:24:22:112,38.7395
18:24:22:133,41.0982
18:24:22:152,40.7292
18:24:22:173,41.0799
18:24:22:193,40.8435
18:24:22:213,40.1579
18:24:22:233,40.6006
18:24:22:253,38.6992
18:24:22:273,40.9372
18:24:22:293,40.2059
18:24:22:313,39.9125
18:24:22:332,40.066
18:24:22:353,38.961
18:24:22:374,41.0279
18:24:22:393,38.3611
18:24:22:414,37.7706
18:24:22:434,39.4915
18:24:22:453,38.7296
18:24:22:475,40.568
18:24:22:494,39.4864
18:24:22:515,38.5498
18:24:22:533,38.394
18:24:22:553,38.2689
18:24:22:573,38.4484
18:24:22:593,36.3377
18:24:22:614,37.229
18:24:22:634,37.5252
18:24:22:653,37.4558
18:24:22:674,38.0751
18:24:22:698,38.1025
18:24:22:717,35.6113
18:24:22:735,35.8529
18:24:22:757,37.61
18:24:22:773,35.9372
18:24:22:795,35.8229
18:24:22:813,35.5442
18:24:22:832,34.8817
18:24:22:852,36.3881
18:24:22:873,34.7626
18:24:22:893,34.7949
18:24:22:912,34.1542
18:24:22:933,34.4265
18:24:22:952,32.8182
18:24:22:972,34.0761
18:24:22:994,34.4808
18:24:23:013,33.2761
18:24:23:033,33.8803
18:24:23:053,32.9746
18:24:23:073,34.2255
18:24:23:095,33.9542
18:24:23:114,32.6565
18:24:23:135,32.1131
18:24:23:153,32.8456
18:24:23:176,32.171
18:24:23:194,33.0529
18:24:23:215,33.5011
18:24:23:235,33.7971
18:24:23:255,33.1852
18:24:23:276,32.4767
18:24:23:294,32.3662
18:24:23:312,32.8406
18:24:23:333,32.2247
18:24:23:353,32.8211
18:24:23:373,32.6151
18:24:23:393,31.3242
18:24:23:415,31.0901
18:24:23:438,34.0064
18:24:23:458,33.3606
18:24:23:473,31.6404
18:24:23:495,32.752
18:24:23:515,33.1374
18:24:23:533,31.3623
18:24:23:552,29.8575
18:24:23:572,32.4802
18:24:23:593,31.1592
18:24:23:613,33.1341
18:24:23:634,32.5309
18:24:23:653,31.8307
18:24:23:673,31.2245
18:24:23:698,32.2734
18:24:23:719,32.1752
18:24:23:733,30.0977
18:24:23:753,31.1739
18:24:23:772,31.9857
18:24:23:793,30.2557
18:24:23:814,29.6298
18:24:23:835,30.1546
18:24:23:853,31.3045
18:24:23:873,31.6943
18:24:23:897,32.1314
18:24:23:919,31.1259
18:24:23:936,31.1259
18:24:23:956,32.0135
18:24:23:973,30.5563
18:24:23:995,30.5155
18:24:24:015,30.7297
18:24:24:033,31.4339
18:24:24:092,32.2156
18:24:24:093,32.2959
18:24:24:094,32.1709
18:24:24:112,31.154
18:24:24:134,31.2967
18:24:24:154,30.3947
18:24:24:176,30.9114
18:24:24:194,31.3338
18:24:24:212,31.6766
18:24:24:232,31.8385
18:24:24:251,31.1827
18:24:24:272,30.3253
18:24:24:292,30.3418
18:24:24:312,30.0979
18:24:24:333,31.5155
18:24:24:352,29.5227
18:24:24:372,31.0922
18:24:24:393,30.5836
18:24:24:412,29.8248
18:24:24:432,30.3295
