Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
18:57:50:487,338,-82,,,,,,,,
18:57:52:513,338,-82,,,,,,,,
18:57:54:450,338,-82,,,,,,,,
18:57:56:449,338,-82,,,,,,,,
18:57:58:446,338,-82,,,,,,,,
18:58:00:445,338,-82,,,,,,,,
18:58:02:443,338,-82,,,,,,,,
18:58:04:442,338,-82,,,,,,,,
18:58:06:442,338,-82,,,,,,,,
18:58:08:441,338,-82,,,,,,,,
18:58:10:441,338,-82,,,,,,,,
18:58:12:444,338,-82,,,,,,,,
18:58:14:438,338,-82,,,,,,,,
18:58:16:438,338,-82,,,,,,,,
18:58:18:436,338,-82,,,,,,,,
18:58:20:435,338,-82,,,,,,,,
18:58:22:434,338,-82,,,,,,,,
18:58:24:430,338,-82,,,,,,,,
18:58:26:431,338,-82,,,,,,,,
18:58:28:430,338,-82,,,,,,,,
18:58:30:432,338,-82,,,,,,,,
18:58:32:427,338,-82,,,,,,,,
18:58:34:428,338,-82,,,,,,,,
18:58:36:425,338,-82,,,,,,,,
18:58:38:425,338,-82,,,,,,,,
18:58:40:422,338,-82,,,,,,,,
18:58:42:423,338,-82,,,,,,,,
18:58:44:420,338,-82,,,,,,,,
18:58:46:420,338,-82,,,,,,,,
18:58:48:420,338,-82,,,,,,,,
18:58:50:419,338,-82,,,,,,,,
18:58:52:419,338,-82,,,,,,,,
18:58:54:416,338,-82,,,,,,,,
18:58:56:414,338,-82,,,,,,,,
18:58:58:413,338,-82,,,,,,,,
18:59:00:413,338,-82,,,,,,,,
18:59:02:411,338,-82,,,,,,,,
18:59:04:410,338,-82,,,,,,,,
18:59:06:410,338,-82,,,,,,,,
18:59:08:407,338,-82,,,,,,,,
18:59:10:406,338,-82,,,,,,,,
18:59:12:405,338,-82,,,,,,,,
18:59:14:403,338,-82,,,,,,,,
18:59:16:403,338,-82,,,,,,,,
18:59:18:402,338,-82,,,,,,,,
18:59:20:402,338,-82,,,,,,,,
18:59:22:400,338,-82,,,,,,,,
18:59:24:403,338,-82,,,,,,,,
18:59:26:397,338,-82,,,,,,,,
18:59:28:397,338,-82,,,,,,,,
18:59:30:395,338,-82,,,,,,,,
18:59:32:393,338,-82,,,,,,,,
18:59:34:395,338,-82,,,,,,,,
18:59:36:394,338,-82,,,,,,,,
18:59:38:394,338,-82,,,,,,,,
18:59:40:390,338,-82,,,,,,,,
18:59:42:390,338,-82,,,,,,,,
18:59:44:387,338,-82,,,,,,,,
18:59:46:394,338,-82,,,,,,,,
18:59:48:385,338,-82,,,,,,,,
18:59:50:386,338,-82,,,,,,,,
18:59:52:384,338,-82,,,,,,,,
18:59:54:383,338,-82,,,,,,,,
18:59:56:380,338,-82,,,,,,,,
18:59:58:379,338,-82,,,,,,,,
19:00:00:379,338,-82,,,,,,,,
19:00:02:377,338,-82,,,,,,,,
19:00:04:378,338,-82,,,,,,,,
19:00:06:380,338,-82,,,,,,,,
