Time,Meg
17:08:46:159,77.797
17:08:46:176,78.3691
17:08:46:200,78.8051
17:08:46:219,78.6129
17:08:46:236,78.9542
17:08:46:258,79.9432
17:08:46:275,79.8718
17:08:46:295,79.489
17:08:46:319,79.7204
17:08:46:334,78.4976
17:08:46:353,78.9763
17:08:46:374,78.8481
17:08:46:395,78.5325
17:08:46:414,79.1212
17:08:46:434,79.1987
17:08:46:453,79.7602
17:08:46:472,79.0163
17:08:46:493,79.1664
17:08:46:512,80.3957
17:08:46:535,79.9377
17:08:46:552,81.6386
17:08:46:571,81.5666
17:08:46:591,80.3299
17:08:46:611,80.4937
17:08:46:631,81.3207
17:08:46:651,81.0645
17:08:46:672,81.954
17:08:46:692,79.9874
17:08:46:710,82.2602
17:08:46:728,82.191
17:08:46:751,82.4597
17:08:46:768,81.023
17:08:46:787,80.7325
17:08:46:808,81.6851
17:08:46:829,81.5468
17:08:46:847,79.739
17:08:46:870,79.939
17:08:46:888,81.8407
17:08:46:910,79.7816
17:08:46:928,82.0336
17:08:46:948,81.1493
17:08:46:971,81.8389
17:08:46:990,81.0378
17:08:47:007,81.2092
17:08:47:030,81.2092
17:08:47:046,80.2197
17:08:47:066,80.6222
17:08:47:089,81.0682
17:08:47:109,80.8165
17:08:47:128,80.6774
17:08:47:148,81.4068
17:08:47:175,79.8771
17:08:47:189,79.9319
17:08:47:209,81.6571
17:08:47:228,81.7793
17:08:47:248,81.2878
17:08:47:271,80.7918
17:08:47:288,80.5392
17:08:47:308,83.5483
17:08:47:326,81.6549
17:08:47:346,82.2063
17:08:47:367,81.8531
17:08:47:387,80.243
17:08:47:407,81.7476
17:08:47:427,79.6891
17:08:47:446,80.9772
17:08:47:467,80.3943
17:08:47:487,80.4608
17:08:47:509,80.8296
17:08:47:528,78.6766
17:08:47:548,80.6567
17:08:47:568,80.7038
17:08:47:588,79.8256
17:08:47:608,79.0159
17:08:47:630,78.6096
17:08:47:648,77.9153
17:08:47:671,78.8022
17:08:47:689,77.2965
17:08:47:709,78.347
17:08:47:730,77.8348
17:08:47:747,78.5501
17:08:47:767,77.4343
17:08:47:792,77.4702
17:08:47:807,77.3137
17:08:47:827,77.1532
17:08:47:846,77.9902
17:08:47:867,78.7147
17:08:47:886,78.2079
17:08:47:907,76.2578
17:08:47:928,75.7638
17:08:47:947,75.9255
17:08:47:966,75.5973
17:08:47:987,74.6796
17:08:48:009,76.7279
17:08:48:027,73.354
17:08:48:047,75.0756
17:08:48:068,73.6583
17:08:48:089,75.7576
17:08:48:109,73.9444
17:08:48:158,74.0824
17:08:48:162,72.5413
17:08:48:172,73.3708
17:08:48:189,72.6148
17:08:48:208,74.4447
17:08:48:227,72.8027
17:08:48:247,71.9719
17:08:48:267,73.7216
17:08:48:289,72.4549
17:08:48:309,72.8481
17:08:48:326,71.6823
17:08:48:346,74.2769
17:08:48:366,71.752
17:08:48:388,72.2997
17:08:48:407,70.7638
17:08:48:425,71.3342
17:08:48:445,71.2334
17:08:48:464,69.6286
17:08:48:486,71.2769
17:08:48:505,70.2902
17:08:48:525,70.3233
17:08:48:545,70.0938
17:08:48:567,68.4411
17:08:48:592,68.756
17:08:48:605,67.4172
17:08:48:626,67.3809
17:08:48:645,68.7342
17:08:48:665,68.8032
17:08:48:685,68.6404
17:08:48:706,69.2527
17:08:48:724,67.3585
17:08:48:745,66.5318
17:08:48:766,66.3634
17:08:48:785,66.4703
17:08:48:805,68.067
17:08:48:827,65.5329
17:08:48:846,66.1052
17:08:48:867,64.251
17:08:48:886,65.1242
17:08:48:907,64.6488
17:08:48:925,64.5539
17:08:48:946,63.709
17:08:48:968,64.2567
17:08:48:987,63.1102
17:08:49:007,64.3677
17:08:49:025,64.173
17:08:49:045,63.6157
17:08:49:065,62.2194
17:08:49:090,64.059
17:08:49:105,61.922
17:08:49:124,61.2166
17:08:49:144,62.1379
17:08:49:166,63.3448
17:08:49:185,61.5765
17:08:49:205,62.5043
17:08:49:225,59.3972
17:08:49:244,58.7137
17:08:49:264,58.7043
17:08:49:284,58.7805
17:08:49:305,60.4492
17:08:49:325,59.7085
17:08:49:345,57.3102
17:08:49:365,58.5355
