Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
17:03:26:901,338,-82,466,,456,,467,,,
17:03:28:915,338,-82,466,,456,,467,,,
17:03:30:902,338,-82,466,,456,,467,,,
17:03:32:901,338,-82,466,,456,,467,,,
17:03:34:901,338,-82,466,,456,,467,,,
17:03:36:899,338,-82,466,,456,,467,,,
17:03:38:898,338,-82,466,,456,,467,,,
17:03:40:894,338,-82,466,,456,,467,,,
17:03:42:894,338,-82,466,,456,,467,,,
17:03:44:892,338,-82,466,,456,,467,,,
17:03:46:892,338,-82,466,,456,,467,,,
17:03:48:891,338,-82,466,,456,,467,,,
17:03:50:890,338,-82,466,,456,,467,,,
17:03:52:889,338,-82,466,,456,,467,,,
17:03:54:887,338,-82,466,,456,,467,,,
17:03:56:886,338,-82,466,,456,,467,,,
17:03:58:886,338,-82,466,,456,,467,,,
17:04:00:883,338,-82,466,,456,,467,,,
17:04:02:882,338,-82,466,,456,,467,,,
17:04:04:882,338,-82,466,,456,,467,,,
17:04:06:883,338,-82,466,,456,,467,,,
17:04:08:882,338,-82,466,,456,,467,,,
17:04:10:880,338,-82,466,,456,,467,,,
17:04:12:880,338,-82,466,,456,,467,,,
17:04:14:878,338,-82,466,,456,,467,,,
17:04:16:875,338,-82,466,,456,,467,,,
17:04:18:875,338,-82,466,,456,,467,,,
17:04:20:872,338,-82,466,,456,,467,,,
17:04:22:872,338,-82,466,,456,,467,,,
17:04:24:872,338,-82,466,,456,,467,,,
17:04:26:873,338,-82,466,,456,,467,,,
17:04:28:871,338,-82,466,,456,,467,,,
17:04:30:871,338,-82,466,,456,,467,,,
17:04:32:872,338,-82,466,,456,,467,,,
17:04:34:865,338,-82,466,,456,,467,,,
17:04:36:865,338,-82,466,,456,,467,,,
17:04:38:863,338,-82,466,,456,,467,,,
17:04:40:863,338,-82,466,,456,,467,,,
17:04:42:861,338,-82,466,,456,,467,,,
17:04:44:860,338,-82,466,,456,,467,,,
17:04:46:860,338,-82,466,,456,,467,,,
