Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
11:21:24:604,471,-86.0,309,,317,,358,,311,
11:21:26:618,471,-86.0,309,,317,,358,,311,
11:21:28:601,471,-86.0,309,,317,,358,,311,
11:21:30:602,471,-86.0,309,,317,,358,,311,
11:21:32:601,471,-86.0,309,,317,,358,,311,
11:21:34:602,471,-86.0,309,,317,,358,,311,
11:21:36:604,471,-86.0,309,,317,,358,,311,
11:21:38:604,471,-86.0,309,,317,,358,,311,
11:21:40:602,471,-86.0,309,,317,,358,,311,
11:21:42:602,471,-86.0,309,,317,,358,,311,
11:21:44:602,471,-86.0,309,,317,,358,,311,
11:21:46:601,471,-86.0,309,,317,,358,,311,
11:21:48:601,471,-86.0,309,,317,,358,,311,
11:21:50:602,471,-86.0,309,,317,,358,,311,
11:21:52:602,471,-86.0,309,,317,,358,,311,
11:21:54:601,471,-86.0,309,,317,,358,,311,
11:21:56:602,471,-86.0,309,,317,,358,,311,
11:21:58:602,471,-86.0,309,,317,,358,,311,
11:22:00:602,471,-86.0,309,,317,,358,,311,
11:22:02:601,471,-86.0,309,,317,,358,,311,
11:22:04:601,471,-86.0,309,,317,,358,,311,
11:22:06:602,471,-86.0,309,,317,,358,,311,
11:22:08:601,471,-86.0,309,,317,,358,,311,
11:22:10:601,471,-86.0,309,,317,,358,,311,
11:22:12:601,471,-86.0,309,,317,,358,,311,
11:22:14:601,471,-86.0,309,,317,,358,,311,
11:22:16:601,471,-86.0,309,,317,,358,,311,
11:22:18:601,471,-86.0,309,,317,,358,,311,
11:22:20:606,471,-86.0,309,,317,,358,,311,
11:22:22:601,471,-86.0,309,,317,,358,,311,
11:22:24:601,471,-86.0,309,,317,,358,,311,
11:22:26:601,471,-86.0,309,,317,,358,,311,
11:22:29:702,471,-86.0,309,,317,,358,,311,
11:22:31:701,471,-86.0,309,,317,,358,,311,
11:22:33:700,471,-86.0,309,,317,,358,,311,
11:22:35:702,471,-86.0,309,,317,,358,,311,
11:22:37:702,471,-86.0,309,,317,,358,,311,
11:22:39:702,471,-86.0,309,,317,,358,,311,
11:22:41:702,471,-86.0,309,,317,,358,,311,
11:22:43:702,471,-86.0,309,,317,,358,,311,
11:22:45:702,471,-86.0,309,,317,,358,,311,
11:22:47:702,471,-86.0,309,,317,,358,,311,
11:22:49:702,471,-86.0,309,,317,,358,,311,
11:22:51:702,471,-86.0,309,,317,,358,,311,
11:22:53:701,471,-86.0,309,,317,,358,,311,
11:22:55:701,471,-86.0,309,,317,,358,,311,
11:22:57:702,471,-86.0,309,,317,,358,,311,
11:22:59:702,471,-86.0,309,,317,,358,,311,
11:23:01:703,471,-86.0,309,,317,,358,,311,
11:23:03:702,471,-86.0,309,,317,,358,,311,
11:23:05:701,471,-86.0,309,,317,,358,,311,
11:23:07:701,471,-86.0,309,,317,,358,,311,
11:23:09:701,471,-86.0,309,,317,,358,,311,
11:23:11:701,471,-86.0,309,,317,,358,,311,
11:23:13:701,471,-86.0,309,,317,,358,,311,
11:23:15:702,471,-86.0,309,,317,,358,,311,
11:23:17:701,471,-86.0,309,,317,,358,,311,
11:23:19:702,471,-86.0,309,,317,,358,,311,
11:23:21:702,471,-86.0,309,,317,,358,,311,
11:23:23:702,471,-86.0,309,,317,,358,,311,
11:23:25:702,471,-86.0,309,,317,,358,,311,
11:23:27:702,471,-86.0,309,,317,,358,,311,
11:23:29:702,471,-86.0,309,,317,,358,,311,
11:23:31:701,471,-86.0,309,,317,,358,,311,
11:23:33:702,471,-86.0,309,,317,,358,,311,
11:23:35:701,471,-86.0,309,,317,,358,,311,
11:23:37:701,471,-86.0,309,,317,,358,,311,
11:23:39:701,471,-86.0,309,,317,,358,,311,
11:23:41:701,471,-86.0,309,,317,,358,,311,
11:23:43:701,471,-86.0,309,,317,,358,,311,
11:23:45:701,471,-86.0,309,,317,,358,,311,
11:23:47:701,471,-86.0,309,,317,,358,,311,
11:23:49:701,471,-89.0,309,,317,,358,,311,
11:23:51:700,471,-89.0,309,,317,,358,,311,
11:23:53:701,471,-89.0,309,,317,,358,,311,
11:23:55:701,471,-89.0,309,,317,,358,,311,
11:23:57:700,471,-89.0,309,,317,,358,,311,
11:24:03:920,471,,309,,317,,358,,311,
11:24:05:924,471,-73.0,309,,317,,358,,311,
11:24:07:924,471,-73.0,309,,317,,358,,311,
11:24:09:924,471,-73.0,309,,317,,358,,311,
11:24:11:924,471,-73.0,309,,317,,358,,311,
11:24:13:922,471,-73.0,309,,317,,358,,311,
11:24:15:921,471,-73.0,309,,317,,358,,311,
11:24:17:923,471,-73.0,309,,317,,358,,311,
11:24:19:924,471,-73.0,309,,317,,358,,311,
11:24:21:923,471,-73.0,309,,317,,358,,311,
11:24:23:928,471,-73.0,309,,317,,358,,311,
11:24:25:920,471,-73.0,309,,317,,358,,311,
11:24:27:922,471,-73.0,309,,317,,358,,311,
11:24:29:925,471,-73.0,309,,317,,358,,311,
11:24:31:922,471,-73.0,309,,317,,358,,311,
11:24:33:922,471,-73.0,309,,317,,358,,311,
11:24:35:922,471,-73.0,309,,317,,358,,311,
11:24:37:922,471,-73.0,309,,317,,358,,311,
11:24:39:923,471,-73.0,309,,317,,358,,311,
11:24:41:923,471,-73.0,309,,317,,358,,311,
11:24:43:922,471,-73.0,309,,317,,358,,311,
11:24:45:923,471,-73.0,309,,317,,358,,311,
11:24:47:922,471,-73.0,309,,317,,358,,311,
11:24:49:923,471,-73.0,309,,317,,358,,311,
11:24:51:922,471,-73.0,309,,317,,358,,311,
11:24:53:920,471,-73.0,309,,317,,358,,311,
11:24:55:921,471,-73.0,309,,317,,358,,311,
11:24:57:922,471,-73.0,309,,317,,358,,311,
11:24:59:922,471,-73.0,309,,317,,358,,311,
11:25:01:922,471,-73.0,309,,317,,358,,311,
11:25:03:923,471,-73.0,309,,317,,358,,311,
11:25:05:923,471,-73.0,309,,317,,358,,311,
11:25:07:921,471,-73.0,309,,317,,358,,311,
11:25:09:921,471,-73.0,309,,317,,358,,311,
11:25:11:922,471,-73.0,309,,317,,358,,311,
11:25:13:922,471,-73.0,309,,317,,358,,311,
11:25:15:921,471,-73.0,309,,317,,358,,311,
11:25:17:922,471,-73.0,309,,317,,358,,311,
11:25:19:922,471,-73.0,309,,317,,358,,311,
11:25:21:922,471,-73.0,309,,317,,358,,311,
11:25:23:920,471,-73.0,309,,317,,358,,311,
11:25:25:921,471,-73.0,309,,317,,358,,311,
11:25:27:921,471,-73.0,309,,317,,358,,311,
11:25:29:921,471,-73.0,309,,317,,358,,311,
11:25:31:921,471,-73.0,309,,317,,358,,311,
11:25:33:920,471,-73.0,309,,317,,358,,311,
11:25:35:921,471,-73.0,309,,317,,358,,311,
11:25:37:923,471,-73.0,309,,317,,358,,311,
11:25:39:925,471,-73.0,309,,317,,358,,311,
11:25:41:932,471,-73.0,309,,317,,358,,311,
11:25:43:941,471,-73.0,309,,317,,358,,311,
11:25:45:922,471,-73.0,309,,317,,358,,311,
11:25:47:922,471,-73.0,309,,317,,358,,311,
11:25:49:923,471,-73.0,309,,317,,358,,311,
11:25:51:922,471,-73.0,309,,317,,358,,311,
11:25:53:922,471,-73.0,309,,317,,358,,311,
11:25:55:920,471,-73.0,309,,317,,358,,311,
11:25:57:922,471,-73.0,309,,317,,358,,311,
11:25:59:922,471,-73.0,309,,317,,358,,311,
11:26:01:924,471,-73.0,309,,317,,358,,311,
11:26:03:923,471,-73.0,309,,317,,358,,311,
11:26:05:920,471,-73.0,309,,317,,358,,311,
11:26:07:923,471,-73.0,309,,317,,358,,311,
11:26:09:923,471,-73.0,309,,317,,358,,311,
11:26:11:923,471,-73.0,309,,317,,358,,311,
11:26:13:923,471,-73.0,309,,317,,358,,311,
11:26:15:923,471,-73.0,309,,317,,358,,311,
11:26:17:922,471,-73.0,309,,317,,358,,311,
11:26:19:923,471,-73.0,309,,317,,358,,311,
11:26:21:923,471,-73.0,309,,317,,358,,311,
11:26:23:922,471,-73.0,309,,317,,358,,311,
11:26:25:923,471,-73.0,309,,317,,358,,311,
11:26:27:922,471,-73.0,309,,317,,358,,311,
11:26:29:923,471,-73.0,309,,317,,358,,311,
11:26:31:922,471,-73.0,309,,317,,358,,311,
11:26:33:922,471,-73.0,309,,317,,358,,311,
11:26:35:922,471,-73.0,309,,317,,358,,311,
11:26:37:922,471,-73.0,309,,317,,358,,311,
11:26:39:923,471,-73.0,309,,317,,358,,311,
11:26:41:923,471,-73.0,309,,317,,358,,311,
11:26:43:922,471,-73.0,309,,317,,358,,311,
11:26:45:924,471,-73.0,309,,317,,358,,311,
11:26:47:921,471,-73.0,309,,317,,358,,311,
11:26:49:923,471,-73.0,309,,317,,358,,311,
11:26:51:924,471,-73.0,309,,317,,358,,311,
11:26:53:925,471,-73.0,309,,317,,358,,311,
11:26:55:922,471,-73.0,309,,317,,358,,311,
11:27:02:000,471,,309,,317,,358,,311,
11:27:04:001,471,-73.0,309,,317,,358,,311,
11:27:06:001,471,-73.0,309,,317,,358,,311,
11:27:08:001,471,-73.0,309,,317,,358,,311,
11:27:10:001,471,-73.0,309,,317,,358,,311,
11:27:12:001,471,-73.0,309,,317,,358,,311,
11:27:14:001,471,-73.0,309,,317,,358,,311,
11:27:16:001,471,-73.0,309,,317,,358,,311,
11:27:18:001,471,-73.0,309,,317,,358,,311,
11:27:20:003,471,-73.0,309,,317,,358,,311,
11:27:22:019,471,-73.0,309,,317,,358,,311,
11:27:24:018,471,-73.0,309,,317,,358,,311,
11:27:26:001,471,-73.0,309,,317,,358,,311,
11:27:28:001,471,-73.0,309,,317,,358,,311,
11:27:30:001,471,-73.0,309,,317,,358,,311,
11:27:32:001,471,-73.0,309,,317,,358,,311,
11:27:34:001,471,-73.0,309,,317,,358,,311,
