Time,Meg
17:26:42:311,39.0489
17:26:42:338,38.6471
17:26:42:352,36.8727
17:26:42:382,39.3085
17:26:42:399,38.4151
17:26:42:415,38.7104
17:26:42:433,38.8004
17:26:42:453,38.5398
17:26:42:482,39.5939
17:26:42:497,39.5939
17:26:42:513,39.2033
17:26:42:533,39.1968
17:26:42:558,39.6517
17:26:42:592,39.5436
17:26:42:596,39.5157
17:26:42:618,38.531
17:26:42:633,38.7113
17:26:42:654,39.0605
17:26:42:681,38.3029
17:26:42:701,38.5973
17:26:42:713,39.4011
17:26:42:733,39.3109
17:26:42:753,40.0913
17:26:42:783,39.6414
17:26:42:798,39.4827
17:26:42:813,39.4675
17:26:42:833,39.3783
17:26:42:853,40.2359
17:26:42:888,40.2884
17:26:42:893,40.1372
17:26:42:914,39.878
17:26:42:933,39.6981
17:26:42:953,38.7798
17:26:43:006,38.9462
17:26:43:009,38.9675
17:26:43:028,38.9395
17:26:43:048,38.8343
17:26:43:068,39.0959
17:26:43:095,39.0756
17:26:43:115,39.2271
17:26:43:128,39.2226
17:26:43:148,39.1059
17:26:43:167,39.7021
17:26:43:191,38.4014
17:26:43:207,38.3474
17:26:43:227,39.2065
17:26:43:247,39.2064
17:26:43:267,39.4424
17:26:43:289,37.6113
17:26:43:307,38.3556
17:26:43:327,37.9808
17:26:43:346,38.0582
17:26:43:366,37.5658
17:26:43:393,37.9912
17:26:43:406,37.9633
17:26:43:426,37.7992
17:26:43:446,37.4056
17:26:43:466,36.8438
17:26:43:488,38.2107
17:26:43:506,38.1905
17:26:43:526,38.441
17:26:43:545,37.7693
17:26:43:564,37.7395
17:26:43:584,36.7975
17:26:43:605,36.2569
17:26:43:625,35.861
17:26:43:645,36.7077
17:26:43:664,37.9433
17:26:43:687,37.4666
17:26:43:705,37.8741
17:26:43:725,37.3356
17:26:43:745,36.452
17:26:43:764,34.7786
17:26:43:793,37.2326
17:26:43:804,37.2088
17:26:43:823,37.2164
17:26:43:844,37.2064
17:26:43:863,36.311
17:26:43:885,36.3032
17:26:43:905,36.8098
17:26:43:924,36.7875
17:26:43:943,36.3986
17:26:43:962,37.1834
17:26:43:989,35.5798
