Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
17:21:26:990,466,,456,,467,,309,,310,
17:21:29:006,466,,456,,467,,309,,310,
17:21:30:995,466,,456,,467,,309,,310,
17:21:33:024,466,,456,,467,,309,,310,
17:21:35:011,466,,456,,467,,309,,310,
17:21:37:060,466,,456,,467,,309,,310,
17:21:39:048,466,,456,,467,,309,,310,
17:21:41:057,466,,456,,467,,309,,310,
17:21:43:085,466,,456,,467,,309,,310,
17:21:45:079,466,,456,,467,,309,,310,
17:21:47:141,466,,456,,467,,309,,310,
17:21:49:133,466,,456,,467,,309,,310,
17:21:51:138,466,,456,,467,,309,,310,
17:21:53:148,466,,456,,467,,309,,310,
17:21:55:157,466,,456,,467,,309,,310,
17:21:57:164,466,,456,,467,,309,,310,
17:21:59:154,466,,456,,467,,309,,310,
17:22:01:182,466,,456,,467,,309,,310,
17:22:03:188,466,,456,,467,,309,,310,
17:22:05:196,466,,456,,467,,309,,310,
17:22:07:206,466,,456,,467,,309,,310,
17:22:09:195,466,,456,,467,,309,,310,
17:22:11:222,466,,456,,467,,309,,310,
17:22:13:224,466,,456,,467,,309,,310,
17:22:15:219,466,,456,,467,,309,,310,
17:22:17:227,466,,456,,467,,309,,310,
17:22:19:235,466,,456,,467,,309,,310,
17:22:21:269,466,,456,,467,,309,,310,
17:22:23:252,466,,456,,467,,309,,310,
17:22:25:259,466,,456,,467,,309,,310,
17:22:27:248,466,,456,,467,,309,,310,
17:22:29:297,466,,456,,467,,309,,310,
17:22:31:309,466,,456,,467,,309,,310,
17:22:33:293,466,,456,,467,,309,,310,
17:22:35:347,466,,456,,467,,309,,310,
17:22:37:329,466,,456,,467,,309,,310,
17:22:39:364,466,,456,,467,,309,,310,
17:22:41:406,466,,456,,467,,309,-76.0,310,
17:22:43:396,466,,456,,467,,309,,310,
17:22:45:423,466,,456,,467,,309,,310,
17:22:47:418,466,,456,,467,,309,,310,
17:22:49:459,466,,456,,467,,309,,310,
17:22:51:480,466,,456,,467,,309,,310,
17:22:53:484,466,,456,,467,,309,,310,
17:22:55:505,466,,456,,467,,309,,310,
17:22:57:513,466,,456,,467,,309,,310,
17:22:59:544,466,,456,,467,,309,,310,
17:23:01:550,466,,456,,467,,309,,310,
17:23:03:583,466,,456,,467,,309,,310,
17:23:05:605,466,,456,,467,,309,,310,
17:23:07:593,466,,456,,467,,309,,310,
17:23:09:622,466,,456,,467,,309,,310,
17:23:11:611,466,,456,,467,,309,,310,
17:23:13:618,466,,456,,467,,309,,310,
17:23:15:611,466,,456,,467,,309,,310,
17:23:17:623,466,,456,,467,,309,,310,
17:23:19:663,466,,456,,467,,309,,310,
17:23:21:652,466,,456,,467,,309,,310,
17:23:23:681,466,,456,,467,,309,,310,
