Time,Meg
16:44:59:903,39.9061
16:44:59:905,39.7451
16:44:59:906,39.5352
16:44:59:913,39.1138
16:44:59:921,39.1367
16:44:59:930,38.992
16:44:59:939,38.9859
16:44:59:950,38.9209
16:44:59:961,38.9551
16:44:59:970,38.9591
16:44:59:981,38.9771
16:44:59:989,39.197
16:44:59:998,38.8138
16:45:00:010,38.742
16:45:00:018,38.6263
16:45:00:029,38.5375
16:45:00:038,38.3863
16:45:00:049,38.2764
16:45:00:057,38.2162
16:45:00:067,38.12
16:45:00:076,38.199
16:45:00:087,38.1956
16:45:00:098,38.1417
16:45:00:106,38.273
16:45:00:118,38.2661
16:45:00:125,38.4001
16:45:00:135,38.3503
16:45:00:145,38.6946
16:45:00:154,38.9121
16:45:00:165,38.9767
16:45:00:174,39.0678
16:45:00:184,38.9663
16:45:00:194,38.9828
16:45:00:204,39.0391
16:45:00:214,39.1618
16:45:00:223,39.2859
16:45:00:233,39.1923
16:45:00:242,39.2509
16:45:00:253,39.3105
16:45:00:264,39.2892
16:45:00:272,39.527
16:45:00:286,39.5956
16:45:00:292,39.7184
16:45:00:303,39.4641
16:45:00:314,39.5239
16:45:00:322,39.5965
16:45:00:332,39.5006
16:45:00:342,39.8225
16:45:00:352,39.9426
16:45:00:364,40.1539
16:45:00:371,40.3051
16:45:00:381,40.5808
16:45:00:391,40.6448
16:45:00:402,40.7381
16:45:00:411,40.9858
16:45:00:422,40.8912
16:45:00:432,40.8591
16:45:00:440,40.7536
16:45:00:452,40.6655
16:45:00:460,40.67
16:45:00:472,40.6968
16:45:00:482,40.7743
16:45:00:490,40.5925
16:45:00:502,40.6721
16:45:00:513,40.7787
16:45:00:522,40.9505
16:45:00:533,40.7822
16:45:00:540,40.6978
16:45:00:553,40.9445
16:45:00:563,41.0332
16:45:00:572,41.2557
16:45:00:582,41.3284
16:45:00:592,41.2918
16:45:00:603,41.5805
16:45:00:614,41.9838
16:45:00:621,42.2766
16:45:00:632,42.5096
16:45:00:641,42.6239
16:45:00:654,42.769
16:45:00:664,42.7919
16:45:00:672,43.0251
16:45:00:681,42.8954
16:45:00:693,42.9119
16:45:00:702,43.113
16:45:00:715,43.168
16:45:00:722,43.3704
16:45:00:733,43.7755
16:45:00:743,43.8522
16:45:00:752,43.9775
16:45:00:762,44.182
16:45:00:773,44.3739
16:45:00:782,44.4218
16:45:00:791,44.6402
16:45:00:802,44.6909
16:45:00:814,44.6488
16:45:00:820,44.7998
16:45:00:831,44.8158
16:45:00:843,44.9653
16:45:00:851,45.1364
16:45:00:863,45.2507
16:45:00:871,45.1596
16:45:00:883,45.2007
16:45:00:891,45.3667
16:45:00:902,45.5299
16:45:00:913,45.5128
16:45:00:922,45.7311
16:45:00:932,45.7322
16:45:00:941,45.4843
16:45:00:951,45.4927
16:45:00:962,45.3219
16:45:00:972,45.0622
16:45:00:983,44.8892
16:45:00:992,44.8624
16:45:01:003,44.7273
16:45:01:015,44.4753
16:45:01:022,44.9959
16:45:01:032,44.9785
16:45:01:043,45.2582
16:45:01:053,45.4102
16:45:01:064,45.6639
16:45:01:072,45.9594
16:45:01:083,45.993
16:45:01:092,46.2638
16:45:01:103,46.1833
16:45:01:114,46.5999
16:45:01:121,46.5462
16:45:01:132,46.7954
16:45:01:142,46.8217
16:45:01:155,46.8455
16:45:01:162,46.9381
16:45:01:172,47.0971
16:45:01:182,47.122
16:45:01:195,47.3644
16:45:01:201,47.6444
16:45:01:212,47.7453
16:45:01:222,48.0843
16:45:01:231,48.1226
16:45:01:240,48.4276
16:45:01:251,48.5188
16:45:01:263,48.5829
16:45:01:272,48.4732
16:45:01:282,48.417
16:45:01:291,48.328
16:45:01:300,48.2672
16:45:01:314,48.3743
16:45:01:322,48.5661
16:45:01:335,48.734
16:45:01:341,48.6353
16:45:01:352,48.6539
16:45:01:363,48.7438
16:45:01:371,49.0683
16:45:01:382,49.2135
16:45:01:394,49.0636
16:45:01:402,49.0762
16:45:01:413,49.0015
16:45:01:420,49.2136
16:45:01:432,49.3774
16:45:01:441,49.3792
16:45:01:459,49.1124
16:45:01:460,49.212
16:45:01:470,49.1616
16:45:01:480,48.9976
16:45:01:490,48.9039
16:45:01:501,48.7689
16:45:01:515,48.8815
16:45:01:521,48.6841
16:45:01:532,48.9741
16:45:01:544,48.8711
16:45:01:551,49.099
16:45:01:561,49.0612
16:45:01:571,49.3133
16:45:01:581,49.5763
16:45:01:592,49.5773
16:45:01:601,49.6199
16:45:01:611,49.3957
16:45:01:620,49.3549
16:45:01:631,49.352
16:45:01:640,49.453
16:45:01:651,49.5086
16:45:01:661,49.5495
16:45:01:670,49.5234
16:45:01:681,49.6087
16:45:01:690,49.4143
16:45:01:701,49.3394
16:45:01:711,49.4111
16:45:01:721,49.4286
16:45:01:731,49.2045
16:45:01:741,48.9303
16:45:01:751,48.6684
16:45:01:761,48.7844
16:45:01:771,48.8755
16:45:01:782,48.9312
16:45:01:791,48.6242
