Time,Meg
17:06:37:859,36.8603
17:06:37:881,36.7183
17:06:37:881,36.7405
17:06:37:888,36.7519
17:06:37:898,36.7714
17:06:37:911,37.0284
17:06:37:918,37.0469
17:06:37:931,37.209
17:06:37:939,36.8923
17:06:37:950,37.0534
17:06:37:960,36.873
17:06:37:969,36.727
17:06:37:978,36.7663
17:06:37:991,36.7836
17:06:37:998,36.902
17:06:38:010,36.5569
17:06:38:018,36.644
17:06:38:029,36.5194
17:06:38:038,36.6271
17:06:38:048,36.6687
17:06:38:058,36.6772
17:06:38:068,36.2925
17:06:38:078,36.1122
17:06:38:088,36.2345
17:06:38:098,36.2286
17:06:38:109,36.4181
17:06:38:118,36.5213
17:06:38:128,36.5415
17:06:38:141,36.5121
17:06:38:148,36.6419
17:06:38:158,36.5148
17:06:38:169,36.5794
17:06:38:177,36.7685
17:06:38:188,36.7301
17:06:38:198,36.4755
17:06:38:209,36.5289
17:06:38:218,36.6951
17:06:38:228,36.9008
17:06:38:239,37.1287
17:06:38:249,37.1674
17:06:38:260,37.1053
17:06:38:268,37.0769
17:06:38:279,37.3878
17:06:38:288,37.3725
17:06:38:301,37.2783
17:06:38:311,37.2823
17:06:38:319,37.2083
17:06:38:329,37.221
17:06:38:338,37.1662
17:06:38:350,37.2809
17:06:38:360,37.3475
17:06:38:369,37.5644
17:06:38:379,37.6172
17:06:38:390,37.6445
17:06:38:401,37.7085
17:06:38:413,37.5542
17:06:38:418,37.4647
17:06:38:429,37.1299
17:06:38:440,37.0939
17:06:38:449,36.9587
17:06:38:459,36.8726
17:06:38:468,36.7426
17:06:38:479,36.629
17:06:38:489,36.7661
17:06:38:499,36.9086
17:06:38:510,37.1792
17:06:38:519,36.881
17:06:38:529,36.8612
17:06:38:539,36.8488
17:06:38:548,36.9897
17:06:38:559,37.067
17:06:38:568,36.9792
17:06:38:578,36.8974
17:06:38:593,37.1044
17:06:38:599,37.0666
17:06:38:609,37.0496
17:06:38:619,37.058
17:06:38:628,37.1421
17:06:38:638,37.3208
17:06:38:649,37.217
17:06:38:658,37.2083
17:06:38:668,36.9879
17:06:38:678,37.1231
17:06:38:688,37.1595
