Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
17:12:47:374,473,,471,,15,,322,,124,
17:12:48:370,473,,471,,15,,322,,124,
17:12:49:370,473,,471,,15,,322,,124,
17:12:50:371,473,,471,,15,,322,,124,
17:12:51:371,473,,471,,15,,322,,124,
17:12:52:371,473,,471,-74.0,15,,322,,124,
17:12:53:373,473,,471,-74.0,15,,322,,124,
17:12:54:370,473,,471,-79.0,15,,322,,124,
17:12:55:370,473,,471,-79.0,15,,322,,124,
17:12:56:372,473,,471,-79.0,15,,322,,124,
17:12:57:371,473,,471,-79.0,15,,322,,124,
17:12:58:370,473,,471,-79.0,15,,322,,124,
17:12:59:370,473,,471,-79.0,15,,322,,124,
17:13:00:370,473,-99.0,471,-74.0,15,-126.0,322,,124,-132.0
17:13:01:370,473,-99.0,471,-74.0,15,-126.0,322,,124,-132.0
17:13:02:370,473,-99.0,471,-74.0,15,-126.0,322,,124,-132.0
17:13:03:370,473,-99.0,471,-74.0,15,-126.0,322,,124,-132.0
17:13:04:371,473,-99.0,471,-74.0,15,-126.0,322,,124,-132.0
17:13:05:370,473,-99.0,471,-74.0,15,-126.0,322,,124,-132.0
17:13:06:370,473,,471,,15,,322,,124,
17:13:07:371,473,,471,,15,,322,,124,
17:13:08:371,473,,471,,15,,322,,124,
17:13:09:370,473,,471,,15,,322,,124,
17:13:10:372,473,,471,,15,,322,,124,
17:13:11:371,473,,471,,15,,322,,124,
17:13:12:373,473,-95.0,471,-82.0,15,,322,,124,
17:13:13:374,473,-95.0,471,-82.0,15,,322,,124,
17:13:14:370,473,-95.0,471,-82.0,15,,322,,124,
17:13:15:371,473,-95.0,471,-82.0,15,,322,,124,
17:13:16:373,473,-95.0,471,-82.0,15,,322,,124,
17:13:17:371,473,-95.0,471,-82.0,15,,322,,124,
17:13:18:371,473,-95.0,471,-82.0,15,,322,,124,
17:13:19:371,473,-95.0,471,-82.0,15,,322,,124,
17:13:20:371,473,-95.0,471,-82.0,15,,322,,124,
17:13:21:371,473,,471,,15,,322,,124,
17:13:22:370,473,,471,,15,,322,,124,
17:13:23:372,473,,471,,15,,322,,124,
17:13:24:371,473,,471,,15,,322,,124,
17:13:25:370,473,,471,,15,,322,,124,
17:13:26:372,473,,471,,15,,322,,124,
17:13:27:372,473,,471,,15,,322,,124,
17:13:28:371,473,,471,,15,,322,,124,
17:13:29:371,473,,471,,15,,322,,124,
17:13:30:371,473,,471,,15,,322,,124,
17:13:31:369,473,,471,,15,,322,,124,
17:13:32:370,473,,471,,15,,322,,124,
17:13:33:370,473,,471,,15,,322,,124,
17:13:34:371,473,,471,,15,,322,,124,
17:13:35:372,473,,471,,15,,322,,124,
17:13:36:371,473,-78.0,471,,15,-128.0,322,,124,-121.0
17:13:37:371,473,-78.0,471,,15,-128.0,322,,124,-121.0
17:13:38:374,473,-78.0,471,,15,-128.0,322,,124,-121.0
17:13:39:371,473,-79.0,471,,15,-131.0,322,,124,-125.0
17:13:40:371,473,-79.0,471,,15,-131.0,322,,124,-125.0
17:13:41:372,473,-79.0,471,,15,-131.0,322,,124,-125.0
17:13:42:370,473,-72.0,471,,15,,322,,124,-128.0
17:13:43:370,473,-72.0,471,,15,,322,,124,-128.0
17:13:44:370,473,-72.0,471,,15,,322,,124,-128.0
17:13:45:371,473,-72.0,471,,15,,322,,124,-128.0
17:13:46:371,473,-72.0,471,,15,,322,,124,-128.0
17:13:47:370,473,-72.0,471,,15,,322,,124,-128.0
17:13:48:371,473,,471,,15,,322,,124,
17:13:49:369,473,,471,,15,,322,,124,
17:13:50:370,473,,471,,15,,322,,124,
17:13:51:371,473,,471,,15,,322,,124,
17:13:52:372,473,,471,,15,,322,,124,
17:13:53:372,473,,471,,15,,322,,124,
17:13:54:372,473,,471,,15,,322,,124,
17:13:55:372,473,,471,,15,,322,,124,
17:13:56:370,473,,471,,15,,322,,124,
17:13:57:372,473,,471,,15,,322,,124,
17:13:58:372,473,,471,,15,,322,,124,
17:13:59:371,473,,471,,15,,322,,124,
17:14:00:371,473,,471,,15,,322,,124,
17:14:01:370,473,,471,,15,,322,,124,
17:14:02:371,473,,471,,15,,322,,124,
17:14:03:370,473,,471,,15,,322,,124,
17:14:04:371,473,,471,,15,,322,,124,
17:14:05:371,473,,471,,15,,322,,124,
17:14:06:372,473,,471,,15,,322,,124,
17:14:07:374,473,,471,,15,,322,,124,
17:14:08:374,473,,471,,15,,322,,124,
17:14:09:373,473,,471,,15,,322,,124,
17:14:10:372,473,,471,,15,,322,,124,
17:14:11:371,473,,471,,15,,322,,124,
17:14:12:371,473,-79.0,471,-95.0,15,,322,,124,
17:14:13:372,473,-79.0,471,-95.0,15,,322,,124,
17:14:14:370,473,,471,,15,,322,,124,
17:14:15:381,473,,471,,15,,322,,124,
17:14:16:383,473,,471,,15,,322,,124,
17:14:17:382,473,,471,,15,,322,,124,
17:14:18:384,473,,471,,15,,322,,124,
17:14:19:379,473,,471,,15,,322,,124,
17:14:20:381,473,-74.0,471,,15,,322,,124,
17:14:21:384,473,-74.0,471,,15,,322,,124,
17:14:22:381,473,-74.0,471,,15,,322,,124,
17:14:23:381,473,-72.0,471,,15,,322,,124,
17:14:24:380,473,-72.0,471,,15,,322,,124,
17:14:25:379,473,-72.0,471,,15,,322,,124,
17:14:26:380,473,,471,,15,,322,,124,
17:14:27:380,473,,471,,15,,322,,124,
17:14:28:380,473,,471,,15,,322,,124,
17:14:29:380,473,,471,,15,,322,,124,
17:14:30:380,473,,471,,15,,322,,124,
17:14:31:380,473,,471,,15,,322,,124,
17:14:32:381,473,,471,,15,,322,,124,
17:14:33:385,473,,471,,15,,322,,124,
17:14:34:382,473,,471,,15,,322,,124,
17:14:35:380,473,,471,,15,,322,,124,
17:14:36:380,473,,471,,15,,322,,124,
17:14:37:380,473,,471,,15,,322,,124,
17:14:38:380,473,,471,,15,,322,,124,
17:14:39:381,473,,471,,15,,322,,124,
17:14:40:381,473,,471,,15,,322,,124,
17:14:41:383,473,,471,,15,,322,,124,
17:14:42:380,473,,471,,15,,322,,124,
17:14:43:379,473,-81.0,471,,15,,322,,124,
17:14:44:380,473,-81.0,471,,15,,322,,124,
17:14:45:381,473,-81.0,471,,15,,322,,124,
17:14:46:379,473,-81.0,471,,15,,322,,124,
17:14:47:379,473,-81.0,471,,15,,322,,124,
17:14:48:380,473,-81.0,471,,15,,322,,124,
17:14:49:382,473,-81.0,471,,15,,322,,124,
17:14:50:380,473,,471,,15,,322,,124,
17:14:51:380,473,,471,,15,,322,,124,
17:14:52:381,473,,471,,15,,322,,124,
17:14:53:384,473,,471,-86.0,15,,322,,124,
17:14:54:381,473,-82.0,471,-88.0,15,,322,,124,
17:14:55:380,473,-82.0,471,-88.0,15,,322,,124,
17:14:56:385,473,-82.0,471,-88.0,15,,322,,124,
17:14:57:380,473,-82.0,471,-88.0,15,,322,,124,
17:14:58:380,473,,471,,15,,322,,124,
17:14:59:381,473,,471,,15,,322,,124,
17:15:00:381,473,,471,,15,,322,,124,
17:15:01:381,473,,471,,15,,322,,124,
17:15:02:398,473,,471,,15,,322,,124,
17:15:03:380,473,,471,,15,,322,,124,
17:15:04:379,473,,471,,15,,322,,124,
17:15:05:382,473,,471,,15,,322,,124,
17:15:06:380,473,,471,,15,,322,,124,
17:15:07:385,473,,471,,15,,322,,124,
17:15:08:383,473,,471,,15,,322,,124,
17:15:09:383,473,,471,,15,,322,,124,
17:15:10:383,473,,471,,15,,322,,124,
17:15:11:381,473,,471,,15,,322,,124,
17:15:12:380,473,,471,,15,,322,,124,
17:15:13:381,473,,471,,15,,322,,124,
17:15:14:384,473,,471,,15,,322,,124,
17:15:15:380,473,-80.0,471,-88.0,15,-111.0,322,,124,
17:15:16:379,473,-84.0,471,-88.0,15,-112.0,322,,124,
17:15:17:379,473,-84.0,471,-88.0,15,-112.0,322,,124,
17:15:18:388,473,-84.0,471,-88.0,15,-112.0,322,,124,
17:15:19:381,473,-84.0,471,-88.0,15,-112.0,322,,124,
17:15:20:400,473,-84.0,471,-88.0,15,-112.0,322,,124,
17:15:21:381,473,-84.0,471,-88.0,15,-112.0,322,,124,
17:15:22:381,473,-84.0,471,-88.0,15,-112.0,322,,124,
17:15:23:381,473,-84.0,471,-88.0,15,-112.0,322,,124,
17:15:24:380,473,-78.0,471,-83.0,15,,322,,124,
17:15:25:380,473,-78.0,471,-83.0,15,,322,,124,
17:15:26:381,473,-78.0,471,-83.0,15,,322,,124,
17:15:27:380,473,-78.0,471,-83.0,15,,322,,124,
