Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
16:22:36:014,473,-95,471,-76,15,,322,-107.0,124,
16:22:38:017,473,-95,471,-76,15,,322,-107.0,124,
16:22:40:026,473,-95,471,-76,15,,322,-107.0,124,
16:22:42:010,473,-95,471,-76,15,,322,-107.0,124,
16:22:44:010,473,-95,471,-76,15,,322,-107.0,124,
16:22:46:010,473,-95,471,-76,15,,322,-107.0,124,
16:22:48:010,473,-95,471,-76,15,,322,-107.0,124,
16:22:50:010,473,-95,471,-76,15,,322,-107.0,124,
16:22:52:010,473,-95,471,-76,15,,322,-107.0,124,
16:22:54:009,473,-95,471,-76,15,,322,-107.0,124,
16:22:59:329,473,-95,471,-76,15,,322,-107.0,124,
16:23:01:329,473,-95,471,-76,15,,322,-107.0,124,
16:23:03:330,473,-95,471,-76,15,,322,-107.0,124,
16:23:05:330,473,-95,471,-76,15,,322,-107.0,124,
16:23:07:330,473,-95,471,-76,15,,322,-107.0,124,
16:23:09:331,473,-95,471,-76,15,,322,-107.0,124,
16:23:11:330,473,-95,471,-76,15,,322,-107.0,124,
16:23:13:331,473,-95,471,-76,15,,322,-107.0,124,
16:23:15:330,473,-95,471,-76,15,,322,-107.0,124,
16:23:17:330,473,-95,471,-76,15,,322,-107.0,124,
16:23:19:330,473,-95,471,-76,15,,322,-107.0,124,
16:23:21:330,473,-95,471,-76,15,,322,-107.0,124,
16:23:23:332,473,-95,471,-76,15,,322,-107.0,124,
16:23:25:329,473,-95,471,-76,15,,322,-107.0,124,
16:23:27:330,473,-95,471,-76,15,,322,-107.0,124,
16:23:29:330,473,-95,471,-76,15,,322,-107.0,124,
16:23:31:330,473,-95,471,-76,15,,322,-107.0,124,
16:23:33:330,473,-95,471,-76,15,,322,-107.0,124,
16:23:35:330,473,-95,471,-76,15,,322,-107.0,124,
16:23:37:330,473,-95,471,-76,15,,322,-107.0,124,
16:23:39:330,473,-95,471,-76,15,,322,-107.0,124,
16:23:41:331,473,-95,471,-76,15,,322,-107.0,124,
16:23:43:330,473,-95,471,-76,15,,322,-107.0,124,
16:23:45:330,473,-95,471,-76,15,,322,-107.0,124,
16:23:47:330,473,-95,471,-76,15,,322,-107.0,124,
16:23:49:330,473,-95,471,-76,15,,322,-107.0,124,
16:23:51:330,473,-95,471,-76,15,,322,-107.0,124,
16:23:53:330,473,-95,471,-76,15,,322,-107.0,124,
16:23:55:329,473,-95,471,-76,15,,322,-107.0,124,
16:23:57:330,473,-95,471,-76,15,,322,-107.0,124,
16:23:59:329,473,-95,471,-76,15,,322,-107.0,124,
16:24:01:331,473,-95,471,-76,15,,322,-107.0,124,
16:24:03:330,473,-95,471,-76,15,,322,-107.0,124,
16:24:05:329,473,-95,471,-76,15,,322,-107.0,124,
16:24:07:329,473,-95,471,-76,15,,322,-107.0,124,
16:24:09:331,473,-95,471,-76,15,,322,-107.0,124,
16:24:11:332,473,-95,471,-76,15,,322,-107.0,124,
16:24:13:342,473,-95,471,-76,15,,322,-107.0,124,
16:24:15:341,473,-95,471,-76,15,,322,-107.0,124,
16:24:17:329,473,-95,471,-76,15,,322,-107.0,124,
16:24:19:331,473,-95,471,-76,15,,322,-107.0,124,
16:24:21:330,473,-95,471,-76,15,,322,-107.0,124,
16:24:23:330,473,-95,471,-76,15,,322,-107.0,124,
16:24:25:329,473,-95,471,-76,15,,322,-107.0,124,
16:24:27:331,473,-95,471,-76,15,,322,-107.0,124,
16:24:29:330,473,-95,471,-76,15,,322,-107.0,124,
16:24:31:330,473,-95,471,-76,15,,322,-107.0,124,
16:24:33:330,473,-95,471,-76,15,,322,-107.0,124,
16:24:35:330,473,-95,471,-76,15,,322,-107.0,124,
16:24:37:329,473,-95,471,-76,15,,322,-107.0,124,
16:24:40:350,473,-95,471,-76,15,,322,-107.0,124,
16:24:42:350,473,-95,471,-76,15,,322,-107.0,124,
16:24:44:350,473,-95,471,-76,15,,322,-107.0,124,
16:24:46:350,473,-95,471,-76,15,,322,-107.0,124,
16:24:48:350,473,-95,471,-76,15,,322,-107.0,124,
16:24:50:356,473,-88,471,-71,15,,322,,124,
16:24:52:350,473,-96,471,-78,15,,322,,124,
16:24:54:350,473,-96,471,-78,15,,322,,124,
16:24:56:350,473,-96,471,-78,15,,322,,124,
16:24:58:350,473,-96,471,-78,15,,322,,124,
16:25:00:350,473,-96,471,-78,15,,322,,124,
16:25:02:350,473,-92,471,-75,15,,322,,124,
16:25:04:350,473,-92,471,-75,15,,322,,124,
16:25:06:350,473,-92,471,-75,15,,322,,124,
16:25:08:351,473,-92,471,-75,15,,322,,124,
16:25:10:350,473,-92,471,-75,15,,322,,124,
16:25:12:771,473,-92,471,-75,15,,322,,124,
16:25:14:770,473,-92,471,-75,15,,322,,124,
16:25:17:150,473,-92,471,-75,15,,322,,124,
16:25:19:150,473,-92,471,-75,15,,322,,124,
16:25:21:151,473,-92,471,-75,15,,322,,124,
16:25:23:150,473,-92,471,-75,15,,322,,124,
16:25:25:152,473,-92,471,-75,15,,322,,124,
16:25:27:149,473,-92,471,-75,15,,322,,124,
16:25:29:151,473,-92,471,-75,15,,322,,124,
16:25:31:149,473,-92,471,-75,15,,322,,124,
16:25:33:150,473,-92,471,-75,15,,322,,124,
16:25:35:150,473,-92,471,-75,15,,322,,124,
16:25:37:150,473,-92,471,-75,15,,322,,124,
16:25:39:151,473,-92,471,-75,15,,322,,124,
16:25:41:150,473,-92,471,-75,15,,322,,124,
16:25:43:149,473,-92,471,-75,15,,322,,124,
16:25:46:574,473,-92,471,-75,15,,322,,124,
16:25:48:490,473,-92,471,-75,15,,322,,124,
16:25:50:490,473,-92,471,-75,15,,322,,124,
16:25:52:490,473,-92,471,-75,15,,322,,124,
16:25:54:489,473,-92,471,-75,15,,322,,124,
16:25:56:490,473,-92,471,-75,15,,322,,124,
16:25:58:490,473,-92,471,-75,15,,322,,124,
16:26:00:490,473,-92,471,-75,15,,322,,124,
16:26:02:490,473,-92,471,-75,15,,322,,124,
16:26:04:489,473,-92,471,-75,15,,322,,124,
16:26:06:490,473,-92,471,-75,15,,322,,124,
16:26:08:490,473,-92,471,-75,15,,322,,124,
16:26:10:489,473,-92,471,-75,15,,322,,124,
16:26:12:490,473,-92,471,-75,15,,322,,124,
16:26:14:490,473,-92,471,-75,15,,322,,124,
16:26:16:490,473,-92,471,-75,15,,322,,124,
16:26:18:490,473,-92,471,-75,15,,322,,124,
16:26:20:490,473,-92,471,-75,15,,322,,124,
16:26:22:489,473,-92,471,-75,15,,322,,124,
16:26:24:490,473,-92,471,-75,15,,322,,124,
16:26:26:490,473,-92,471,-75,15,,322,,124,
16:26:28:490,473,-92,471,-75,15,,322,,124,
16:26:30:490,473,-92,471,-75,15,,322,,124,
16:26:32:490,473,-92,471,-75,15,,322,,124,
16:26:34:490,473,-92,471,-75,15,,322,,124,
16:26:36:490,473,-92,471,-75,15,,322,,124,
16:26:38:490,473,-92,471,-75,15,,322,,124,
16:26:40:491,473,-92,471,-75,15,,322,,124,
