Time,Meg
16:46:45:660,48.1336
16:46:45:682,48.1336
16:46:45:700,48.9575
16:46:45:721,48.1336
16:46:45:740,48.7241
16:46:45:760,48.7241
16:46:45:780,48.1336
16:46:45:801,49.0724
16:46:45:820,48.2831
16:46:45:840,48.6487
16:46:45:861,48.6487
16:46:45:880,48.6487
16:46:45:901,48.9042
16:46:45:921,48.5851
16:46:45:941,49.3086
16:46:45:961,49.2577
16:46:45:980,49.2258
16:46:46:000,49.2178
16:46:46:019,49.2288
16:46:46:041,48.9027
16:46:46:060,49.7429
16:46:46:080,49.7057
16:46:46:100,49.3975
16:46:46:120,49.1332
16:46:46:140,49.1039
16:46:46:160,48.8305
16:46:46:179,48.7879
16:46:46:202,48.7321
16:46:46:220,49.6055
16:46:46:241,48.7634
16:46:46:259,49.6608
16:46:46:279,48.7385
16:46:46:300,49.5964
16:46:46:320,49.3387
16:46:46:341,49.6133
16:46:46:359,49.9048
16:46:46:380,49.6176
16:46:46:400,49.6176
16:46:46:419,49.5903
16:46:46:439,49.8812
16:46:46:459,49.8746
16:46:46:479,49.878
16:46:46:500,49.6263
16:46:46:519,49.6015
16:46:46:541,49.3833
16:46:46:559,49.3215
16:46:46:580,49.3336
16:46:46:600,49.3371
16:46:46:619,49.3336
16:46:46:641,49.3322
16:46:46:660,50.2062
16:46:46:679,49.3035
16:46:46:700,49.076
16:46:46:719,50.1852
16:46:46:739,49.9465
16:46:46:758,49.3811
16:46:46:778,50.1656
16:46:46:799,50.165
16:46:46:819,50.1448
16:46:46:838,49.4466
16:46:46:858,50.3379
16:46:46:879,50.1193
16:46:46:900,50.114
16:46:46:918,50.6942
16:46:46:939,50.7046
16:46:46:958,50.5152
16:46:46:978,50.4807
16:46:46:999,50.3096
16:46:47:018,50.3291
16:46:47:038,50.5047
16:46:47:058,50.3186
16:46:47:078,50.3186
16:46:47:099,50.2933
16:46:47:118,50.1453
16:46:47:138,50.731
16:46:47:158,50.6948
16:46:47:178,50.5583
16:46:47:199,50.686
16:46:47:219,50.5112
16:46:47:238,50.5112
16:46:47:258,50.6629
16:46:47:278,50.4923
16:46:47:300,50.4923
16:46:47:318,51.0865
16:46:47:337,51.0865
16:46:47:358,51.9694
16:46:47:377,51.0425
16:46:47:397,51.0418
16:46:47:418,51.0236
16:46:47:438,51.9102
16:46:47:458,51.9023
16:46:47:478,50.9693
16:46:47:497,51.9062
16:46:47:518,51.8875
16:46:47:537,51.8688
16:46:47:558,51.7408
16:46:47:577,51.1342
16:46:47:598,52.0002
16:46:47:629,51.4159
16:46:47:637,51.8253
16:46:47:658,51.7489
16:46:47:677,52.2854
16:46:47:697,52.2122
16:46:47:717,52.8025
16:46:47:737,52.7725
16:46:47:760,52.1788
16:46:47:777,52.1939
16:46:47:797,53.134
16:46:47:817,52.6206
16:46:47:837,52.5948
16:46:47:859,52.0441
16:46:47:877,52.0552
16:46:47:897,52.6712
16:46:47:917,52.687
16:46:47:937,52.678
16:46:47:958,53.5884
16:46:47:977,53.5353
16:46:47:997,52.4441
16:46:48:017,52.5363
16:46:48:037,52.6479
16:46:48:058,53.5964
16:46:48:077,53.0787
16:46:48:097,54.0579
16:46:48:117,53.4889
16:46:48:137,52.9365
16:46:48:157,52.8079
16:46:48:177,54.2793
16:46:48:197,53.2882
16:46:48:217,53.2871
16:46:48:237,53.2824
16:46:48:258,54.2628
16:46:48:276,55.2377
16:46:48:297,53.7576
16:46:48:317,53.6847
16:46:48:336,54.708
16:46:48:359,54.6924
16:46:48:377,54.6924
16:46:48:397,54.6771
16:46:48:417,54.6771
16:46:48:436,54.6693
16:46:48:459,55.2773
16:46:48:476,55.6371
16:46:48:496,54.6081
16:46:48:516,54.5824
16:46:48:536,55.5755
16:46:48:559,54.5252
16:46:48:576,54.5261
16:46:48:596,55.5855
16:46:48:617,55.5855
16:46:48:636,55.558
16:46:48:656,55.5403
16:46:48:676,55.5325
16:46:48:696,55.4971
16:46:48:717,55.4971
16:46:48:735,55.1095
16:46:48:755,56.2041
16:46:48:775,55.8589
16:46:48:797,55.9039
16:46:48:816,56.0385
16:46:48:836,56.0068
