Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
16:23:53:078,493,-89.0,479,,176,,124,,15,
16:23:55:074,493,-89.0,479,,176,,124,,15,
16:23:57:098,493,-89.0,479,,176,,124,,15,
16:23:59:089,493,-87.0,479,,176,,124,,15,
16:24:01:077,493,-87.0,479,,176,,124,,15,
16:24:03:077,493,-87.0,479,,176,,124,,15,
16:24:05:076,493,-44.0,479,,176,,124,,15,
16:24:07:076,493,-44.0,479,,176,,124,,15,
16:24:09:075,493,-44.0,479,,176,,124,,15,
16:24:11:075,493,-44.0,479,,176,,124,,15,
16:24:13:075,493,-44.0,479,,176,,124,,15,
16:24:15:076,493,-44.0,479,,176,,124,,15,
16:24:17:078,493,-44.0,479,,176,,124,,15,
16:24:19:074,493,-81.0,479,,176,,124,-123.0,15,
16:24:21:075,493,-81.0,479,,176,,124,-123.0,15,
16:24:23:075,493,-81.0,479,,176,,124,-123.0,15,
16:24:25:075,493,-81.0,479,,176,,124,-123.0,15,
16:24:27:075,493,-81.0,479,,176,,124,-123.0,15,
16:24:29:075,493,-81.0,479,,176,,124,-123.0,15,
16:24:31:075,493,-81.0,479,,176,,124,-123.0,15,
16:24:33:075,493,-70.0,479,,176,,124,-117.0,15,
16:24:35:075,493,-70.0,479,,176,,124,-117.0,15,
16:24:37:075,493,-66.0,479,,176,,124,-117.0,15,
16:24:39:077,493,-66.0,479,,176,,124,-117.0,15,
16:24:41:076,493,-74.0,479,,176,,124,-114.0,15,
16:24:43:075,493,-80.0,479,,176,,124,-113.0,15,
16:24:45:074,493,-86.0,479,,176,,124,-115.0,15,
16:24:47:075,493,-86.0,479,,176,,124,-115.0,15,
16:24:49:075,493,-86.0,479,,176,,124,-115.0,15,
16:24:51:075,493,-86.0,479,,176,,124,-115.0,15,
16:24:53:077,493,-86.0,479,,176,,124,-115.0,15,
16:24:55:075,493,-86.0,479,,176,,124,-115.0,15,
16:24:57:075,493,-86.0,479,,176,,124,-115.0,15,
16:24:59:075,493,-86.0,479,,176,,124,-115.0,15,
16:25:01:076,493,-86.0,479,,176,,124,-115.0,15,
16:25:03:075,493,-86.0,479,,176,,124,-115.0,15,
16:25:05:077,493,-86.0,479,,176,,124,-115.0,15,
16:25:07:078,493,-86.0,479,,176,,124,-115.0,15,
16:25:09:076,493,-86.0,479,,176,,124,-115.0,15,
16:25:11:075,493,-86.0,479,,176,,124,-115.0,15,
16:25:13:076,493,-86.0,479,,176,,124,-115.0,15,
16:25:15:075,493,-86.0,479,,176,,124,-115.0,15,
16:25:17:075,493,-85.0,479,,176,,124,-104.0,15,
16:25:19:077,493,-85.0,479,,176,,124,-104.0,15,
16:25:21:076,493,-82.0,479,,176,,124,-104.0,15,
16:25:23:076,493,-78.0,479,,176,,124,-104.0,15,
16:25:25:076,493,-78.0,479,,176,,124,-104.0,15,
16:25:27:075,493,-78.0,479,,176,,124,-104.0,15,
16:25:29:076,493,-85.0,479,,176,-91.0,124,-99.0,15,-114.0
16:25:31:080,493,-85.0,479,,176,-91.0,124,-99.0,15,-114.0
16:25:33:076,493,-85.0,479,,176,-91.0,124,-99.0,15,-114.0
16:25:35:076,493,-81.0,479,,176,-88.0,124,-96.0,15,-113.0
16:25:37:075,493,-81.0,479,,176,-88.0,124,-96.0,15,-113.0
16:25:39:074,493,-78.0,479,,176,-87.0,124,-96.0,15,-114.0
16:25:41:077,493,-78.0,479,,176,-87.0,124,-96.0,15,-114.0
16:25:43:075,493,-78.0,479,,176,-87.0,124,-96.0,15,-114.0
16:25:45:075,493,-72.0,479,,176,-85.0,124,-91.0,15,-114.0
16:25:47:076,493,-72.0,479,,176,-85.0,124,-91.0,15,-114.0
16:25:49:076,493,-84.0,479,,176,-82.0,124,-87.0,15,-112.0
16:25:51:076,493,-84.0,479,,176,-82.0,124,-87.0,15,-112.0
16:25:53:075,493,-84.0,479,,176,-82.0,124,-87.0,15,-112.0
16:25:55:074,493,-88.0,479,,176,-78.0,124,-88.0,15,-106.0
16:25:57:075,493,-88.0,479,,176,-78.0,124,-88.0,15,-106.0
16:25:59:075,493,,479,,176,,124,,15,
16:26:01:075,493,,479,,176,,124,,15,
16:26:03:074,493,-94.0,479,,176,-75.0,124,,15,
16:26:05:077,493,-94.0,479,,176,-75.0,124,,15,
16:26:07:077,493,,479,,176,-70.0,124,,15,
16:26:09:076,493,,479,,176,-70.0,124,,15,
16:26:11:075,493,,479,-84.0,176,,124,,15,
16:26:13:075,493,,479,-84.0,176,,124,,15,
16:26:15:078,493,,479,-87.0,176,,124,,15,
16:26:17:076,493,,479,-87.0,176,,124,,15,
16:26:19:075,493,,479,-87.0,176,,124,,15,
16:26:21:075,493,,479,-83.0,176,,124,,15,
16:26:23:076,493,,479,-83.0,176,,124,,15,
16:26:25:078,493,,479,-83.0,176,,124,,15,
16:26:27:079,493,,479,-83.0,176,,124,,15,
16:26:29:075,493,,479,,176,,124,-97.0,15,
16:26:31:076,493,,479,,176,,124,,15,
16:26:33:076,493,,479,,176,,124,,15,
16:26:35:075,493,,479,,176,,124,,15,
16:26:37:078,493,,479,,176,,124,,15,
16:26:39:076,493,,479,,176,,124,,15,
16:26:41:076,493,,479,-89.0,176,,124,-91.0,15,-110.0
16:26:43:076,493,,479,-89.0,176,,124,-91.0,15,-110.0
16:26:45:076,493,,479,-76.0,176,,124,,15,
16:26:47:077,493,,479,-76.0,176,,124,,15,
16:26:49:078,493,,479,-91.0,176,,124,,15,
16:26:51:076,493,,479,-91.0,176,,124,,15,
16:26:53:076,493,,479,-92.0,176,,124,,15,
16:26:55:075,493,,479,-92.0,176,,124,,15,
16:26:57:075,493,,479,-92.0,176,,124,,15,
16:26:59:076,493,,479,-92.0,176,,124,,15,
16:27:01:075,493,,479,-92.0,176,,124,,15,
16:27:03:075,493,,479,-92.0,176,,124,,15,
16:27:05:076,493,,479,-92.0,176,,124,,15,
16:27:07:074,493,,479,-92.0,176,,124,,15,
16:27:09:076,493,,479,-92.0,176,,124,,15,
16:27:11:078,493,,479,-92.0,176,,124,,15,
16:27:13:076,493,,479,-92.0,176,,124,,15,
16:27:15:075,493,,479,-92.0,176,,124,,15,
16:27:17:074,493,,479,-92.0,176,,124,,15,
16:27:19:075,493,,479,-92.0,176,,124,,15,
16:27:21:075,493,,479,-92.0,176,,124,,15,
16:27:23:076,493,,479,-92.0,176,,124,,15,
16:27:25:075,493,,479,-92.0,176,,124,,15,
16:27:27:077,493,,479,-92.0,176,,124,,15,
16:27:29:076,493,,479,-85.0,176,,124,,15,
16:27:31:076,493,,479,-83.0,176,,124,,15,
16:27:33:075,493,,479,-85.0,176,,124,,15,
16:27:35:075,493,,479,-85.0,176,,124,,15,
16:27:37:076,493,-96.0,479,-87.0,176,,124,,15,
16:27:39:076,493,-96.0,479,-87.0,176,,124,,15,
16:27:41:076,493,,479,-82.0,176,,124,,15,
16:27:43:076,493,,479,-82.0,176,,124,,15,
16:27:45:076,493,,479,-82.0,176,,124,,15,
16:27:47:076,493,,479,-82.0,176,,124,,15,
16:27:49:074,493,,479,-82.0,176,,124,,15,
16:27:51:080,493,,479,-82.0,176,,124,,15,
16:27:53:076,493,,479,-82.0,176,,124,,15,
16:27:55:078,493,,479,-82.0,176,,124,,15,
16:27:57:076,493,,479,-82.0,176,,124,,15,
16:27:59:075,493,,479,-82.0,176,,124,,15,
16:28:01:075,493,,479,-82.0,176,,124,,15,
16:28:03:075,493,,479,-82.0,176,,124,,15,
16:28:05:076,493,,479,-82.0,176,,124,,15,
16:28:07:076,493,,479,-82.0,176,,124,,15,
