Time,Meg
18:11:19:278,36.6064
18:11:19:295,36.7542
18:11:19:317,36.7542
18:11:19:336,37.1148
18:11:19:355,36.3817
18:11:19:375,36.3171
18:11:19:396,36.5308
18:11:19:417,36.8122
18:11:19:435,36.0172
18:11:19:455,35.648
18:11:19:475,35.9727
18:11:19:495,35.81
18:11:19:516,36.116
18:11:19:535,36.4994
18:11:19:555,35.17
18:11:19:575,35.6403
18:11:19:594,36.1877
18:11:19:620,35.5399
18:11:19:635,35.9408
18:11:19:655,35.2025
18:11:19:678,35.2931
18:11:19:695,35.7212
18:11:19:716,35.0
18:11:19:736,35.607
18:11:19:754,35.0605
18:11:19:778,35.8096
18:11:19:794,35.2682
18:11:19:820,34.4357
18:11:19:838,34.5242
18:11:19:854,35.2163
18:11:19:875,35.1073
18:11:19:894,34.4399
18:11:19:921,35.3208
18:11:19:934,35.5105
18:11:19:954,34.7054
18:11:19:975,34.4378
18:11:19:994,35.0791
18:11:20:013,34.5667
18:11:20:034,34.8245
18:11:20:054,35.1302
18:11:20:076,34.9916
18:11:20:094,34.9
18:11:20:113,33.9474
18:11:20:133,33.8628
18:11:20:154,34.2052
18:11:20:175,34.2674
18:11:20:194,34.8176
18:11:20:214,34.64
18:11:20:234,34.2406
18:11:20:254,34.7342
18:11:20:275,33.7919
18:11:20:294,35.1367
18:11:20:314,34.4542
18:11:20:334,34.3593
18:11:20:354,34.5746
18:11:20:376,34.7121
18:11:20:393,35.0566
18:11:20:414,34.9613
18:11:20:435,34.7257
18:11:20:453,33.9983
18:11:20:476,34.4106
18:11:20:494,34.1886
18:11:20:513,34.9299
18:11:20:533,34.9102
18:11:20:553,34.7563
18:11:20:576,34.7121
18:11:20:593,34.5478
18:11:20:613,34.465
18:11:20:633,34.0103
18:11:20:653,34.3512
18:11:20:674,34.2498
18:11:20:693,34.2134
18:11:20:714,34.698
18:11:20:733,34.6322
18:11:20:753,33.6605
18:11:20:776,34.305
18:11:20:793,34.1893
18:11:20:813,34.1349
18:11:20:834,34.1057
18:11:20:853,34.0476
18:11:20:876,34.0297
18:11:20:892,34.0193
18:11:20:913,34.0193
18:11:20:933,34.0364
18:11:20:953,34.0364
18:11:20:975,34.0125
18:11:20:992,34.0392
18:11:21:013,34.0302
18:11:21:033,33.5413
18:11:21:052,33.4993
18:11:21:072,33.4993
18:11:21:092,34.3981
18:11:21:112,33.5239
18:11:21:134,34.3977
18:11:21:152,33.9904
18:11:21:172,34.4741
18:11:21:192,34.22
18:11:21:213,34.2396
18:11:21:232,34.0277
18:11:21:281,34.053
18:11:21:282,34.0356
18:11:21:292,34.0196
18:11:21:312,33.1569
18:11:21:332,33.9211
18:11:21:351,33.2687
18:11:21:374,34.0521
18:11:21:392,33.6014
18:11:21:412,33.7757
18:11:21:431,34.5807
18:11:21:451,33.8875
18:11:21:475,33.5489
18:11:21:491,33.7888
18:11:21:512,34.668
18:11:21:531,34.2091
18:11:21:551,34.1833
18:11:21:571,34.8657
18:11:21:591,34.8657
18:11:21:612,33.978
18:11:21:631,34.7937
18:11:21:652,33.9557
18:11:21:671,34.558
18:11:21:691,34.5078
18:11:21:711,35.3372
18:11:21:731,34.7888
18:11:21:750,35.1377
18:11:21:770,34.6964
18:11:21:791,35.5175
18:11:21:811,35.024
18:11:21:831,34.9507
18:11:21:851,35.1981
18:11:21:871,35.507
18:11:21:892,35.477
18:11:21:911,34.9235
18:11:21:931,34.898
18:11:21:951,34.8882
18:11:21:971,34.8821
18:11:21:991,34.4525
18:11:22:011,34.182
18:11:22:031,35.5244
18:11:22:050,35.53
18:11:22:072,35.3018
18:11:22:091,35.2743
18:11:22:110,35.0676
18:11:22:130,35.0362
18:11:22:150,34.4062
18:11:22:170,34.9792
18:11:22:189,34.8243
18:11:22:210,35.7268
18:11:22:231,35.6499
18:11:22:250,34.7233
18:11:22:271,35.3809
18:11:22:291,35.3569
18:11:22:310,35.3067
18:11:22:330,35.5545
18:11:22:350,34.6438
18:11:22:371,35.9858
18:11:22:390,35.3985
18:11:22:411,35.6553
18:11:22:430,35.6284
18:11:22:449,36.0551
18:11:22:470,35.2024
18:11:22:490,35.8624
18:11:22:509,34.9399
18:11:22:530,35.371
18:11:22:550,36.3774
18:11:22:570,35.4496
18:11:22:590,35.9369
18:11:22:610,35.4463
18:11:22:630,35.4016
18:11:22:650,35.7477
18:11:22:670,35.7637
18:11:22:690,36.6903
18:11:22:710,36.5547
18:11:22:730,36.1464
18:11:22:750,35.7656
18:11:22:770,36.17
18:11:22:790,36.0111
18:11:22:810,36.5532
18:11:22:831,36.5124
18:11:22:850,36.7605
18:11:22:870,35.9335
18:11:22:890,37.0903
18:11:22:910,36.6494
18:11:22:930,37.5499
18:11:22:950,37.2378
18:11:22:969,37.6371
18:11:22:990,37.9926
18:11:23:010,37.9402
18:11:23:030,37.92
18:11:23:050,38.1927
18:11:23:069,38.7297
18:11:23:089,39.1058
18:11:23:109,38.4847
18:11:23:129,38.3994
18:11:23:150,38.3622
18:11:23:170,38.2249
18:11:23:189,38.9904
18:11:23:211,38.9467
18:11:23:230,39.2816
18:11:23:249,38.7462
18:11:23:302,39.0739
18:11:23:303,39.3797
18:11:23:309,39.3482
18:11:23:329,39.567
18:11:23:349,39.5326
18:11:23:368,39.6088
18:11:23:389,40.0675
18:11:23:408,40.4186
18:11:23:429,40.7803
18:11:23:449,41.1279
18:11:23:469,40.7761
18:11:23:489,41.6634
18:11:23:510,40.5418
18:11:23:528,41.0821
18:11:23:548,40.9267
18:11:23:575,41.3282
18:11:23:588,41.4624
18:11:23:608,41.9344
18:11:23:628,41.1937
18:11:23:648,41.4946
18:11:23:668,41.4795
18:11:23:688,41.4748
18:11:23:711,42.2498
18:11:23:730,42.6255
18:11:23:748,41.9086
18:11:23:768,43.0926
18:11:23:788,42.7981
18:11:23:808,43.3148
18:11:23:827,43.7222
18:11:23:847,43.839
18:11:23:868,44.1268
18:11:23:886,43.6325
18:11:23:907,43.6025
18:11:23:927,43.5334
18:11:23:947,43.5455
18:11:23:968,42.8737
18:11:23:988,42.8067
18:11:24:009,43.3051
18:11:24:028,45.1876
18:11:24:049,47.1433
18:11:24:070,47.4373
18:11:24:088,46.7274
18:11:24:110,45.9899
18:11:24:129,46.4625
18:11:24:148,46.4875
18:11:24:168,45.7201
18:11:24:188,45.9177
18:11:24:209,45.9279
18:11:24:228,45.3921
18:11:24:248,45.4099
18:11:24:268,45.3545
18:11:24:288,45.8511
18:11:24:310,46.7873
18:11:24:329,46.7455
18:11:24:349,46.3334
