Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
18:15:22:895,247,-96,74,-92,169,-98,248,-99,297,-100
18:15:24:900,247,-96,74,-92,169,-98,248,-99,297,-100
18:15:26:921,247,-96,74,-92,169,-98,248,-99,297,-100
18:15:28:886,247,-96,74,-92,169,-98,248,-99,297,-100
18:15:30:890,247,-96,74,-92,169,-98,248,-99,297,-100
18:15:32:886,247,-96,74,-92,169,-98,248,-99,297,-100
18:15:34:886,247,-96,74,-92,169,-98,248,-99,297,-100
18:15:36:886,247,-96,74,-92,169,-98,248,-99,297,-100
18:15:38:890,247,-96,74,-92,169,-98,248,-99,297,-100
18:15:40:887,247,-96,74,-92,169,-98,248,-99,297,-100
18:15:42:885,247,-96,74,-92,169,-98,248,-99,297,-100
18:15:44:886,247,-96,74,-92,169,-98,248,-99,297,-100
18:15:46:886,247,-96,74,-92,169,-98,248,-99,297,-100
18:15:48:885,247,-96,74,-92,169,-98,248,-99,297,-100
18:15:50:884,247,-96,74,-92,169,-98,248,-99,297,-100
18:15:52:890,247,-96,74,-92,169,-98,248,-99,297,-100
18:15:54:886,247,-96,74,-92,169,-98,248,-99,297,-100
18:15:56:885,247,-96,74,-92,169,-98,248,-99,297,-100
18:15:58:886,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:00:886,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:02:885,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:04:887,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:06:886,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:08:885,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:10:887,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:12:888,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:14:892,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:16:888,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:18:887,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:20:900,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:22:897,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:24:894,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:26:891,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:28:887,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:30:887,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:32:885,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:34:885,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:36:890,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:38:884,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:40:887,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:42:887,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:44:886,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:46:886,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:48:886,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:50:886,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:52:888,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:54:887,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:56:888,247,-96,74,-92,169,-98,248,-99,297,-100
18:16:58:890,247,-96,74,-92,169,-98,248,-99,297,-100
18:17:00:886,247,-96,74,-92,169,-98,248,-99,297,-100
18:17:02:886,247,-96,74,-92,169,-98,248,-99,297,-100
18:17:04:889,247,-96,74,-92,169,-98,248,-99,297,-100
18:17:06:887,247,-96,74,-92,169,-98,248,-99,297,-100
18:17:08:886,247,-96,74,-92,169,-98,248,-99,297,-100
18:17:10:886,247,-96,74,-92,169,-98,248,-99,297,-100
18:17:12:885,247,-96,74,-92,169,-98,248,-99,297,-100
18:17:14:886,247,-96,74,-92,169,-98,248,-99,297,-100
18:17:16:888,247,-96,74,-92,169,-98,248,-99,297,-100
