Time,Meg
17:41:06:837,56.6047
17:41:06:854,57.3894
17:41:06:870,57.7341
17:41:06:889,56.4396
17:41:06:913,56.5168
17:41:06:930,58.4341
17:41:06:949,57.7092
17:41:06:971,56.9933
17:41:06:991,58.389
17:41:07:011,56.4896
17:41:07:030,57.6141
17:41:07:048,55.8335
17:41:07:071,57.7484
17:41:07:089,56.8845
17:41:07:111,57.5573
17:41:07:130,58.2841
17:41:07:148,57.0628
17:41:07:171,58.1444
17:41:07:190,59.3474
17:41:07:213,58.9303
17:41:07:229,58.6075
17:41:07:248,58.111
17:41:07:271,58.2611
17:41:07:289,57.3834
17:41:07:311,57.6899
17:41:07:330,57.5919
17:41:07:348,58.44
17:41:07:370,58.8018
17:41:07:390,59.129
17:41:07:411,59.5598
17:41:07:431,57.4427
17:41:07:449,57.2892
17:41:07:470,59.7942
17:41:07:489,59.7942
17:41:07:512,58.5585
17:41:07:530,58.7372
17:41:07:548,59.4825
17:41:07:571,59.4824
17:41:07:593,60.7255
17:41:07:611,60.7255
17:41:07:629,61.6306
17:41:07:648,61.0393
17:41:07:668,61.0752
17:41:07:691,59.2722
17:41:07:711,60.4417
17:41:07:729,60.9196
17:41:07:747,60.782
17:41:07:772,60.0376
17:41:07:791,60.3337
17:41:07:811,60.5313
17:41:07:830,60.0148
17:41:07:848,59.7953
17:41:07:868,60.5219
17:41:07:890,60.7748
17:41:07:911,60.0746
17:41:07:929,61.4211
17:41:07:948,60.456
17:41:07:969,61.4153
17:41:07:990,59.8498
17:41:08:010,60.6154
17:41:08:030,60.387
17:41:08:048,60.0429
17:41:08:068,59.6712
17:41:08:089,62.0557
17:41:08:110,60.959
17:41:08:130,59.8156
17:41:08:148,60.621
17:41:08:167,59.6305
17:41:08:190,61.1887
17:41:08:210,59.1118
17:41:08:230,59.0545
17:41:08:248,59.3604
17:41:08:268,58.9513
17:41:08:290,59.6465
17:41:08:310,59.093
17:41:08:329,58.2927
17:41:08:347,59.0628
17:41:08:367,58.7244
17:41:08:391,58.6369
17:41:08:411,58.2347
17:41:08:431,57.7392
17:41:08:447,57.6519
17:41:08:468,57.3975
17:41:08:491,57.0752
17:41:08:511,58.1321
17:41:08:530,57.6479
17:41:08:547,58.5011
17:41:08:568,58.0219
17:41:08:590,57.2755
17:41:08:611,56.5898
17:41:08:629,56.1215
17:41:08:665,55.2097
17:41:08:668,56.4123
17:41:08:691,55.9689
17:41:08:710,54.8607
17:41:08:729,55.9635
17:41:08:747,54.851
17:41:08:767,55.3442
17:41:08:791,54.0252
17:41:08:812,54.4982
17:41:08:830,54.8173
17:41:08:848,54.0008
17:41:08:867,54.297
17:41:08:891,54.1933
17:41:08:910,54.0963
17:41:08:929,54.5309
17:41:08:947,53.5397
17:41:08:967,53.2114
17:41:08:992,53.6876
17:41:09:010,52.2653
17:41:09:029,52.1371
17:41:09:047,52.9106
17:41:09:069,51.8845
17:41:09:092,53.1024
17:41:09:110,52.5121
17:41:09:129,52.7744
17:41:09:147,52.8669
17:41:09:167,52.3625
17:41:09:192,53.2542
17:41:09:210,52.411
17:41:09:230,51.3913
17:41:09:247,52.324
17:41:09:267,51.6542
17:41:09:292,51.5487
17:41:09:311,51.8378
17:41:09:329,51.2987
17:41:09:348,51.3754
17:41:09:367,51.7334
17:41:09:388,51.2834
17:41:09:412,51.3348
17:41:09:430,50.6912
17:41:09:447,51.5601
17:41:09:467,51.079
17:41:09:488,50.7591
17:41:09:509,51.72
17:41:09:530,51.1881
17:41:09:547,51.2853
17:41:09:566,51.8159
17:41:09:587,49.8657
17:41:09:611,50.6778
17:41:09:632,50.4452
17:41:09:646,50.3874
17:41:09:671,50.9986
17:41:09:688,50.1812
17:41:09:710,50.2621
17:41:09:729,50.3298
17:41:09:747,50.5259
17:41:09:766,50.1714
17:41:09:787,49.9149
17:41:09:810,50.801
17:41:09:829,50.3544
17:41:09:846,49.7979
17:41:09:867,49.5847
17:41:09:887,50.2621
17:41:09:911,50.3821
17:41:09:929,49.6556
17:41:09:946,49.5516
17:41:09:968,49.6017
17:41:09:987,49.8982
17:41:10:011,48.6851
17:41:10:030,48.5832
17:41:10:046,49.812
17:41:10:067,48.4538
17:41:10:087,50.942
17:41:10:113,49.4272
17:41:10:130,48.0873
17:41:10:148,48.9926
17:41:10:166,48.5995
17:41:10:186,49.736
17:41:10:211,49.0037
17:41:10:228,50.1336
17:41:10:247,48.0726
17:41:10:266,48.8087
17:41:10:287,49.4217
17:41:10:312,47.6965
17:41:10:330,48.7449
17:41:10:352,48.1968
17:41:10:366,49.318
17:41:10:387,47.4057
17:41:10:412,47.3162
17:41:10:430,48.2207
17:41:10:447,47.1558
17:41:10:467,47.0783
17:41:10:486,46.4106
17:41:10:514,49.2577
17:41:10:529,46.7225
17:41:10:546,48.9104
17:41:10:566,47.6807
17:41:10:585,47.8618
17:41:10:610,47.8075
17:41:10:628,48.2695
17:41:10:647,47.1662
17:41:10:675,45.5686
17:41:10:685,47.6196
17:41:10:709,47.3444
17:41:10:730,46.0309
17:41:10:746,45.5554
17:41:10:766,45.5554
17:41:10:790,46.7364
17:41:10:812,46.7364
17:41:10:830,45.5564
17:41:10:847,45.5564
17:41:10:866,47.3836
17:41:10:885,46.2253
17:41:10:909,46.5933
17:41:10:931,46.8737
17:41:10:946,46.9798
17:41:10:965,47.442
17:41:10:985,46.3572
17:41:11:009,45.7365
17:41:11:030,46.8538
17:41:11:050,47.8983
17:41:11:065,46.9803
17:41:11:086,47.7302
17:41:11:109,47.7632
17:41:11:126,46.8222
17:41:11:146,46.828
17:41:11:165,46.9286
17:41:11:186,47.5356
17:41:11:209,46.7029
17:41:11:226,47.4784
17:41:11:247,48.57
17:41:11:266,47.8569
17:41:11:286,47.7151
17:41:11:309,47.6584
17:41:11:327,48.7767
17:41:11:347,46.8862
17:41:11:365,47.8531
17:41:11:386,47.3458
17:41:11:409,47.4571
17:41:11:432,47.4414
17:41:11:449,49.385
17:41:11:467,48.998
17:41:11:485,48.0305
17:41:11:509,48.0558
17:41:11:528,48.9096
17:41:11:549,48.5591
17:41:11:566,49.4138
17:41:11:585,49.303
17:41:11:608,48.2221
17:41:11:627,48.3074
17:41:11:651,49.0181
17:41:11:668,47.6328
17:41:11:686,49.3034
17:41:11:709,48.4
17:41:11:728,47.9118
17:41:11:750,48.0919
17:41:11:767,47.7845
17:41:11:785,48.7981
17:41:11:808,47.3939
17:41:11:826,46.9352
17:41:11:849,48.0561
17:41:11:865,47.8862
17:41:11:885,48.1732
17:41:11:908,47.9639
17:41:11:929,48.0659
17:41:11:949,47.6665
17:41:11:965,48.3571
17:41:11:985,47.4977
17:41:12:009,47.6258
17:41:12:028,45.4092
17:41:12:049,47.668
17:41:12:065,47.5808
17:41:12:085,47.6137
17:41:12:108,47.6255
17:41:12:127,46.8908
17:41:12:150,47.4413
17:41:12:166,46.9878
17:41:12:185,45.6267
17:41:12:208,46.4002
17:41:12:228,45.7431
17:41:12:250,46.3326
17:41:12:267,46.8265
17:41:12:286,46.8561
17:41:12:308,45.687
17:41:12:328,46.8319
17:41:12:349,45.1302
17:41:12:367,44.9548
17:41:12:386,45.5423
17:41:12:408,44.9864
17:41:12:429,45.3713
17:41:12:446,44.259
17:41:12:467,44.6008
17:41:12:486,45.5042
17:41:12:507,44.2776
17:41:12:528,43.9345
17:41:12:546,44.9092
17:41:12:567,44.5086
17:41:12:584,42.8849
17:41:12:608,42.4363
17:41:12:629,43.2304
17:41:12:647,43.9161
17:41:12:668,42.747
17:41:12:697,42.8914
17:41:12:708,42.8297
17:41:12:727,43.0543
17:41:12:746,42.8631
17:41:12:764,43.7752
17:41:12:784,43.5192
17:41:12:807,44.4397
17:41:12:828,43.4697
17:41:12:846,42.82
17:41:12:865,42.1138
17:41:12:885,42.2278
17:41:12:908,42.9738
17:41:12:927,44.643
17:41:12:946,42.3212
17:41:12:964,42.8289
17:41:12:986,43.4865
17:41:13:007,42.5013
17:41:13:027,43.8114
17:41:13:047,42.8814
17:41:13:064,42.4972
17:41:13:085,44.321
17:41:13:108,41.8935
17:41:13:128,41.9434
17:41:13:147,42.879
17:41:13:164,43.8282
17:41:13:186,43.2464
17:41:13:208,42.2202
17:41:13:228,42.3047
17:41:13:246,42.1048
17:41:13:264,42.9492
17:41:13:286,43.3426
17:41:13:308,43.5948
17:41:13:327,43.0731
17:41:13:346,42.808
17:41:13:364,42.9086
17:41:13:386,42.2047
17:41:13:408,42.2422
17:41:13:438,41.8728
17:41:13:446,42.6709
17:41:13:464,42.4222
17:41:13:487,42.7084
17:41:13:508,43.0361
17:41:13:527,41.8665
17:41:13:547,42.7029
17:41:13:564,43.305
17:41:13:587,41.7663
17:41:13:607,42.6428
17:41:13:629,41.9095
17:41:13:646,42.6398
17:41:13:664,42.8847
17:41:13:684,42.436
17:41:13:708,42.4095
17:41:13:727,43.2998
17:41:13:746,42.4337
17:41:13:764,42.1884
17:41:13:784,42.6434
17:41:13:808,42.9279
17:41:13:827,43.0007
17:41:13:845,42.4586
17:41:13:864,42.2329
17:41:13:883,42.9205
17:41:13:907,42.8044
17:41:13:928,43.026
17:41:13:946,43.4097
17:41:13:964,42.5408
17:41:13:983,42.5408
17:41:14:007,41.5758
17:41:14:028,43.2104
17:41:14:045,43.491
17:41:14:064,43.491
17:41:14:084,41.8584
17:41:14:107,41.8585
17:41:14:127,43.8127
17:41:14:146,43.697
17:41:14:163,43.3476
17:41:14:183,43.2662
17:41:14:206,42.9618
17:41:14:228,43.898
17:41:14:246,44.2541
17:41:14:264,44.6843
17:41:14:282,44.6921
17:41:14:307,43.0318
17:41:14:326,44.5647
17:41:14:349,44.2967
17:41:14:362,43.4039
17:41:14:382,43.6395
17:41:14:405,44.4973
17:41:14:427,44.4237
17:41:14:446,46.2481
17:41:14:463,44.8283
17:41:14:482,44.2413
17:41:14:504,46.4584
17:41:14:526,46.2112
17:41:14:545,47.7775
17:41:14:563,46.492
17:41:14:583,48.1709
17:41:14:606,45.7751
17:41:14:627,47.593
17:41:14:646,48.2064
17:41:14:663,47.8582
17:41:14:684,47.5801
17:41:14:714,49.4525
17:41:14:726,47.6396
17:41:14:746,49.9021
17:41:14:763,48.9653
17:41:14:783,48.3075
17:41:14:808,49.8368
17:41:14:827,48.7405
17:41:14:846,49.1789
17:41:14:863,49.7481
17:41:14:882,49.3037
17:41:14:907,50.7662
17:41:14:927,49.5222
17:41:14:946,48.7504
17:41:14:966,50.024
17:41:14:983,50.8719
17:41:15:007,51.0707
17:41:15:026,51.3777
17:41:15:046,51.0522
17:41:15:064,51.7974
17:41:15:084,51.235
17:41:15:103,52.1111
17:41:15:126,51.9163
17:41:15:146,50.969
17:41:15:163,51.6896
17:41:15:184,52.6203
17:41:15:204,52.2519
17:41:15:226,53.462
17:41:15:245,52.6226
