Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
17:47:33:366,493,-92,473,-77,40,,44,,478,
17:47:35:360,493,-92,473,-77,40,,44,,478,
17:47:37:387,493,-92,473,-77,40,,44,,478,
17:47:39:355,493,-92,473,-77,40,,44,,478,
17:47:41:353,493,-92,473,-77,40,,44,,478,
17:47:43:354,493,-92,473,-77,40,,44,,478,
17:47:45:351,493,-92,473,-77,40,,44,,478,
17:47:47:351,493,-92,473,-77,40,,44,,478,
17:47:49:352,493,-92,473,-77,40,,44,,478,
17:47:51:352,493,-92,473,-77,40,,44,,478,
17:47:53:352,493,-92,473,-77,40,,44,,478,
17:47:55:352,493,-92,473,-77,40,,44,,478,
17:47:57:352,493,-92,473,-77,40,,44,,478,
17:47:59:353,493,-92,473,-77,40,,44,,478,
17:48:01:352,493,-92,473,-77,40,,44,,478,
17:48:03:354,493,-92,473,-77,40,,44,,478,
17:48:05:353,493,-92,473,-77,40,,44,,478,
17:48:07:352,493,-92,473,-77,40,,44,,478,
17:48:09:354,493,-92,473,-77,40,,44,,478,
17:48:11:354,493,-92,473,-77,40,,44,,478,
17:48:13:352,493,-92,473,-77,40,,44,,478,
17:48:15:353,493,-92,473,-77,40,,44,,478,
17:48:17:353,493,-92,473,-77,40,,44,,478,
17:48:19:353,493,-92,473,-77,40,,44,,478,
17:48:21:353,493,-92,473,-77,40,,44,,478,
17:48:23:353,493,-92,473,-77,40,,44,,478,
17:48:25:352,493,-92,473,-77,40,,44,,478,
17:48:27:352,493,-92,473,-77,40,,44,,478,
17:48:29:353,493,-92,473,-77,40,,44,,478,
17:48:31:353,493,-92,473,-77,40,,44,,478,
17:48:33:353,493,-92,473,-77,40,,44,,478,
17:48:35:357,493,-92,473,-77,40,,44,,478,
17:48:37:354,493,-92,473,-77,40,,44,,478,
17:48:39:354,493,-92,473,-77,40,,44,,478,
17:48:41:355,493,-92,473,-77,40,,44,,478,
17:48:43:351,493,-92,473,-77,40,,44,,478,
17:48:45:352,493,-92,473,-77,40,,44,,478,
17:48:47:353,493,-92,473,-77,40,,44,,478,
17:48:49:352,493,-92,473,-77,40,,44,,478,
17:48:51:352,493,-92,473,-77,40,,44,,478,
17:48:53:354,493,-92,473,-77,40,,44,,478,
17:48:55:353,493,-92,473,-77,40,,44,,478,
17:48:57:353,493,-92,473,-77,40,,44,,478,
17:48:59:354,493,-92,473,-77,40,,44,,478,
17:49:01:353,493,-92,473,-77,40,,44,,478,
17:49:03:353,493,-92,473,-77,40,,44,,478,
17:49:05:353,493,-92,473,-77,40,,44,,478,
17:49:07:354,493,-92,473,-77,40,,44,,478,
17:49:09:352,493,-92,473,-77,40,,44,,478,
17:49:11:351,493,-92,473,-77,40,,44,,478,
17:49:13:353,493,-92,473,-77,40,,44,,478,
17:49:15:352,493,-92,473,-77,40,,44,,478,
17:49:17:354,493,-92,473,-77,40,,44,,478,
17:49:19:353,493,-92,473,-77,40,,44,,478,
17:49:21:353,493,-92,473,-77,40,,44,,478,
17:49:23:352,493,-92,473,-77,40,,44,,478,
17:49:25:353,493,-92,473,-77,40,,44,,478,
17:49:27:355,493,-92,473,-77,40,,44,,478,
17:49:29:353,493,-92,473,-77,40,,44,,478,
17:49:31:354,493,-92,473,-77,40,,44,,478,
17:49:33:352,493,-92,473,-77,40,,44,,478,
17:49:35:355,493,-92,473,-77,40,,44,,478,
17:49:37:352,493,-92,473,-77,40,,44,,478,
17:49:39:351,493,-92,473,-77,40,,44,,478,
17:49:41:351,493,-92,473,-77,40,,44,,478,
17:49:43:353,493,-92,473,-77,40,,44,,478,
17:49:45:356,493,-92,473,-77,40,,44,,478,
17:49:47:354,493,-92,473,-77,40,,44,,478,
17:49:49:353,493,-92,473,-77,40,,44,,478,
17:49:51:353,493,-92,473,-77,40,,44,,478,
17:49:53:353,493,-92,473,-77,40,,44,,478,
17:49:55:354,493,-92,473,-77,40,,44,,478,
17:49:57:352,493,-92,473,-77,40,,44,,478,
17:49:59:352,493,-92,473,-77,40,,44,,478,
17:50:01:353,493,-92,473,-77,40,,44,,478,
17:50:03:353,493,-92,473,-77,40,,44,,478,
17:50:05:357,493,-92,473,-77,40,,44,,478,
17:50:07:352,493,-92,473,-77,40,,44,,478,
17:50:09:352,493,-92,473,-77,40,,44,,478,
17:50:11:354,493,-92,473,-77,40,,44,,478,
17:50:13:354,493,-92,473,-77,40,,44,,478,
17:50:15:354,493,-92,473,-77,40,,44,,478,
17:50:17:352,493,-92,473,-77,40,,44,,478,
17:50:19:352,493,-92,473,-77,40,,44,,478,
17:50:21:353,493,-92,473,-77,40,,44,,478,
17:50:23:352,493,-92,473,-77,40,,44,,478,
17:50:25:353,493,-92,473,-77,40,,44,,478,
17:50:27:352,493,-92,473,-77,40,,44,,478,
