Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
19:15:31:117,473,-67,172,-125.0,178,-133.0,176,,283,
19:15:33:114,473,-72,172,-125.0,178,-133.0,176,,283,
19:15:35:174,473,-70,172,-125.0,178,-133.0,176,,283,
19:15:37:115,473,-69,172,,178,-116.0,176,,283,
19:15:39:115,473,-68,172,,178,-115.0,176,,283,
19:15:41:110,473,-71,172,,178,-115.0,176,,283,
19:15:43:111,473,-62,172,,178,-115.0,176,,283,
19:15:45:107,473,-62,172,,178,-115.0,176,,283,
19:15:47:107,473,-61,172,,178,-115.0,176,,283,
19:15:49:104,473,-60,172,,178,-115.0,176,,283,
19:15:51:107,473,-55,172,,178,-115.0,176,,283,
19:15:53:105,473,-66,172,,178,-115.0,176,,283,
19:15:55:103,473,-69,172,,178,-115.0,176,,283,
19:15:57:102,473,-70,172,,178,-115.0,176,,283,
19:15:59:098,473,-69,172,,178,-115.0,176,,283,
19:16:01:098,473,-65,172,,178,-115.0,176,,283,
19:16:03:097,473,-66,172,,178,-115.0,176,,283,
19:16:05:095,473,-72,172,,178,-115.0,176,,283,
19:16:07:094,473,-71,172,,178,-115.0,176,,283,-87.0
19:16:09:098,473,-74,172,,178,-115.0,176,,283,-86.0
19:16:11:096,473,-78,172,,178,-115.0,176,,283,-81.0
19:16:13:094,473,-78,172,,178,-115.0,176,,283,-91.0
19:16:15:090,473,-74,172,,178,-115.0,176,,283,-76.0
19:16:17:094,473,-79,172,,178,-115.0,176,,283,-87.0
19:16:19:087,473,-78,172,,178,-115.0,176,,283,-81.0
19:16:21:087,473,-79,172,,178,-115.0,176,,283,-86.0
19:16:23:085,473,-76,172,,178,-115.0,176,,283,-91.0
19:16:25:088,473,-79,172,,178,-115.0,176,,283,-96.0
19:16:27:085,473,-78,172,,178,-115.0,176,,283,-95.0
19:16:29:132,473,-73,172,,178,-115.0,176,,283,-94.0
19:16:31:083,473,-74,172,,178,-115.0,176,,283,-85.0
19:16:33:085,473,-73,172,,178,-115.0,176,,283,-87.0
19:16:35:084,473,-72,172,-108.0,178,,176,-138.0,283,-92.0
19:16:37:078,473,-74,172,-106.0,178,,176,-134.0,283,-92.0
19:16:39:076,473,-72,172,-106.0,178,,176,-134.0,283,-97.0
19:16:41:076,473,-67,172,-106.0,178,,176,-134.0,283,-93.0
19:16:43:075,473,-64,172,-106.0,178,,176,-134.0,283,-95.0
19:16:45:073,473,-65,172,-106.0,178,,176,-134.0,283,-89.0
19:16:47:074,473,-59,172,-106.0,178,,176,-134.0,283,-85.0
19:16:49:072,473,-53,172,-106.0,178,,176,-134.0,283,-85.0
19:16:51:073,473,-57,172,-106.0,178,,176,-134.0,283,-85.0
19:16:53:073,473,-62,172,-106.0,178,,176,-134.0,283,-85.0
19:16:55:068,473,-63,172,-106.0,178,,176,-134.0,283,
19:16:57:068,473,-61,172,-106.0,178,,176,-134.0,283,
19:16:59:066,473,-58,172,-106.0,178,,176,-134.0,283,
19:17:01:066,473,-60,172,-123.0,178,-118.0,176,-133.0,283,
19:17:03:065,473,-61,172,-123.0,178,-118.0,176,-135.0,283,
19:17:05:063,473,-73,172,-123.0,178,-118.0,176,-135.0,283,
19:17:07:062,473,-70,172,-123.0,178,-118.0,176,-135.0,283,
19:17:09:061,473,-73,172,-123.0,178,-118.0,176,-135.0,283,
19:17:11:065,473,-74,172,-123.0,178,-118.0,176,-135.0,283,
19:17:13:064,473,-66,172,-123.0,178,-118.0,176,-135.0,283,
