Time,Meg
19:30:22:611,52.4204
19:30:22:641,50.1492
19:30:22:659,51.0669
19:30:22:671,51.4617
19:30:22:692,51.3609
19:30:22:709,50.2466
19:30:22:742,50.4518
19:30:22:758,51.1474
19:30:22:768,50.2762
19:30:22:794,51.3608
19:30:22:820,50.096
19:30:22:828,50.5708
19:30:22:855,51.4471
19:30:22:868,50.4209
19:30:22:887,49.4538
19:30:22:906,49.675
19:30:22:926,50.2058
19:30:22:946,49.6757
19:30:22:971,48.7376
19:30:22:988,50.2335
19:30:23:006,48.9223
19:30:23:024,50.4307
19:30:23:044,49.1714
19:30:23:070,48.7148
19:30:23:088,49.4779
19:30:23:105,48.4915
19:30:23:124,48.937
19:30:23:145,49.1905
19:30:23:169,49.0037
19:30:23:189,49.511
19:30:23:205,48.2987
19:30:23:224,47.9486
19:30:23:244,49.2937
19:30:23:267,46.3307
19:30:23:288,48.2422
19:30:23:304,48.7304
19:30:23:324,46.5257
19:30:23:344,47.9118
19:30:23:365,46.1405
19:30:23:387,46.5298
19:30:23:406,47.5196
19:30:23:424,47.2049
19:30:23:444,45.4773
19:30:23:465,46.8322
19:30:23:488,47.2202
19:30:23:507,45.552
19:30:23:525,46.4843
19:30:23:544,45.6347
19:30:23:565,45.6347
19:30:23:586,45.531
19:30:23:608,44.6933
19:30:23:623,45.7411
19:30:23:644,44.88
19:30:23:665,43.4197
19:30:23:687,46.2163
19:30:23:704,44.8697
19:30:23:723,43.7264
19:30:23:745,43.9611
19:30:23:769,43.2952
19:30:23:788,43.0546
19:30:23:805,42.9128
19:30:23:824,43.5668
19:30:23:844,42.5081
19:30:23:867,41.3818
19:30:23:889,41.4214
19:30:23:905,40.2998
19:30:23:923,42.3917
19:30:23:945,42.7808
19:30:23:970,41.7202
19:30:23:987,40.3508
19:30:24:004,42.2138
19:30:24:024,40.8331
19:30:24:043,40.6603
19:30:24:064,41.0901
19:30:24:086,41.086
19:30:24:105,41.3714
19:30:24:123,41.0842
19:30:24:144,41.1656
19:30:24:164,43.3341
19:30:24:188,42.1065
19:30:24:205,41.3143
19:30:24:224,42.0287
19:30:24:245,40.8951
19:30:24:264,39.5606
19:30:24:287,40.5245
19:30:24:304,42.5383
19:30:24:323,41.9202
19:30:24:345,40.8486
19:30:24:372,43.0282
19:30:24:391,41.6752
19:30:24:405,39.1564
19:30:24:425,42.0905
19:30:24:444,41.0604
19:30:24:464,42.4258
19:30:24:490,42.566
19:30:24:505,39.6219
19:30:24:523,42.2107
19:30:24:589,41.0899
19:30:24:589,42.6974
19:30:24:589,42.1798
19:30:24:608,42.7136
19:30:24:623,43.3479
19:30:24:642,40.3947
19:30:24:663,42.2576
19:30:24:691,42.2498
19:30:24:709,44.1423
19:30:24:723,42.8752
19:30:24:746,43.6843
19:30:24:770,43.0959
19:30:24:788,41.6087
19:30:24:804,43.9372
19:30:24:824,43.6217
19:30:24:843,43.6758
19:30:24:863,43.7359
19:30:24:889,44.8524
19:30:24:907,43.9825
19:30:24:924,43.4109
19:30:24:943,45.3247
19:30:24:964,46.2729
19:30:24:989,45.4679
19:30:25:007,46.1684
19:30:25:025,44.6582
19:30:25:043,45.8911
19:30:25:063,43.6987
19:30:25:090,45.3
19:30:25:106,46.3348
19:30:25:126,45.183
19:30:25:143,47.1724
19:30:25:164,45.1113
19:30:25:189,47.2755
19:30:25:204,46.99
19:30:25:224,48.6446
19:30:25:244,46.9482
19:30:25:264,47.9196
19:30:25:287,47.7328
19:30:25:304,48.0008
19:30:25:322,48.7758
19:30:25:343,48.9981
19:30:25:364,47.4917
19:30:25:387,47.6952
19:30:25:404,48.1216
19:30:25:423,48.4928
19:30:25:443,49.0784
19:30:25:464,49.4014
19:30:25:488,47.816
19:30:25:506,49.0275
19:30:25:531,48.4773
19:30:25:544,47.6217
19:30:25:564,49.225
19:30:25:589,49.2382
19:30:25:610,45.9174
19:30:25:623,48.585
19:30:25:643,47.8523
19:30:25:664,48.5428
19:30:25:689,49.9161
19:30:25:705,47.8717
19:30:25:723,47.7736
19:30:25:744,47.9095
19:30:25:764,48.3351
19:30:25:789,48.7033
19:30:25:805,47.7215
19:30:25:823,49.3231
19:30:25:849,49.0776
19:30:25:871,46.8842
19:30:25:886,48.4569
19:30:25:904,48.328
19:30:25:923,47.2197
19:30:25:944,48.2348
19:30:25:964,48.1229
19:30:25:989,47.8533
19:30:26:007,47.7561
19:30:26:024,47.1615
19:30:26:043,47.6048
19:30:26:065,47.2962
19:30:26:089,47.2962
19:30:26:107,48.2005
19:30:26:123,47.9621
19:30:26:143,46.9443
19:30:26:164,48.5983
19:30:26:189,47.4329
19:30:26:206,48.0487
19:30:26:225,45.598
19:30:26:242,47.5138
19:30:26:264,47.586
19:30:26:288,47.484
19:30:26:306,47.929
19:30:26:322,47.135
19:30:26:342,45.3132
19:30:26:363,46.6255
19:30:26:390,45.4553
19:30:26:407,45.8895
19:30:26:422,47.2723
19:30:26:443,47.1173
19:30:26:463,45.9334
19:30:26:488,45.3234
19:30:26:504,46.9086
19:30:26:522,45.6806
19:30:26:542,44.2807
19:30:26:565,44.7596
19:30:26:589,44.1049
19:30:26:664,44.3291
19:30:26:664,44.1661
19:30:26:665,44.8331
19:30:26:665,44.1042
19:30:26:682,43.9826
19:30:26:710,44.2783
19:30:26:724,43.6991
19:30:26:742,44.224
19:30:26:762,45.1846
19:30:26:787,44.6128
19:30:26:806,44.0442
19:30:26:823,44.0356
19:30:26:842,42.9229
19:30:26:863,42.9809
19:30:26:888,42.1615
19:30:26:907,41.8842
19:30:26:922,42.3437
19:30:26:942,42.5539
19:30:26:963,41.087
19:30:26:988,41.5502
19:30:27:005,40.9302
19:30:27:023,40.9273
19:30:27:048,42.441
19:30:27:061,41.9493
19:30:27:085,41.1008
19:30:27:105,40.3587
19:30:27:124,41.4366
19:30:27:144,42.5601
19:30:27:162,41.6327
19:30:27:183,42.7741
19:30:27:207,41.7014
19:30:27:224,40.7066
19:30:27:242,40.5282
19:30:27:262,40.2838
19:30:27:290,39.1418
19:30:27:307,40.6264
19:30:27:324,41.1181
19:30:27:344,40.2975
19:30:27:361,40.3605
19:30:27:381,40.1248
19:30:27:405,40.0178
19:30:27:423,40.6654
19:30:27:440,41.1823
19:30:27:464,39.4188
19:30:27:490,39.8001
19:30:27:509,39.4274
19:30:27:527,39.1419
19:30:27:542,38.959
19:30:27:562,40.6152
19:30:27:582,38.8436
19:30:27:606,39.4255
19:30:27:623,37.8786
19:30:27:642,40.0596
19:30:27:663,38.3982
19:30:27:688,39.9313
19:30:27:706,40.1812
19:30:27:723,40.2185
19:30:27:744,39.0463
19:30:27:762,39.1398
19:30:27:787,39.5964
19:30:27:806,39.9272
19:30:27:821,41.2166
19:30:27:841,39.5882
19:30:27:863,40.248
19:30:27:890,38.5236
19:30:27:908,39.9024
19:30:27:926,40.6176
19:30:27:942,40.3334
19:30:27:962,39.9381
19:30:27:983,39.6918
19:30:28:004,39.5154
19:30:28:021,40.827
19:30:28:044,40.9867
19:30:28:066,39.099
19:30:28:096,40.3306
19:30:28:103,40.8326
19:30:28:121,39.9974
19:30:28:149,40.6313
19:30:28:160,40.7443
19:30:28:180,39.3496
19:30:28:204,40.8795
19:30:28:225,41.6442
19:30:28:241,41.1523
19:30:28:272,40.3998
19:30:28:288,42.2031
19:30:28:307,40.9442
19:30:28:322,40.8434
19:30:28:341,42.1798
19:30:28:361,41.5025
19:30:28:381,42.4048
19:30:28:406,42.1431
19:30:28:422,41.7519
19:30:28:441,42.2274
19:30:28:461,41.72
19:30:28:482,42.0353
19:30:28:506,42.1667
19:30:28:522,42.5425
19:30:28:540,43.8584
19:30:28:564,43.7385
19:30:28:590,43.7385
19:30:28:604,43.2564
19:30:28:621,42.1636
19:30:28:641,43.119
19:30:28:662,43.2406
19:30:28:688,42.426
19:30:28:756,43.6912
19:30:28:756,43.7014
19:30:28:757,43.2863
19:30:28:769,43.9376
19:30:28:790,44.0968
19:30:28:806,45.2693
19:30:28:820,44.0154
19:30:28:840,43.589
19:30:28:863,45.3831
19:30:28:880,45.1644
19:30:28:901,45.5748
19:30:28:920,45.2469
19:30:28:940,45.183
19:30:28:961,45.3105
19:30:28:982,45.83
19:30:29:006,45.343
19:30:29:023,46.0626
19:30:29:040,46.7683
19:30:29:062,47.7374
19:30:29:080,45.8431
19:30:29:106,48.1263
19:30:29:122,48.4311
19:30:29:140,47.6372
19:30:29:160,47.5078
19:30:29:180,48.2531
19:30:29:205,48.8106
19:30:29:221,48.7169
19:30:29:250,49.3561
19:30:29:260,48.4772
19:30:29:282,49.0536
19:30:29:300,48.1912
19:30:29:324,50.1567
19:30:29:341,49.0835
19:30:29:361,49.3714
19:30:29:383,48.6694
19:30:29:406,51.3851
19:30:29:423,50.0681
19:30:29:440,49.3493
19:30:29:464,49.578
19:30:29:479,50.819
19:30:29:500,50.8561
19:30:29:525,51.3347
19:30:29:542,52.8974
19:30:29:560,51.0712
19:30:29:581,51.9188
19:30:29:607,50.6482
