Time,Meg
14:32:16:305,63.7211
14:32:16:325,63.6309
14:32:16:345,63.6848
14:32:16:366,63.9515
14:32:16:386,63.9798
14:32:16:405,63.8349
14:32:16:425,63.197
14:32:16:445,62.9751
14:32:16:465,62.7631
14:32:16:485,62.7134
14:32:16:505,62.9225
14:32:16:525,63.2338
14:32:16:545,63.3688
14:32:16:565,63.2756
14:32:16:585,63.3756
14:32:16:605,63.0175
14:32:16:625,63.2662
14:32:16:646,63.2948
14:32:16:666,63.4827
14:32:16:687,63.447
14:32:16:705,63.152
14:32:16:725,62.91
14:32:16:746,62.9559
14:32:16:765,63.1267
14:32:16:787,63.1328
14:32:16:805,63.3341
14:32:16:825,63.3723
14:32:16:845,63.4446
14:32:16:866,63.5379
14:32:16:885,63.6918
14:32:16:906,63.6348
14:32:16:930,63.6794
14:32:16:945,63.3999
14:32:16:965,63.3557
14:32:16:985,63.426
14:32:17:006,63.5379
14:32:17:025,63.4874
14:32:17:045,63.1962
14:32:17:066,63.4514
14:32:17:085,63.2043
14:32:17:105,63.1974
14:32:17:125,63.1867
14:32:17:146,63.0095
14:32:17:166,62.7486
14:32:17:185,62.7649
14:32:17:205,62.922
14:32:17:225,63.0017
14:32:17:246,63.1135
14:32:17:266,63.345
14:32:17:285,63.3425
14:32:17:306,63.4295
14:32:17:325,63.4826
14:32:17:346,63.6797
14:32:17:365,63.7821
14:32:17:385,63.634
14:32:17:405,63.4703
14:32:17:425,63.3544
14:32:17:446,63.1165
14:32:17:465,63.009
14:32:17:485,62.9591
14:32:17:505,62.9132
14:32:17:526,62.9885
14:32:17:546,63.2576
14:32:17:566,63.4059
14:32:17:585,63.2545
14:32:17:606,63.1988
14:32:17:625,63.0309
14:32:17:645,62.8042
14:32:17:665,62.9127
14:32:17:686,62.9109
14:32:17:705,63.1494
14:32:17:726,63.369
14:32:17:745,63.1346
14:32:17:765,63.1198
14:32:17:786,63.0261
14:32:17:805,62.8806
14:32:17:826,62.6697
14:32:17:845,62.6096
14:32:17:865,62.3469
14:32:17:885,62.3061
14:32:17:906,62.5737
14:32:17:925,62.7397
14:32:17:945,62.8706
14:32:17:965,63.1604
14:32:17:985,63.3926
14:32:18:006,63.3551
14:32:18:025,63.2793
14:32:18:046,63.3136
14:32:18:066,62.909
14:32:18:085,62.7801
14:32:18:105,62.8097
14:32:18:125,62.9024
14:32:18:146,62.9343
14:32:18:165,63.0331
14:32:18:185,63.3891
14:32:18:205,63.3782
14:32:18:225,63.3063
14:32:18:245,63.2773
14:32:18:265,63.21
14:32:18:286,63.1089
14:32:18:322,63.1153
14:32:18:330,63.2856
14:32:18:345,63.3609
14:32:18:365,63.6317
14:32:18:385,63.5054
14:32:18:405,63.659
14:32:18:425,63.476
14:32:18:445,63.2654
14:32:18:465,63.6178
14:32:18:485,63.697
14:32:18:505,63.6001
14:32:18:525,63.6616
14:32:18:545,63.637
14:32:18:565,63.6988
14:32:18:586,63.7891
14:32:18:605,64.0285
14:32:18:625,64.2777
14:32:18:645,64.3203
14:32:18:665,64.1967
14:32:18:685,64.5048
14:32:18:705,64.519
14:32:18:725,64.444
14:32:18:746,64.5294
14:32:18:766,64.7894
14:32:18:786,64.8882
14:32:18:805,64.7729
14:32:18:825,64.7812
14:32:18:846,64.9211
14:32:18:868,64.9393
14:32:18:885,65.0092
14:32:18:905,65.1217
14:32:18:925,65.1613
14:32:18:946,65.2114
14:32:18:965,65.2302
14:32:18:985,65.472
14:32:19:006,65.6234
14:32:19:029,65.5976
14:32:19:046,65.7349
14:32:19:065,66.0516
14:32:19:085,66.1737
14:32:19:106,66.063
14:32:19:125,66.0724
14:32:19:146,66.2477
14:32:19:165,66.0776
14:32:19:185,65.8473
14:32:19:205,66.0257
14:32:19:225,66.2627
14:32:19:245,66.2473
14:32:19:266,66.4191
14:32:19:285,66.5215
14:32:19:305,66.2258
14:32:19:325,66.0123
14:32:19:345,65.8875
14:32:19:366,65.9567
14:32:19:385,65.8171
14:32:19:405,65.9457
14:32:19:425,66.2606
14:32:19:446,66.3748
14:32:19:465,66.5537
14:32:19:485,66.5445
14:32:19:505,66.5126
14:32:19:526,66.6185
14:32:19:545,66.8144
14:32:19:565,66.5649
14:32:19:585,66.7204
14:32:19:606,66.5056
14:32:19:625,66.6044
14:32:19:646,66.7505
14:32:19:665,66.9684
14:32:19:685,67.1435
14:32:19:705,67.5581
14:32:19:725,67.6297
14:32:19:745,67.6579
14:32:19:766,67.6916
14:32:19:786,67.5039
14:32:19:806,67.6316
14:32:19:826,67.6296
14:32:19:846,67.5426
14:32:19:866,67.4556
14:32:19:888,67.4371
14:32:19:907,67.4996
14:32:19:926,67.2907
14:32:19:946,67.1786
14:32:19:966,67.2203
14:32:19:985,67.2099
14:32:20:007,67.0882
14:32:20:026,66.8578
14:32:20:046,66.9542
14:32:20:066,66.8692
14:32:20:086,66.8903
14:32:20:106,67.0479
14:32:20:126,67.3435
14:32:20:146,67.2366
14:32:20:166,67.1694
14:32:20:186,67.0241
14:32:20:206,67.0298
14:32:20:226,66.9958
14:32:20:246,67.0352
14:32:20:270,67.1068
14:32:20:286,67.0475
14:32:20:306,66.8918
14:32:20:361,66.6504
14:32:20:361,66.4253
14:32:20:373,66.2766
14:32:20:385,66.0453
14:32:20:406,66.2932
14:32:20:426,66.0586
14:32:20:446,65.9247
14:32:20:466,65.598
14:32:20:486,65.3456
14:32:20:506,65.1579
14:32:20:526,65.1886
14:32:20:546,65.0969
14:32:20:569,64.7604
14:32:20:587,64.6707
14:32:20:606,64.3013
14:32:20:626,63.8938
14:32:20:646,63.9811
14:32:20:667,63.8816
14:32:20:686,63.9767
14:32:20:705,63.9441
14:32:20:726,63.7993
14:32:20:746,63.6691
14:32:20:767,63.5323
14:32:20:786,63.3123
14:32:20:806,63.3656
14:32:20:826,63.3416
14:32:20:846,63.2349
14:32:20:866,63.14
14:32:20:886,62.9067
14:32:20:906,62.4914
14:32:20:926,62.1256
14:32:20:946,61.4921
14:32:20:966,61.0354
14:32:20:986,60.749
14:32:21:006,60.4622
14:32:21:026,60.539
14:32:21:046,60.724
14:32:21:067,60.6379
14:32:21:086,60.6347
14:32:21:107,60.308
14:32:21:126,59.9813
14:32:21:147,59.624
14:32:21:166,59.3734
14:32:21:186,59.4514
14:32:21:206,59.0813
14:32:21:226,58.7225
14:32:21:246,58.7568
14:32:21:265,58.5197
14:32:21:285,58.4637
14:32:21:306,58.2555
14:32:21:325,58.2734
14:32:21:347,57.8052
14:32:21:365,57.4808
14:32:21:386,57.2839
14:32:21:406,57.2696
14:32:21:426,57.1142
14:32:21:446,57.1026
14:32:21:466,56.3345
14:32:21:486,55.9638
14:32:21:506,55.3574
14:32:21:529,55.1722
14:32:21:546,55.0129
14:32:21:565,54.5823
14:32:21:586,54.4416
14:32:21:606,54.2141
14:32:21:629,54.0216
14:32:21:646,53.696
14:32:21:666,53.3746
14:32:21:687,52.9365
14:32:21:706,53.1687
14:32:21:728,52.7859
14:32:21:746,52.9307
14:32:21:766,53.0709
14:32:21:786,52.5312
14:32:21:816,52.5702
14:32:21:827,52.4049
14:32:21:850,51.9255
14:32:21:867,51.5424
14:32:21:886,51.3951
14:32:21:909,51.2001
14:32:21:926,51.0594
14:32:21:946,51.2276
14:32:21:966,51.4905
14:32:21:986,51.2173
14:32:22:010,51.1459
14:32:22:026,51.1867
14:32:22:047,51.0494
14:32:22:067,50.6507
14:32:22:086,50.4547
14:32:22:108,50.4343
14:32:22:126,50.2242
14:32:22:146,50.3388
14:32:22:166,50.6753
14:32:22:186,50.5877
14:32:22:207,50.3511
14:32:22:226,50.6068
14:32:22:246,50.7231
14:32:22:267,50.5917
14:32:22:295,50.6731
14:32:22:310,50.7462
14:32:22:325,50.4904
14:32:22:347,50.5961
14:32:22:401,50.625
14:32:22:402,50.7756
14:32:22:405,50.716
14:32:22:427,50.4977
14:32:22:446,50.4452
14:32:22:467,50.8327
14:32:22:488,50.9094
14:32:22:506,51.0564
14:32:22:526,51.4399
14:32:22:546,51.482
14:32:22:566,51.7774
14:32:22:588,51.7916
14:32:22:605,51.6632
14:32:22:626,51.9047
14:32:22:646,52.0009
14:32:22:666,52.0077
14:32:22:686,52.4086
14:32:22:706,52.4263
14:32:22:726,52.4549
14:32:22:746,52.2231
14:32:22:774,52.2463
14:32:22:787,52.0399
14:32:22:806,51.9404
14:32:22:826,51.9669
14:32:22:847,52.0672
14:32:22:868,52.1858
14:32:22:886,52.1679
14:32:22:906,52.4622
14:32:22:927,52.4209
14:32:22:950,52.4953
14:32:22:969,52.6615
14:32:22:985,52.9205
14:32:23:006,53.0176
14:32:23:026,53.031
14:32:23:046,53.2073
14:32:23:066,53.2562
14:32:23:086,53.4315
14:32:23:106,53.5885
14:32:23:126,53.2379
14:32:23:154,53.6369
14:32:23:166,53.5634
14:32:23:186,53.9359
14:32:23:206,54.3386
14:32:23:226,54.2633
14:32:23:249,54.2492
14:32:23:265,54.291
14:32:23:285,54.0749
14:32:23:306,54.041
14:32:23:325,54.3739
14:32:23:348,54.4188
14:32:23:365,54.4105
14:32:23:386,54.5828
14:32:23:406,54.6412
14:32:23:426,54.4639
14:32:23:447,54.4046
14:32:23:466,54.2423
14:32:23:487,54.4459
14:32:23:506,54.7024
14:32:23:527,54.7369
14:32:23:545,55.0921
14:32:23:565,55.1085
14:32:23:585,54.7558
14:32:23:606,54.6347
14:32:23:628,54.5023
14:32:23:646,54.1846
14:32:23:666,54.081
14:32:23:686,54.5217
14:32:23:706,54.5443
14:32:23:728,54.4292
14:32:23:748,54.4613
14:32:23:766,54.1578
14:32:23:787,53.9562
14:32:23:807,54.0792
14:32:23:827,54.1684
14:32:23:847,54.2091
14:32:23:866,54.2915
14:32:23:886,54.2878
14:32:23:915,53.9459
14:32:23:926,53.8157
14:32:23:946,53.5258
14:32:23:966,53.384
14:32:23:992,53.2439
14:32:24:006,53.3881
14:32:24:026,53.3224
14:32:24:047,53.1421
14:32:24:066,53.1694
14:32:24:086,53.0376
14:32:24:114,53.0538
14:32:24:125,52.7735
14:32:24:146,52.746
14:32:24:166,52.642
14:32:24:186,52.5872
14:32:24:207,52.4978
14:32:24:226,52.2216
14:32:24:246,51.9971
14:32:24:266,51.7314
14:32:24:285,51.8014
14:32:24:306,51.6609
14:32:24:326,51.3711
14:32:24:346,51.0891
14:32:24:366,50.9593
14:32:24:390,50.8132
14:32:24:406,50.6053
14:32:24:448,50.7029
14:32:24:450,50.677
14:32:24:467,50.8382
14:32:24:489,50.6194
14:32:24:505,50.6055
14:32:24:526,50.4054
14:32:24:546,50.2444
14:32:24:566,49.808
14:32:24:587,49.4787
14:32:24:606,49.2189
14:32:24:626,49.039
14:32:24:646,49.0203
14:32:24:666,49.2307
14:32:24:686,49.2113
14:32:24:706,48.645
14:32:24:726,48.4033
14:32:24:746,48.3777
14:32:24:774,48.3932
14:32:24:786,48.4373
14:32:24:806,48.3581
14:32:24:826,48.1609
14:32:24:846,47.9212
14:32:24:868,48.0279
14:32:24:886,47.7712
14:32:24:906,47.6974
14:32:24:927,47.8085
14:32:24:947,47.5046
14:32:24:967,47.4638
14:32:24:986,47.5774
14:32:25:006,47.4199
14:32:25:026,47.3022
14:32:25:046,47.397
14:32:25:068,47.1244
14:32:25:086,46.9652
14:32:25:106,47.0457
14:32:25:126,46.91
