Time,Meg
14:36:18:046,59.1771
14:36:18:065,59.1406
14:36:18:085,58.9863
14:36:18:105,58.647
14:36:18:125,58.719
14:36:18:145,58.6678
14:36:18:165,58.9846
14:36:18:185,58.917
14:36:18:205,59.3707
14:36:18:225,59.5533
14:36:18:245,59.4163
14:36:18:265,59.4145
14:36:18:285,59.1149
14:36:18:305,58.8928
14:36:18:325,58.9919
14:36:18:345,59.3402
14:36:18:365,59.4204
14:36:18:385,59.5205
14:36:18:405,59.6088
14:36:18:425,59.2906
14:36:18:445,59.4334
14:36:18:466,59.7978
14:36:18:485,59.9392
14:36:18:505,60.021
14:36:18:525,59.7921
14:36:18:546,59.5847
14:36:18:565,59.463
14:36:18:585,59.405
14:36:18:605,59.3847
14:36:18:625,59.4686
14:36:18:646,59.5725
14:36:18:665,59.6335
14:36:18:685,59.9031
14:36:18:705,59.7969
14:36:18:725,59.8622
14:36:18:745,60.1581
14:36:18:765,60.1276
14:36:18:786,60.2682
14:36:18:806,60.3315
14:36:18:832,60.5589
14:36:18:849,60.4782
14:36:18:865,60.7289
14:36:18:886,60.7308
14:36:18:908,61.0802
14:36:18:931,61.3757
14:36:18:947,61.4196
14:36:18:966,61.4093
14:36:18:986,61.1224
14:36:19:006,61.0834
14:36:19:031,61.1921
14:36:19:046,61.2739
14:36:19:065,61.3287
14:36:19:086,61.4477
14:36:19:113,61.3322
14:36:19:129,61.3073
14:36:19:146,61.2203
14:36:19:166,61.0171
14:36:19:186,61.1896
14:36:19:213,61.0678
14:36:19:226,61.0683
14:36:19:246,61.2978
14:36:19:266,61.6068
14:36:19:289,61.5308
14:36:19:312,61.174
14:36:19:325,61.2319
14:36:19:346,61.3592
14:36:19:366,61.1472
14:36:19:386,61.1428
14:36:19:411,61.261
14:36:19:428,61.1473
14:36:19:446,61.0306
14:36:19:466,61.0499
14:36:19:493,61.1294
14:36:19:510,60.8634
14:36:19:527,60.7609
14:36:19:546,61.0644
14:36:19:566,60.6756
14:36:19:593,60.831
14:36:19:609,61.0281
14:36:19:626,61.2411
14:36:19:647,61.4009
14:36:19:666,61.5397
14:36:19:692,61.6522
14:36:19:706,61.6195
14:36:19:726,61.366
14:36:19:746,61.1385
14:36:19:766,61.1306
14:36:19:792,61.0797
14:36:19:806,61.0382
14:36:19:826,60.8352
14:36:19:846,61.2646
14:36:19:866,61.2114
14:36:19:891,61.213
14:36:19:906,61.0942
14:36:19:925,61.2053
14:36:19:946,60.9606
14:36:19:972,60.9922
14:36:19:985,60.8868
14:36:20:006,60.9264
14:36:20:038,60.9089
14:36:20:055,61.2651
14:36:20:067,61.0432
14:36:20:085,61.0186
14:36:20:106,61.0416
14:36:20:126,61.1733
14:36:20:146,61.3747
14:36:20:167,61.268
14:36:20:186,61.1458
14:36:20:206,60.9972
14:36:20:226,60.9705
14:36:20:246,61.1454
14:36:20:266,61.2293
14:36:20:285,61.5207
14:36:20:306,61.5258
14:36:20:326,61.5597
14:36:20:348,61.6624
14:36:20:366,61.6884
14:36:20:386,61.7966
14:36:20:408,61.9938
14:36:20:427,62.0863
14:36:20:446,62.2472
14:36:20:465,62.3918
14:36:20:486,62.4066
14:36:20:506,62.4822
14:36:20:526,62.5514
14:36:20:552,62.7791
14:36:20:565,62.9392
14:36:20:586,62.9578
14:36:20:606,63.0592
14:36:20:627,63.3055
14:36:20:647,63.2635
14:36:20:665,62.9319
14:36:20:686,63.2588
14:36:20:706,63.1359
14:36:20:733,63.1014
14:36:20:746,62.9265
14:36:20:767,63.1688
14:36:20:786,63.1746
14:36:20:805,63.3346
14:36:20:833,63.2911
