Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
14:32:16:305,473,-77,474,,42,,475,-92.0,322,
14:32:18:322,473,-74,474,,42,,475,-93.0,322,
14:32:20:306,473,-84,474,,42,,475,-96.0,322,-102.0
14:32:22:310,473,-73,474,,42,,475,-95.0,322,-96.0
14:32:24:306,473,-74,474,,42,,475,-90.0,322,
14:32:26:306,473,-77,474,,42,,475,-99.0,322,-116.0
14:32:28:306,473,-72,474,,42,,475,,322,
14:32:30:310,473,-75,474,,42,,475,-95.0,322,-93.0
14:32:32:306,473,-73,474,,42,,475,,322,
14:32:34:309,473,-85,474,,42,,475,-118.0,322,
14:32:36:306,473,-84,474,,42,,475,-115.0,322,
14:32:38:305,473,-81,474,,42,,475,-95.0,322,
14:32:40:305,473,-72,474,,42,,475,-92.0,322,-92.0
14:32:42:305,473,-80,474,,42,,475,,322,
14:32:44:306,473,-87,474,,42,,475,-125.0,322,
14:32:46:306,473,-76,474,,42,,475,-117.0,322,
14:32:48:305,473,-83,474,,42,,475,,322,
14:32:50:305,473,-83,474,,42,,475,,322,
14:32:52:306,473,-86,474,,42,,475,,322,
14:32:54:337,473,-84,474,,42,,475,,322,
14:32:56:326,473,-85,474,,42,,475,,322,
14:32:58:305,473,-82,474,,42,,475,,322,
14:33:00:305,473,-83,474,-106.0,42,,475,,322,-116.0
14:33:02:306,473,-81,474,-100.0,42,,475,,322,-105.0
14:33:04:306,473,-86,474,-91.0,42,,475,,322,-102.0
14:33:06:308,473,-85,474,-93.0,42,,475,,322,-102.0
14:33:08:309,473,-87,474,-96.0,42,,475,,322,-99.0
14:33:10:308,473,-86,474,-96.0,42,,475,,322,-99.0
14:33:12:308,473,-88,474,-94.0,42,,475,,322,-101.0
14:33:14:305,473,-88,474,,42,,475,,322,
14:33:16:305,473,-88,474,-98.0,42,,475,,322,-103.0
14:33:18:306,473,-92,474,-97.0,42,,475,,322,-107.0
14:33:20:306,473,-92,474,-97.0,42,,475,,322,-98.0
14:33:22:308,473,-78,474,-97.0,42,,475,,322,
14:33:24:305,473,-84,474,,42,,475,,322,
14:33:26:308,473,-77,474,,42,,475,,322,
14:33:28:307,473,-82,474,,42,,475,,322,
14:33:30:306,473,-76,474,,42,,475,,322,
14:33:32:306,473,-75,474,,42,,475,,322,
14:33:34:306,473,-79,474,,42,,475,,322,
14:33:36:306,473,-71,474,,42,,475,,322,
14:33:38:308,473,-68,474,,42,,475,,322,
14:33:40:307,473,-78,474,,42,,475,,322,
14:33:42:308,473,-76,474,,42,,475,,322,
14:33:44:308,473,-78,474,,42,,475,,322,
14:33:46:308,473,-79,474,,42,,475,,322,
14:33:48:309,473,-75,474,,42,,475,,322,
14:33:50:308,473,-82,474,,42,,475,,322,
14:33:52:313,473,-91,474,,42,,475,,322,
14:33:54:306,473,-79,474,,42,,475,-93.0,322,
14:33:56:305,473,-79,474,,42,,475,-94.0,322,
14:33:58:308,473,-76,474,,42,,475,-91.0,322,
14:34:00:306,473,-81,474,-121.0,42,,475,-95.0,322,
14:34:02:306,473,-80,474,-140.0,42,,475,-92.0,322,
14:34:04:306,473,-84,474,-140.0,42,,475,-97.0,322,
14:34:06:306,473,-77,474,-140.0,42,,475,-91.0,322,
14:34:08:306,473,-84,474,-140.0,42,,475,-90.0,322,
14:34:10:347,473,-75,474,,42,,475,-88.0,322,
14:34:12:357,473,-77,474,,42,,475,-88.0,322,
