Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
14:53:10:647,473,-81,474,,42,,475,,322,
14:53:12:669,473,-79,474,,42,,475,,322,
14:53:14:646,473,-83,474,,42,,475,,322,
14:53:16:646,473,-83,474,,42,,475,,322,
14:53:18:646,473,-89,474,,42,,475,,322,
14:53:20:647,473,-72,474,,42,,475,,322,
14:53:22:645,473,-68,474,,42,,475,,322,
14:53:24:646,473,-76,474,,42,,475,,322,
14:53:26:645,473,-85,474,,42,,475,,322,
14:53:28:646,473,-79,474,,42,,475,,322,
14:53:30:646,473,-79,474,,42,,475,,322,
14:53:32:646,473,-84,474,,42,,475,,322,
14:53:34:646,473,-89,474,,42,,475,,322,
14:53:36:645,473,-93,474,,42,,475,,322,
14:53:38:646,473,-84,474,,42,,475,,322,
14:53:40:645,473,-84,474,,42,,475,,322,
14:53:42:646,473,-83,474,,42,,475,,322,
14:53:44:646,473,-83,474,,42,,475,,322,
14:53:46:645,473,-85,474,,42,,475,,322,
14:53:48:646,473,-84,474,-96.0,42,,475,,322,
14:53:50:646,473,-88,474,-105.0,42,,475,,322,
14:53:52:646,473,-87,474,-106.0,42,,475,,322,
14:53:54:646,473,-87,474,-96.0,42,,475,,322,
14:53:56:646,473,-89,474,-93.0,42,,475,,322,
14:53:58:645,473,-89,474,-103.0,42,,475,,322,-103.0
14:54:00:646,473,-91,474,-101.0,42,,475,,322,-108.0
14:54:02:646,473,-82,474,-100.0,42,,475,,322,-98.0
14:54:04:646,473,-82,474,-95.0,42,,475,,322,-109.0
14:54:06:646,473,-84,474,-99.0,42,,475,,322,-114.0
14:54:08:646,473,-82,474,-104.0,42,,475,,322,
14:54:10:647,473,-82,474,-138.0,42,,475,,322,
14:54:12:646,473,-75,474,-119.0,42,,475,,322,
14:54:14:647,473,-78,474,,42,,475,,322,
14:54:16:646,473,-79,474,,42,,475,,322,
14:54:18:646,473,-76,474,,42,,475,,322,
14:54:20:647,473,-81,474,,42,,475,,322,
14:54:22:646,473,-84,474,,42,,475,,322,
14:54:24:646,473,-84,474,,42,,475,,322,
14:54:26:646,473,-80,474,,42,,475,,322,
14:54:28:646,473,-83,474,-110.0,42,,475,-104.0,322,
14:54:30:659,473,-78,474,-134.0,42,,475,-101.0,322,
14:54:32:646,473,-83,474,-140.0,42,,475,,322,
14:54:34:649,473,-86,474,-140.0,42,,475,-98.0,322,
14:54:36:647,473,-80,474,,42,,475,,322,
14:54:38:646,473,-84,474,,42,,475,,322,
14:54:40:647,473,-77,474,,42,,475,,322,
14:54:42:651,473,-88,474,,42,,475,,322,
14:54:44:652,473,-77,474,,42,,475,,322,
14:54:46:647,473,-83,474,,42,,475,,322,
14:54:48:647,473,-76,474,,42,,475,,322,
14:54:50:647,473,-80,474,,42,,475,,322,
