Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
16:28:10:028,-1.67,2.691,9.203,65.4989,0.0069,-0.1507,-0.0232,75.3726
16:28:10:029,-1.476,2.61,9.294,65.6138,-0.0241,-0.1231,-0.0296,75.3726
16:28:10:032,-1.421,2.559,9.4541,65.7036,-0.0389,-0.0879,-0.052,75.3726
16:28:10:052,-1.55,2.6291,9.6911,65.9116,-0.0081,-0.0879,-0.0605,75.3726
16:28:10:071,-1.541,2.622,9.617,66.1046,0.0547,-0.1018,-0.052,75.3726
16:28:10:091,-1.505,2.622,9.3611,66.2431,0.0866,-0.1028,-0.0434,75.3726
16:28:10:114,-1.505,2.6141,9.201,66.3972,0.061,-0.1273,-0.0349,75.3726
16:28:10:131,-1.509,2.631,9.165,66.3136,0.0132,-0.139,-0.0253,75.3726
16:28:10:151,-1.478,2.634,9.299,66.0882,-0.0113,-0.1368,-0.0136,75.3726
16:28:10:171,-1.4021,2.6,9.4069,65.8888,-0.0027,-0.1379,-0.0084,75.3726
16:28:10:193,-1.368,2.583,9.383,65.9736,0.0206,-0.1198,-0.0136,75.3726
16:28:10:212,-1.332,2.5931,9.2921,66.1935,0.0356,-0.0773,-0.0179,75.3726
16:28:10:234,-1.323,2.636,9.17,66.3923,0.0143,-0.0485,-0.021,75.3726
16:28:10:251,-1.316,2.6741,9.179,66.4806,-0.0378,-0.0676,-0.0264,75.3726
16:28:10:270,-1.323,2.681,9.2801,66.3611,-0.0869,-0.091,-0.0264,75.3726
16:28:10:291,-1.344,2.636,9.603,66.3185,-0.0921,-0.1018,-0.021,75.3726
16:28:10:313,-1.268,2.598,9.83,66.3437,-0.023,-0.0901,-0.0019,75.3726
16:28:10:330,-1.17,2.5691,9.708,66.3273,0.0718,-0.0645,0.0087,75.3726
16:28:10:350,-1.191,2.6261,9.416,66.2078,0.1111,-0.0656,0.0098,75.3726
16:28:10:372,-1.196,2.66,9.167,66.0682,0.0718,-0.0762,0.0001,75.3726
16:28:10:390,-1.191,2.6741,9.158,66.0078,0.0175,-0.0582,-0.0104,75.3726
16:28:10:410,-1.205,2.6621,9.296,66.089,-0.0092,-0.0517,-0.0136,75.3726
16:28:10:430,-1.229,2.679,9.464,66.0399,-0.0124,-0.0815,-0.0158,75.3726
16:28:10:450,-1.2011,2.6531,9.519,65.9946,0.0175,-0.1177,-0.0115,75.3726
16:28:10:469,-1.119,2.6381,9.263,65.9236,0.0419,-0.1177,-0.0136,75.3726
16:28:10:490,-1.1381,2.6621,9.167,65.9407,0.0121,-0.1198,-0.0179,75.3726
16:28:10:510,-1.0931,2.6291,9.2291,66.0811,-0.04,-0.1273,-0.0232,75.3726
16:28:10:528,-1.043,2.6381,9.375,66.2696,-0.0474,-0.1114,-0.0286,75.3726
16:28:10:549,-1.0691,2.634,9.498,66.4255,-0.0113,-0.0762,-0.0275,75.3726
16:28:10:568,-1.1,2.648,9.395,66.4494,0.0164,-0.0666,-0.0275,75.3726
16:28:10:588,-1.079,2.6501,9.2081,66.3901,-0.0027,-0.0634,-0.0201,75.3726
16:28:10:610,-1.1051,2.679,9.354,66.3233,-0.0517,-0.0986,-0.0232,75.3726
16:28:10:628,-1.148,2.7011,9.524,66.2641,-0.0645,-0.1752,-0.0232,75.3726
16:28:10:649,-1.1381,2.7371,9.423,66.3259,-0.0411,-0.1772,-0.0168,75.3726
16:28:10:667,-1.119,2.717,9.32,66.4255,-0.0368,-0.1368,0.012,75.3726
16:28:10:687,-1.074,2.691,9.158,66.3575,-0.106,-0.1283,0.0289,75.3726
16:28:10:708,-0.911,2.612,9.146,66.4596,-0.2071,-0.1869,0.0161,75.3726
16:28:10:729,-0.978,2.531,9.339,66.4886,-0.2082,-0.1954,-0.0115,75.3726
16:28:10:747,-1.043,2.588,9.632,66.5683,-0.1123,-0.1145,0.0001,75.3726
16:28:10:768,-1.064,2.5571,9.794,66.5728,-0.0059,-0.0624,0.0214,75.3726
16:28:10:787,-1.062,2.555,9.639,66.5275,0.0622,-0.0826,0.0311,75.3726
16:28:10:807,-0.944,2.571,9.308,66.3079,0.0366,-0.1103,0.0236,75.3726
