Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
16:52:12:002,-1.1059,3.63,7.904,48.5278,-0.311,-0.1327,0.129,69.0878
16:52:12:022,-0.57,3.309,8.225,48.5278,-0.4282,-0.0945,0.0289,69.0878
16:52:12:046,-0.7661,3.302,8.948,49.327,-0.5188,-0.1988,-0.1448,69.0878
16:52:12:068,-1.082,3.206,9.5801,48.5819,-0.5774,-0.4746,-0.2588,69.0878
16:52:12:082,-1.2641,3.5321,9.3791,48.4798,-0.4953,-0.5024,-0.2608,69.0878
16:52:12:102,-1.1231,3.812,9.2591,48.4798,-0.3462,-0.2798,-0.1895,69.0878
16:52:12:123,-1.006,3.791,9.236,49.1519,-0.2663,-0.1488,-0.1639,69.0878
16:52:12:142,-0.9941,3.8,9.18,49.2261,-0.2758,-0.154,-0.198,69.0878
16:52:12:163,-0.996,3.795,9.056,48.4054,-0.3227,-0.1935,-0.2299,69.0878
16:52:12:192,-0.984,3.8171,8.9981,48.3643,-0.3312,-0.1455,-0.2449,69.0878
16:52:12:200,-0.8141,3.8261,8.963,48.3643,-0.2897,-0.0646,-0.2395,69.0878
16:52:12:222,-0.6701,3.659,8.7521,48.3643,-0.245,0.0121,-0.2705,69.0878
16:52:12:241,-0.7421,3.68,8.714,49.0563,-0.2206,0.0888,-0.3344,69.0878
16:52:12:260,-0.864,3.7091,8.685,48.3643,-0.2333,0.0846,-0.3674,69.0878
16:52:12:280,-1.01,3.539,8.5631,49.1232,-0.2408,0.107,-0.3876,69.0878
16:52:12:302,-1.2281,3.312,8.481,48.3767,-0.2599,0.1357,-0.4004,69.0878
16:52:12:320,-1.389,3.2951,8.57,48.3653,-0.2834,0.1474,-0.3865,69.0878
16:52:12:346,-1.5251,3.194,8.63,48.3653,-0.3207,0.1218,-0.3546,69.0878
16:52:12:360,-2.126,3.4601,9.839,48.3653,-0.3824,-0.0561,-0.312,69.0878
16:52:12:381,-2.756,3.803,10.011,48.3529,-0.4102,-0.6153,-0.1873,69.0878
16:52:12:400,-2.717,4.119,9.5801,48.3484,-0.245,-0.5514,-0.0436,69.0878
16:52:12:420,-2.169,3.7121,9.614,48.4325,-0.0309,-0.2702,0.08,69.0878
16:52:12:441,-0.8951,3.395,8.738,48.2931,0.1416,0.1187,0.0385,69.1783
16:52:12:459,-0.4601,3.3,8.735,48.4041,0.0054,0.1079,-0.1298,69.1783
16:52:12:492,-0.3401,3.534,9.216,48.3062,-0.1672,-0.105,-0.2875,69.2685
16:52:12:500,-0.596,3.6881,10.332,47.5786,-0.2663,-0.4342,-0.3854,69.3596
16:52:12:520,-0.821,3.647,10.6031,48.4245,-0.2291,-0.5631,-0.4366,69.4546
16:52:12:542,-0.689,3.573,10.5881,49.0707,-0.0543,-0.3106,-0.4462,69.556
16:52:12:559,-0.488,3.398,11.0051,48.3123,0.1299,-0.0817,-0.4579,69.666
16:52:12:589,-0.632,3.2111,11.172,48.9958,0.2141,-0.2009,-0.524,69.7861
16:52:12:599,-1.092,2.9771,11.73,48.9693,0.228,-0.5408,-0.5868,69.9176
16:52:12:619,-1.377,3.209,11.6231,49.0224,0.2344,-0.9157,-0.5709,70.0624
16:52:12:639,-0.9,3.1151,11.223,48.3188,0.4858,-0.7964,-0.4707,70.2221
16:52:12:659,0.212,2.522,10.3151,49.7063,0.6328,-0.4353,-0.4323,70.3962
16:52:12:680,0.42,1.679,9.848,49.0141,0.4037,-0.169,-0.4823,70.5835
16:52:12:700,-0.06,0.987,10.112,49.6575,0.1077,0.0962,-0.5505,70.783
16:52:12:719,0.021,0.9101,10.6001,48.9877,0.0235,0.2551,-0.5516,70.9947
16:52:12:738,0.485,0.8381,10.2701,49.6291,0.162,0.2773,-0.5783,71.2191
16:52:12:758,0.7361,1.02,9.5801,49.6404,0.1726,0.0942,-0.6326,71.4562
16:52:12:781,0.521,1.236,8.948,49.614,-0.0106,-0.1338,-0.6432,71.7068
16:52:12:798,0.068,1.377,8.5961,49.6609,-0.2067,-0.2307,-0.5826,71.9714
16:52:12:819,-0.062,1.3871,8.457,49.7301,-0.3312,-0.1743,-0.4857,72.2494
16:52:12:838,-0.026,1.518,8.369,49.5818,-0.311,-0.0698,-0.4058,72.5389
16:52:12:858,0.224,1.676,8.273,49.6194,-0.2684,-0.0263,-0.378,72.837
16:52:12:882,0.2651,1.77,8.4671,48.9636,-0.2535,-0.0613,-0.4058,73.1414
16:52:12:900,0.0161,1.937,8.702,49.766,-0.1746,-0.169,-0.4419,73.4507
16:52:12:917,0.1211,2.3111,8.67,49.1313,-0.0404,-0.316,-0.4345,73.7646
