Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
signal_20260108_1726.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[292, 127, 170, 291, 318, 320]","[-84, -92, -99, -109, -110, -110]","[bc:9b:5e:c6:1c:5c, 30:c6:d7:04:4e:20, 2a:d0:ea:03:fa:48, 16:23:0a:46:5d:48, 80:9d:65:dd:ff:a4, 30:c6:d7:02:e9:40, 30:c6:d7:51:29:28, 9a:a0:6c:3d:8e:23, 80:9d:65:dd:ff:83, a0:69:d9:5c:d0:d0, be:35:a5:fc:1d:3b, a6:d7:3c:93:52:00, 80:9d:65:fe:f3:e2, 36:94:54:7e:41:ac, ae:f7:58:bb:2e:01, 30:c6:d7:02:06:80, a0:69:d9:5c:d0:c0, 30:c6:d7:02:4a:08, 30:c6:d7:04:29:88, 30:c6:d7:02:06:88, 30:c6:d7:01:fe:a8, 30:c6:d7:01:fe:a0, 30:c6:d7:04:3c:a8, d0:76:e7:23:eb:77, 4a:27:32:b5:64:4f, 30:c6:d7:04:3c:a0]","[, HNU, DIRECT-WLDESKTOP-M86BSVMmsP7, D210, AP_GD9239681, HNU, HNU, iQOO 12, AP_GD9239671, HNU, OPPO A97 5G, DIRECT-1CJ0rEB207105GOqy, AP_GD9244363, RADAR9446551201342, ., HNU, HNU, HNU, HNU, HNU, HNU, HNU, HNU, , iQOO Neo7 SE, HNU]","[-92, -98, -75, -66, -76, -98, -89, -74, -86, -98, -87, -99, -90, -98, -71, -62, -94, -54, -78, -64, -65, -54, -80, -92, -87, -83]"
signal_20260108_1726.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[292, 54, 127, 170, 318, 320, 58, 318, 291, 318]","[-92, -81, -93, -98, -107, -111, -112, -115, -117, -117]","[bc:9b:5e:c6:19:3e, 2a:d0:ea:03:fa:48, 16:23:0a:46:5d:48, 30:c6:d7:04:2c:48, 30:c6:d7:02:4a:08, 30:c6:d7:02:06:88, 9a:a0:6c:3d:8e:23, 80:9d:65:dd:ff:83, 30:c6:d7:01:fe:a8, 30:c6:d7:02:4a:00, be:35:a5:fc:1d:3b, a6:d7:3c:93:52:00, 30:c6:d7:04:3c:a8, bc:9b:5e:c6:10:f4, 30:c6:d7:04:3c:a0]","[, DIRECT-WLDESKTOP-M86BSVMmsP7, D210, HNU, HNU, HNU, iQOO 12, AP_GD9239671, HNU, HNU, OPPO A97 5G, DIRECT-1CJ0rEB207105GOqy, HNU, , HNU]","[-95, -63, -72, -89, -69, -88, -97, -100, -79, -63, -84, -98, -67, -100, -62]"
signal_20260108_1726.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[292, 127, 170, 291, 318, 320, 58]","[-84, -92, -97, -109, -109, -109, -113]","[30:c6:d7:04:4e:40, 2a:d0:ea:03:fa:48, ec:da:59:89:ac:c0, 16:23:0a:46:5d:48, 30:c6:d7:04:2c:48, 30:c6:d7:02:4a:08, 30:c6:d7:04:29:88, 30:c6:d7:02:01:60, 30:c6:d7:02:06:88, e4:60:4d:ff:20:86, 9a:a0:6c:3d:8e:23, 30:c6:d7:01:fe:a8, 30:c6:d7:02:4a:00, be:35:a5:fc:1d:3b, 80:9d:65:dd:ff:85, a6:d7:3c:93:52:00, 30:c6:d7:01:fe:a0, 30:c6:d7:04:3c:a8, 30:c6:d7:04:3e:80, 36:94:54:7e:43:64, 36:94:54:7e:41:ac, 4a:27:32:b5:64:4f, 30:c6:d7:04:3c:a0]","[HNU, DIRECT-WLDESKTOP-M86BSVMmsP7, HNU, D210, HNU, HNU, HNU, HNU, HNU, 7682, iQOO 12, HNU, HNU, OPPO A97 5G, AP_GD9239678, DIRECT-1CJ0rEB207105GOqy, HNU, HNU, HNU, RADAR9446551200946, RADAR9446551201342, iQOO Neo7 SE, HNU]","[-97, -58, -97, -70, -88, -64, -94, -98, -79, -92, -91, -77, -67, -79, -98, -94, -78, -63, -99, -99, -87, -99, -68]"
signal_20260108_1726.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[292, 127, 170, 318, 291, 320, 58]","[-80, -94, -98, -109, -110, -110, -114]",[],[],[]
signal_20260108_1726.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[292, 127, 170, 318, 291, 320, 58]","[-80, -94, -98, -109, -110, -110, -114]",[],[],[]
signal_20260108_1726.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[292, 127, 170, 318, 291, 320, 58]","[-80, -94, -98, -109, -110, -110, -114]",[],[],[]
signal_20260108_1726.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[292, 291, 127, 170, 58, 320]","[-73, -102, -103, -106, -116, -119]",[],[],[]
signal_20260108_1726.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[292, 291, 127, 170, 58, 320]","[-73, -102, -103, -106, -116, -119]",[],[],[]
signal_20260108_1726.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[292, 291, 127, 170, 58, 320, 318]","[-74, -91, -106, -109, -119, -122, -125]",[],[],[]
signal_20260108_1726.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[292, 291, 127, 170, 58, 320, 318]","[-74, -91, -106, -109, -119, -122, -125]",[],[],[]
