Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
15:27:37:404,1.8288,1.0087,9.0262,54.319,0.1842,-0.1459,0,-89.557
15:27:37:410,1.792,1.6233,9.4295,54.1114,0.362,0.3141,-0.2097,-89.557
15:27:37:430,0.9168,1.7916,9.5201,54.2507,0.4131,0.0788,-0.3332,-89.557
15:27:37:451,0.5363,1.4029,9.0166,54.1164,0.4184,-0.1608,-0.3173,-89.557
15:27:37:470,0.9988,1.4039,8.5032,54.4461,0.3886,-0.3599,-0.2246,-89.557
15:27:37:491,1.5891,1.4344,8.1621,54.5705,0.2736,-0.1448,-0.2108,-89.557
15:27:37:510,2.1441,1.753,8.2594,54.9088,0.0575,0.4376,-0.2683,-89.557
15:27:37:531,1.8188,2.1097,8.9028,54.9777,-0.0958,0.856,-0.3524,-89.557
15:27:37:550,0.7256,2.2632,8.9254,54.6847,-0.1043,0.9923,-0.395,-89.557
15:27:37:570,-0.2718,2.4713,9.2367,54.4761,-0.0809,1.4469,-0.2332,-89.557
15:27:37:592,-0.5175,2.2966,9.7876,54.3835,-0.0788,1.762,0.0841,-89.557
15:27:37:611,0.0789,2.6632,10.6161,54.1376,0,1.5225,0.2726,-89.557
15:27:37:631,0.4162,2.9098,11.0925,53.9466,0.1192,0.8113,0.3492,-89.557
15:27:37:651,0.3022,2.2674,10.0708,54.0368,0.2172,-0.0575,0.3673,-89.557
15:27:37:671,0.4229,1.8067,8.5543,54.2418,0.1192,-0.5962,0.3343,-89.557
15:27:37:692,0.9301,2.1775,7.8444,54.0605,-0.2566,-0.4951,0.2736,-89.557
15:27:37:711,1.393,2.5766,8.2762,53.9954,-0.6878,-0.132,0.1608,-89.557
15:27:37:731,1.2724,2.3435,9.1126,54.0029,-0.8347,-0.1139,-0.05,-89.557
15:27:37:752,0.9743,2.0376,9.503,53.9004,-0.7154,-0.3151,-0.2321,-89.557
15:27:37:770,0.69,1.8916,9.5045,53.7248,-0.5142,-0.5366,-0.3577,-89.557
15:27:37:792,0.5463,2.043,9.2312,53.7668,-0.3843,-0.5919,-0.4333,-89.557
15:27:37:811,0.297,2.0657,9.1815,53.868,-0.3716,-0.4972,-0.4163,-89.557
15:27:37:831,-0.2671,1.7964,9.437,53.6345,-0.4653,-0.5483,-0.3194,-89.557
15:27:37:851,-0.4238,1.6589,9.5983,53.2993,-0.6537,-0.9124,-0.2055,-89.557
15:27:37:870,0.8321,2.6522,9.7497,53.5547,-0.8155,-1.2265,-0.0064,-89.557
15:27:37:892,1.734,3.4824,9.9394,53.5597,-0.6867,-0.6143,0.4184,-89.557
15:27:37:911,2.0817,2.5433,10.0675,53.5373,-0.1938,0.1469,0.5355,-89.557
15:27:37:931,2.016,1.77,9.6239,53.7812,0.2055,0.6856,0.3843,-89.557
15:27:37:950,1.8852,2.0381,9.1979,53.8954,0.3322,1.0519,0.2757,-89.557
15:27:37:971,1.8674,2.2073,9.5645,53.8339,0.2438,1.1094,0.1746,-89.557
15:27:37:992,1.2604,1.764,10.0697,53.9082,0.1352,0.7825,0.0287,-89.557
15:27:38:011,0.9302,1.7003,9.9474,53.74,0.0841,0.3609,-0.0351,-89.557
15:27:38:030,0.9777,1.9,9.7397,53.7777,0.066,0.2992,-0.0543,-89.557
15:27:38:050,0.8555,1.9109,9.6887,53.5438,0.1171,0.4738,-0.0948,-89.557
15:27:38:071,0.5397,2.0982,9.9745,53.3087,0.1629,0.659,-0.0958,-89.557
15:27:38:091,0.2802,2.3466,10.5833,53.1386,0.1927,0.5568,-0.0735,-89.557
15:27:38:111,0.1421,2.452,10.6748,53.1634,0.1554,0.2906,-0.0724,-89.557
15:27:38:132,-0.0818,2.5344,10.5991,52.9158,0.0021,0.1906,-0.05,-89.557
15:27:38:151,-0.328,2.4875,10.8486,52.9048,-0.1597,0.0202,0.0106,-89.557
15:27:38:171,-0.3985,2.3424,11.0189,52.9706,-0.1533,-0.3428,0.1427,-89.557
15:27:38:192,-0.1192,1.7034,10.6991,53.0849,0.0543,-0.5653,0.2172,-89.557
15:27:38:214,0.2046,0.8855,9.9871,52.8765,0.3183,-0.3332,0.1522,-89.557
15:27:38:232,0.2683,0.602,9.6123,52.8214,0.4312,0.1267,0.0106,-89.557
15:27:38:251,-0.3372,0.6607,9.7652,52.5572,0.3609,0.2236,-0.1011,-89.557
15:27:38:271,-1.0768,0.6458,9.7812,52.3441,0.1576,-0.0852,-0.0447,-89.557
