Time,Meg
16:45:45:977,49.2027
16:45:45:980,49.2087
16:45:45:981,49.2524
16:45:45:982,49.319
16:45:45:987,49.3079
16:45:46:006,49.3033
16:45:46:026,49.1993
16:45:46:047,49.0927
16:45:46:070,49.0642
16:45:46:087,49.0642
16:45:46:106,49.1914
16:45:46:126,49.4177
16:45:46:146,49.7131
16:45:46:166,49.6813
16:45:46:186,49.5074
16:45:46:205,49.2525
16:45:46:225,48.9449
16:45:46:249,48.9234
16:45:46:271,49.1171
16:45:46:286,49.1587
16:45:46:306,49.1693
16:45:46:325,49.2265
16:45:46:346,49.2336
16:45:46:366,49.2541
16:45:46:385,49.3535
16:45:46:403,49.3535
16:45:46:424,49.3452
16:45:46:444,49.5653
16:45:46:504,49.7417
16:45:46:523,49.54
16:45:46:543,49.4145
16:45:46:568,49.2671
16:45:46:584,49.1385
16:45:46:602,49.0973
16:45:46:622,49.1226
16:45:46:643,49.109
16:45:46:667,49.0604
16:45:46:685,49.1868
16:45:46:702,49.2281
16:45:46:722,49.1663
16:45:46:742,49.2377
16:45:46:764,49.1536
16:45:46:781,49.0467
16:45:46:801,49.1166
16:45:46:820,49.0692
16:45:46:841,49.1008
16:45:46:863,49.2261
16:45:46:882,49.3382
16:45:46:899,49.559
16:45:46:920,49.5595
16:45:46:960,49.5084
16:45:46:982,49.5076
16:45:46:998,49.6753
16:45:47:039,49.6993
16:45:47:059,49.6811
16:45:47:082,49.612
16:45:47:099,49.4385
16:45:47:118,49.37
16:45:47:138,49.4327
16:45:47:159,49.3896
16:45:47:179,49.5425
16:45:47:198,49.5628
16:45:47:217,49.4171
16:45:47:237,49.4357
16:45:47:257,49.5195
16:45:47:279,49.6543
16:45:47:301,50.0316
16:45:47:317,50.3166
16:45:47:336,50.3565
16:45:47:357,50.0868
16:45:47:377,49.9439
16:45:47:402,49.9743
16:45:47:417,50.0755
16:45:47:436,50.2729
16:45:47:455,50.2902
16:45:47:475,50.1435
16:45:47:495,49.9985
16:45:47:515,49.9071
16:45:47:535,49.9071
16:45:47:555,49.8656
16:45:47:574,49.71
16:45:47:594,49.703
16:45:47:614,49.6592
16:45:47:634,49.5578
16:45:47:655,49.7823
16:45:47:673,49.8455
16:45:47:695,49.7496
16:45:47:714,49.6969
16:45:47:735,49.6205
16:45:47:754,49.5862
16:45:47:778,49.6743
16:45:47:796,49.9141
16:45:47:815,50.0777
16:45:47:835,50.0809
16:45:47:856,49.9981
16:45:47:877,49.9647
16:45:47:923,49.9029
16:45:47:925,50.0831
16:45:47:934,50.277
16:45:47:954,50.206
16:45:47:975,50.0
16:45:47:995,49.7929
