Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
16:54:37:044,171,,291,-44.0,292,,282,,127,
16:54:39:042,171,-108.0,291,-74.0,292,-86.0,282,,127,-115.0
16:54:41:031,171,-108.0,291,-74.0,292,-86.0,282,,127,-115.0
16:54:43:033,171,-108.0,291,-74.0,292,-86.0,282,,127,-115.0
16:54:45:033,171,-108.0,291,-74.0,292,-86.0,282,,127,-115.0
16:54:47:035,171,-108.0,291,-74.0,292,-86.0,282,,127,-115.0
16:54:49:033,171,-108.0,291,-74.0,292,-86.0,282,,127,-115.0
16:54:51:035,171,-108.0,291,-74.0,292,-86.0,282,,127,-115.0
16:54:53:033,171,-108.0,291,-74.0,292,-86.0,282,,127,-115.0
16:54:55:031,171,-108.0,291,-74.0,292,-86.0,282,,127,-115.0
16:54:57:031,171,-108.0,291,-74.0,292,-86.0,282,,127,-115.0
16:54:59:031,171,-108.0,291,-74.0,292,-86.0,282,,127,-115.0
16:55:01:034,171,-108.0,291,-74.0,292,-86.0,282,,127,-115.0
16:55:03:039,171,-108.0,291,-74.0,292,-86.0,282,,127,-115.0
16:55:05:032,171,-108.0,291,-74.0,292,-86.0,282,,127,-115.0
16:55:07:032,171,-108.0,291,-74.0,292,-86.0,282,,127,-115.0
16:55:09:033,171,-108.0,291,-74.0,292,-86.0,282,,127,-115.0
16:55:11:033,171,-103.0,291,-72.0,292,-81.0,282,,127,
16:55:13:033,171,-103.0,291,-72.0,292,-81.0,282,,127,
16:55:15:030,171,-103.0,291,-72.0,292,-81.0,282,,127,
16:55:17:033,171,-103.0,291,-72.0,292,-81.0,282,,127,
16:55:19:032,171,-103.0,291,-72.0,292,-81.0,282,,127,
16:55:21:031,171,-103.0,291,-72.0,292,-81.0,282,,127,
16:55:23:031,171,-103.0,291,-72.0,292,-81.0,282,,127,
16:55:25:034,171,-103.0,291,-72.0,292,-81.0,282,,127,
16:55:27:031,171,-103.0,291,-72.0,292,-81.0,282,,127,
16:55:29:033,171,-103.0,291,-72.0,292,-81.0,282,,127,
16:55:31:033,171,-103.0,291,-72.0,292,-81.0,282,,127,
16:55:33:033,171,-103.0,291,-72.0,292,-81.0,282,,127,
16:55:35:038,171,-103.0,291,-72.0,292,-81.0,282,,127,
16:55:37:031,171,-103.0,291,-72.0,292,-81.0,282,,127,
16:55:39:031,171,-103.0,291,-72.0,292,-81.0,282,,127,
16:55:41:034,171,-103.0,291,-72.0,292,-81.0,282,,127,
16:55:43:038,171,-103.0,291,-66.0,292,-82.0,282,,127,-104.0
16:55:45:033,171,-103.0,291,-66.0,292,-82.0,282,,127,-104.0
16:55:47:033,171,-103.0,291,-66.0,292,-82.0,282,,127,-104.0
16:55:49:032,171,-103.0,291,-66.0,292,-82.0,282,,127,-104.0
16:55:51:038,171,-124.0,291,-97.0,292,,282,-81.0,127,-125.0
16:55:53:030,171,-124.0,291,-97.0,292,,282,-81.0,127,-125.0
16:55:55:032,171,-124.0,291,-97.0,292,,282,-81.0,127,-125.0
16:55:57:033,171,-124.0,291,-97.0,292,,282,-81.0,127,-125.0
16:55:59:037,171,-124.0,291,-97.0,292,,282,-81.0,127,-125.0
16:56:01:031,171,-124.0,291,-97.0,292,,282,-81.0,127,-125.0
16:56:03:031,171,-124.0,291,-97.0,292,,282,-81.0,127,-125.0
16:56:05:035,171,-124.0,291,-97.0,292,,282,-81.0,127,-125.0
16:56:07:038,171,-124.0,291,-97.0,292,,282,-81.0,127,-125.0
16:56:09:034,171,-124.0,291,-97.0,292,,282,-81.0,127,-125.0
16:56:11:041,171,-124.0,291,-97.0,292,,282,-81.0,127,-125.0
16:56:13:033,171,-124.0,291,-97.0,292,,282,-81.0,127,-125.0
16:56:15:037,171,,291,,292,,282,-60.0,127,
16:56:17:033,171,,291,,292,,282,-61.0,127,
16:56:19:033,171,,291,,292,,282,-61.0,127,
16:56:21:033,171,,291,,292,,282,-61.0,127,
