Time,Meg
16:29:59:746,42.141
16:29:59:781,42.2345
16:29:59:786,43.0984
16:29:59:806,42.2345
16:29:59:825,41.5229
16:29:59:846,42.1277
16:29:59:864,42.1277
16:29:59:884,42.4025
16:29:59:905,41.4755
16:29:59:925,41.2656
16:29:59:947,41.2561
16:29:59:964,41.4971
16:29:59:991,41.212
16:30:00:004,41.0931
16:30:00:023,41.6582
16:30:00:046,40.8164
16:30:00:064,41.5964
16:30:00:084,40.6704
16:30:00:103,40.6474
16:30:00:127,40.8786
16:30:00:149,40.8377
16:30:00:163,40.8145
16:30:00:184,41.0844
16:30:00:203,41.0679
16:30:00:223,41.3512
16:30:00:245,40.4427
16:30:00:262,40.436
16:30:00:283,40.7731
16:30:00:302,39.8787
16:30:00:323,41.125
16:30:00:344,41.4949
16:30:00:362,41.4778
16:30:00:392,41.0157
16:30:00:404,40.9831
16:30:00:423,42.1705
16:30:00:444,41.2564
16:30:00:461,41.4213
16:30:00:481,41.8822
16:30:00:502,42.3912
16:30:00:526,42.1552
16:30:00:541,42.186
16:30:00:561,42.4608
16:30:00:584,42.2577
16:30:00:601,42.218
16:30:00:621,41.9334
16:30:00:640,42.2873
16:30:00:660,40.9284
16:30:00:682,40.7057
16:30:00:699,40.447
16:30:00:721,43.2933
16:30:00:740,43.2974
16:30:00:760,43.0936
16:30:00:792,43.08
16:30:00:801,43.08
16:30:00:823,43.0663
16:30:00:840,42.3034
16:30:00:859,42.2515
16:30:00:880,42.1824
16:30:00:900,42.1689
16:30:00:922,43.0299
16:30:00:939,41.6798
16:30:00:959,42.4373
16:30:00:982,42.2989
16:30:00:998,43.0217
16:30:01:021,42.5666
16:30:01:038,42.5924
16:30:01:058,42.5666
16:30:01:083,42.6419
16:30:01:097,42.6535
16:30:01:120,42.0411
16:30:01:138,41.813
16:30:01:158,41.813
16:30:01:192,41.8021
16:30:01:197,41.7944
16:30:01:219,41.7654
16:30:01:237,41.1666
16:30:01:257,41.156
16:30:01:279,41.1527
16:30:01:298,41.1527
16:30:01:317,40.9839
16:30:01:336,41.1237
16:30:01:357,41.0841
16:30:01:383,41.0478
16:30:01:401,41.0327
16:30:01:416,41.0116
16:30:01:436,40.0973
16:30:01:456,40.84
16:30:01:485,40.8113
16:30:01:500,40.7357
16:30:01:519,39.8536
16:30:01:536,40.6328
16:30:01:555,39.9964
16:30:01:592,39.9945
16:30:01:596,39.9945
16:30:01:616,39.9945
16:30:01:636,40.5258
16:30:01:656,39.9679
16:30:01:684,39.894
16:30:01:700,39.964
16:30:01:728,38.8023
16:30:01:737,39.6427
16:30:01:755,40.2258
16:30:01:783,39.6975
16:30:01:796,39.6975
16:30:01:817,39.1883
16:30:01:835,40.6251
16:30:01:855,40.0928
16:30:01:883,38.6962
16:30:01:897,39.5818
16:30:01:917,39.1523
16:30:01:936,39.1239
16:30:01:960,39.1024
16:30:01:993,39.6472
16:30:01:995,39.6472
16:30:02:015,39.6218
16:30:02:036,39.3226
16:30:02:056,37.9948
16:30:02:080,38.894
16:30:02:098,39.2738
16:30:02:115,38.9263
16:30:02:135,38.9263
16:30:02:155,38.902
16:30:02:184,37.6123
16:30:02:196,38.5314
16:30:02:216,38.5314
16:30:02:235,38.515
16:30:02:254,38.8562
16:30:02:289,38.4596
16:30:02:295,38.7716
16:30:02:315,37.8604
16:30:02:335,38.3685
16:30:02:355,38.7206
16:30:02:392,38.2659
16:30:02:413,38.2355
16:30:02:430,37.2851
16:30:02:451,38.6014
16:30:02:469,38.2179
16:30:02:490,38.2179
16:30:02:511,38.2179
16:30:02:530,37.2808
16:30:02:550,37.345
16:30:02:569,38.2498
16:30:02:589,38.2322
16:30:02:612,37.3739
16:30:02:629,38.3143
16:30:02:649,38.2967
16:30:02:667,37.9535
16:30:02:688,37.9488
16:30:02:712,38.067
16:30:02:729,38.0434
16:30:02:749,38.0375
16:30:02:768,38.0374
16:30:02:793,38.0374
16:30:02:812,38.0257
16:30:02:829,38.0257
16:30:02:848,37.8475
16:30:02:867,37.8599
16:30:02:887,37.7308
16:30:02:910,38.0375
16:30:02:928,38.0375
16:30:02:948,38.0138
16:30:02:967,37.9902
16:30:02:987,37.9476
16:30:03:007,37.6878
16:30:03:027,37.6228
16:30:03:047,37.6161
16:30:03:066,37.6161
16:30:03:087,37.5618
16:30:03:106,37.533
16:30:03:127,37.5647
16:30:03:146,37.5249
16:30:03:165,37.507
16:30:03:192,37.507
16:30:03:205,37.507
16:30:03:227,37.507
16:30:03:245,37.4879
16:30:03:265,38.44
16:30:03:285,38.2796
16:30:03:305,38.5275
16:30:03:326,38.499
16:30:03:344,38.4758
16:30:03:364,37.5174
16:30:03:389,37.9286
16:30:03:404,37.9357
16:30:03:426,38.3051
16:30:03:443,38.8432
16:30:03:464,37.8604
16:30:03:484,38.3686
16:30:03:503,37.8533
16:30:03:525,38.2913
16:30:03:543,37.3362
16:30:03:563,38.6353
16:30:03:594,38.6044
16:30:03:603,38.255
16:30:03:626,38.255
16:30:03:643,38.2488
16:30:03:663,38.2249
16:30:03:683,38.5464
16:30:03:703,38.5464
16:30:03:737,38.5213
16:30:03:742,38.4837
16:30:03:762,38.528
16:30:03:785,38.5037
16:30:03:802,38.493
16:30:03:825,38.5104
16:30:03:841,38.9027
16:30:03:862,38.8609
16:30:03:886,38.9404
16:30:03:901,38.8742
16:30:03:923,38.974
16:30:03:941,38.974
16:30:03:961,38.9567
16:30:03:997,39.3802
16:30:04:001,39.3566
16:30:04:021,38.9895
16:30:04:041,38.9824
16:30:04:060,38.9824
16:30:04:081,39.8972
16:30:04:100,38.9538
16:30:04:123,38.8742
16:30:04:140,38.8813
16:30:04:160,38.8813
16:30:04:183,38.9137
16:30:04:200,39.3013
16:30:04:219,39.2804
16:30:04:240,39.2802
16:30:04:259,39.2878
16:30:04:282,39.2952
16:30:04:298,39.2948
16:30:04:319,39.7226
16:30:04:339,39.7399
16:30:04:359,38.8513
16:30:04:394,39.3215
16:30:04:399,39.3053
16:30:04:419,39.8046
16:30:04:439,39.7951
16:30:04:460,40.3091
16:30:04:480,40.2805
16:30:04:498,40.7848
16:30:04:518,40.2519
16:30:04:538,40.7761
16:30:04:558,41.3283
16:30:04:584,41.3177
16:30:04:599,41.2918
16:30:04:617,41.2621
16:30:04:637,41.2067
16:30:04:657,41.1809
16:30:04:681,40.3237
16:30:04:695,40.3338
16:30:04:716,40.9272
16:30:04:737,41.4685
16:30:04:758,41.5138
16:30:04:792,41.4554
16:30:04:801,41.4186
16:30:04:818,41.4496
16:30:04:839,42.2739
16:30:04:855,42.0364
16:30:04:881,42.0217
16:30:04:895,42.803
16:30:04:915,42.9009
16:30:04:936,43.6377
16:30:04:957,43.5482
16:30:04:983,43.5482
16:30:04:994,43.4586
16:30:05:015,43.4334
16:30:05:039,43.4223
16:30:05:056,43.3961
16:30:05:083,44.1621
16:30:05:095,44.169
16:30:05:115,44.1581
16:30:05:136,44.7242
16:30:05:156,44.6649
16:30:05:191,45.2928
16:30:05:195,45.2436
16:30:05:215,44.5448
16:30:05:236,44.5568
16:30:05:259,44.5447
16:30:05:281,45.1935
16:30:05:295,45.2229
16:30:05:315,45.2229
16:30:05:336,45.3004
16:30:05:355,45.9441
16:30:05:382,46.0457
16:30:05:394,46.0457
16:30:05:415,46.0332
16:30:05:435,46.7289
16:30:05:456,46.7281
16:30:05:485,47.4618
16:30:05:494,47.4488
16:30:05:514,47.6095
16:30:05:535,48.3959
16:30:05:556,49.1509
16:30:05:592,48.5232
16:30:05:611,48.5371
16:30:05:631,49.2774
16:30:05:653,50.0001
16:30:05:670,49.2079
16:30:05:691,49.9327
16:30:05:710,50.8267
16:30:05:735,50.2565
16:30:05:752,50.2856
16:30:05:770,50.2856
16:30:05:791,50.8718
16:30:05:810,50.9862
16:30:05:830,51.5627
16:30:05:851,51.4708
16:30:05:869,51.5412
16:30:05:889,52.2487
16:30:05:909,52.8562
16:30:05:929,52.8445
16:30:05:951,52.8992
16:30:05:970,53.4755
16:30:05:992,53.465
16:30:06:008,53.465
16:30:06:029,54.3219
16:30:06:051,54.2938
16:30:06:068,54.3228
16:30:06:088,54.9506
16:30:06:108,54.9386
16:30:06:128,54.9123
16:30:06:149,55.0065
16:30:06:168,54.9946
16:30:06:188,54.9827
16:30:06:208,55.9112
16:30:06:228,56.1047
16:30:06:248,56.0614
16:30:06:268,56.0327
16:30:06:288,56.2504
16:30:06:307,56.1917
16:30:06:327,56.1477
16:30:06:347,56.1123
16:30:06:367,55.3013
16:30:06:395,56.2573
16:30:06:406,56.2459
16:30:06:427,55.6807
16:30:06:447,56.6937
16:30:06:467,56.3784
16:30:06:487,56.5006
16:30:06:506,56.5006
16:30:06:527,56.5006
16:30:06:545,56.695
16:30:06:565,56.1602
16:30:06:585,56.3685
16:30:06:605,56.3685
16:30:06:625,57.2124
16:30:06:644,56.5076
16:30:06:667,56.5076
16:30:06:686,56.3229
16:30:06:704,56.8092
16:30:06:724,55.48
16:30:06:744,56.3229
16:30:06:766,56.5076
16:30:06:790,55.6679
16:30:06:804,55.1695
16:30:06:823,55.6679
16:30:06:843,55.48
16:30:06:864,55.9744
16:30:06:883,55.48
16:30:06:903,54.6239
16:30:06:923,55.9743
16:30:06:943,55.1454
16:30:06:964,54.4997
16:30:06:984,55.8519
16:30:07:002,54.2364
16:30:07:022,54.2364
16:30:07:043,54.4488
16:30:07:062,54.4488
16:30:07:083,54.2046
16:30:07:102,54.2046
16:30:07:122,53.4128
16:30:07:142,53.4128
16:30:07:165,52.6435
16:30:07:194,53.2419
16:30:07:202,53.2419
16:30:07:222,51.8709
16:30:07:241,51.9729
16:30:07:261,51.6328
16:30:07:282,52.2297
16:30:07:301,51.1748
16:30:07:321,50.9035
16:30:07:341,50.59
16:30:07:360,50.59
16:30:07:383,50.59
16:30:07:399,49.8467
16:30:07:420,50.59
16:30:07:442,49.9872
16:30:07:465,49.9872
16:30:07:482,49.9872
16:30:07:500,49.4288
16:30:07:520,49.9872
16:30:07:541,49.4288
16:30:07:559,48.6605
16:30:07:593,49.4288
16:30:07:599,49.4288
16:30:07:619,48.6605
16:30:07:639,47.782
16:30:07:660,47.782
16:30:07:679,47.4754
16:30:07:699,48.2686
16:30:07:719,48.2685
16:30:07:753,47.2063
16:30:07:758,47.2063
16:30:07:789,46.4429
16:30:07:798,46.4429
16:30:07:818,46.4429
16:30:07:837,46.4429
16:30:07:858,46.0213
16:30:07:883,46.6288
16:30:07:899,45.9017
16:30:07:918,45.9017
16:30:07:938,46.5409
16:30:07:957,45.8228
16:30:07:992,44.8792
16:30:07:997,44.8792
16:30:08:017,46.2563
16:30:08:037,45.3454
16:30:08:056,45.3454
16:30:08:081,45.1443
16:30:08:099,47.4226
16:30:08:119,46.9333
16:30:08:136,46.1689
16:30:08:157,45.6764
16:30:08:182,46.6073
16:30:08:196,46.1806
16:30:08:215,46.7046
16:30:08:235,47.9908
16:30:08:255,49.1071
16:30:08:284,49.9924
16:30:08:296,48.5339
16:30:08:315,45.8112
16:30:08:338,43.624
16:30:08:354,43.2987
16:30:08:395,43.7652
16:30:08:397,43.6285
16:30:08:415,42.0848
16:30:08:435,40.7507
16:30:08:455,39.9235
16:30:08:480,37.2438
16:30:08:496,37.4439
16:30:08:515,34.8746
16:30:08:535,34.1371
16:30:08:559,31.7901
16:30:08:583,31.4078
16:30:08:596,30.9931
16:30:08:615,31.5187
16:30:08:635,31.2162
16:30:08:656,29.7984
16:30:08:683,30.5921
16:30:08:695,31.343
16:30:08:716,31.9148
16:30:08:736,32.3065
16:30:08:757,35.369
16:30:08:796,38.2172
16:30:08:797,38.6477
16:30:08:815,37.8367
16:30:08:835,37.4631
16:30:08:854,37.2713
16:30:08:881,36.4756
16:30:08:895,36.8824
16:30:08:923,37.9714
16:30:08:935,38.2875
16:30:08:956,38.2836
16:30:08:984,38.1848
16:30:09:000,38.0914
16:30:09:015,37.4993
16:30:09:035,37.5474
16:30:09:055,37.5854
16:30:09:084,37.3237
16:30:09:095,36.8847
16:30:09:114,37.1262
16:30:09:134,37.0324
16:30:09:155,36.9927
16:30:09:192,36.0413
16:30:09:211,35.8714
16:30:09:231,36.6901
16:30:09:250,36.6286
16:30:09:269,36.5456
16:30:09:293,36.4904
16:30:09:309,36.0524
16:30:09:329,35.9986
16:30:09:349,36.2212
16:30:09:369,36.1105
16:30:09:391,36.0632
16:30:09:409,35.4923
16:30:09:429,35.7094
16:30:09:448,36.3244
16:30:09:468,36.4494
16:30:09:491,36.3722
16:30:09:509,35.0327
16:30:09:530,34.7868
16:30:09:548,35.4347
16:30:09:567,34.1825
16:30:09:593,34.3728
16:30:09:609,34.2517
16:30:09:627,34.7773
16:30:09:648,35.0385
16:30:09:667,34.7316
16:30:09:688,35.6466
16:30:09:707,35.6587
16:30:09:727,35.2382
16:30:09:759,36.3445
16:30:09:765,35.4042
16:30:09:786,37.2209
16:30:09:807,36.8042
16:30:09:826,36.7974
16:30:09:846,37.3366
16:30:09:865,36.6847
16:30:09:886,37.4506
16:30:09:907,37.442
16:30:09:925,37.9693
16:30:09:945,37.2882
16:30:09:965,38.5173
16:30:09:992,37.9867
16:30:10:008,37.9259
16:30:10:025,37.6838
16:30:10:046,37.9046
16:30:10:064,37.8863
16:30:10:085,37.8236
16:30:10:107,38.44
16:30:10:124,38.5222
16:30:10:144,38.496
16:30:10:164,38.4832
16:30:10:184,37.5495
16:30:10:206,38.4492
16:30:10:223,38.4908
16:30:10:243,38.4661
16:30:10:263,38.4418
16:30:10:283,38.9532
16:30:10:305,38.7213
16:30:10:323,38.2425
16:30:10:343,38.6233
16:30:10:362,38.2015
16:30:10:394,37.1132
16:30:10:405,37.1395
16:30:10:423,36.4534
16:30:10:443,38.2205
16:30:10:462,38.3423
16:30:10:484,38.2501
16:30:10:505,37.5021
16:30:10:522,37.4935
16:30:10:542,38.3118
16:30:10:562,38.3116
16:30:10:585,37.4529
16:30:10:606,37.2939
16:30:10:622,36.8879
16:30:10:642,36.8725
16:30:10:661,36.6151
16:30:10:684,36.3137
16:30:10:701,36.1455
16:30:10:722,36.842
16:30:10:741,36.7295
16:30:10:761,36.9982
16:30:10:792,36.8738
16:30:10:800,36.8711
16:30:10:821,36.6641
16:30:10:840,35.7451
16:30:10:859,36.4663
16:30:10:880,36.3805
16:30:10:900,36.6923
16:30:10:921,36.6118
16:30:10:939,36.7911
16:30:10:960,36.2108
16:30:10:985,36.0115
16:30:10:999,36.7726
16:30:11:018,35.4912
16:30:11:039,36.0283
16:30:11:059,36.0113
16:30:11:083,35.9869
16:30:11:098,35.3281
16:30:11:122,35.2512
16:30:11:138,35.1301
16:30:11:159,35.0672
16:30:11:194,34.6343
16:30:11:206,34.5971
16:30:11:220,34.5486
16:30:11:238,34.206
16:30:11:257,34.6218
16:30:11:281,34.0254
16:30:11:298,34.2504
16:30:11:320,34.8516
16:30:11:337,34.589
16:30:11:357,33.552
16:30:11:382,34.0868
16:30:11:397,33.8879
16:30:11:419,33.6099
16:30:11:439,34.1402
16:30:11:457,33.0237
16:30:11:483,33.7469
16:30:11:496,33.7094
16:30:11:516,33.6027
16:30:11:538,33.2455
16:30:11:556,33.0169
16:30:11:592,33.4266
16:30:11:595,33.3548
16:30:11:616,34.2118
16:30:11:638,34.1763
16:30:11:655,34.1841
16:30:11:680,33.6592
16:30:11:696,33.5651
16:30:11:715,33.3851
16:30:11:738,33.5309
16:30:11:771,32.9999
16:30:11:781,32.4629
16:30:11:795,32.3381
16:30:11:816,32.656
16:30:11:836,33.3499
16:30:11:860,32.2414
16:30:11:883,32.3535
16:30:11:896,32.2969
16:30:11:915,32.2122
16:30:11:938,32.0605
16:30:11:955,32.6167
16:30:11:992,32.8803
16:30:11:994,32.3519
16:30:12:015,32.0849
16:30:12:037,32.0759
16:30:12:055,31.8713
16:30:12:082,31.5673
16:30:12:095,32.4123
16:30:12:115,32.4618
16:30:12:136,32.7001
16:30:12:155,32.3616
16:30:12:189,32.2864
16:30:12:194,32.1808
16:30:12:215,32.0802
16:30:12:236,32.8043
16:30:12:256,31.9949
16:30:12:283,31.8966
16:30:12:303,31.882
16:30:12:318,32.5138
16:30:12:335,31.8373
16:30:12:355,32.5642
16:30:12:392,32.5715
16:30:12:394,32.5487
16:30:12:414,31.5931
16:30:12:435,33.2308
16:30:12:454,32.1758
16:30:12:481,32.366
16:30:12:495,33.6963
16:30:12:519,32.8724
16:30:12:536,32.858
16:30:12:556,32.8763
16:30:12:584,33.1184
16:30:12:595,33.099
16:30:12:615,32.8088
16:30:12:635,32.792
16:30:12:654,32.8334
