Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
16:29:59:746,282,-75.0,127,-115.0,171,-113.0,0,-117.0,139,
16:30:01:737,282,-75.0,127,,171,-109.0,0,-112.0,139,
16:30:03:742,282,-75.0,127,,171,-109.0,0,-112.0,139,
16:30:05:752,282,-75.0,127,,171,-109.0,0,-112.0,139,
16:30:07:753,282,-44.0,127,,171,,0,,139,
16:30:09:759,282,-44.0,127,,171,,0,,139,
16:30:11:738,282,-44.0,127,,171,,0,,139,
16:30:13:746,282,-66.0,127,-112.0,171,-107.0,0,,139,
16:30:15:751,282,-66.0,127,-112.0,171,-107.0,0,,139,
16:30:17:739,282,-67.0,127,-113.0,171,-109.0,0,-115.0,139,
16:30:19:747,282,-67.0,127,-113.0,171,-109.0,0,-115.0,139,
16:30:21:734,282,-67.0,127,-113.0,171,-109.0,0,-115.0,139,
16:30:23:743,282,-71.0,127,-113.0,171,,0,,139,
16:30:25:752,282,-71.0,127,-113.0,171,,0,,139,
16:30:27:759,282,-83.0,127,-113.0,171,,0,,139,
16:30:29:767,282,-83.0,127,-113.0,171,,0,,139,
16:30:31:755,282,-83.0,127,-113.0,171,,0,,139,
16:30:33:763,282,-84.0,127,-116.0,171,,0,,139,
16:30:35:756,282,-84.0,127,-116.0,171,,0,,139,
16:30:37:759,282,-84.0,127,-116.0,171,,0,,139,
16:30:39:768,282,-84.0,127,-116.0,171,,0,,139,
16:30:41:756,282,-84.0,127,-116.0,171,,0,,139,
16:30:43:764,282,-84.0,127,-116.0,171,,0,,139,
16:30:45:755,282,-84.0,127,-116.0,171,,0,,139,
16:30:47:760,282,-96.0,127,-112.0,171,,0,,139,-114.0
16:30:49:771,282,,127,,171,,0,,139,
16:30:51:756,282,,127,,171,,0,,139,
16:30:53:764,282,,127,,171,,0,,139,
16:30:55:757,282,-44.0,127,,171,,0,,139,
16:30:57:760,282,-44.0,127,,171,,0,,139,
16:30:59:768,282,-44.0,127,,171,,0,,139,
16:31:01:756,282,-44.0,127,,171,,0,,139,
16:31:03:764,282,-44.0,127,,171,,0,,139,
16:31:05:759,282,-44.0,127,,171,,0,,139,
16:31:07:760,282,-44.0,127,,171,,0,,139,
16:31:09:768,282,-44.0,127,,171,,0,,139,
16:31:11:756,282,-44.0,127,,171,,0,,139,
16:31:13:765,282,-44.0,127,,171,,0,,139,
