Time,Meg
15:24:24:142,49.4189
15:24:24:162,49.2099
15:24:24:180,48.944
15:24:24:200,48.9262
15:24:24:220,49.0309
15:24:24:241,49.1554
15:24:24:260,49.3234
15:24:24:280,49.3754
15:24:24:300,49.5374
15:24:24:320,49.3332
15:24:24:341,49.1769
15:24:24:361,49.1669
15:24:24:380,49.2541
15:24:24:400,49.708
15:24:24:420,49.4094
15:24:24:441,49.5606
15:24:24:460,49.5116
15:24:24:480,49.3421
15:24:24:500,49.2453
15:24:24:520,49.1778
15:24:24:543,49.2963
15:24:24:561,49.2967
15:24:24:580,49.1998
15:24:24:600,49.2028
15:24:24:620,49.2775
15:24:24:643,49.2086
15:24:24:660,49.3934
15:24:24:680,49.457
15:24:24:700,49.557
15:24:24:720,49.4181
15:24:24:741,49.404
15:24:24:760,49.5904
15:24:24:780,49.741
15:24:24:801,49.7479
15:24:24:821,49.5598
15:24:24:841,49.6709
15:24:24:860,49.355
15:24:24:881,49.2825
15:24:24:900,49.3537
15:24:24:923,49.2675
15:24:24:941,49.2753
15:24:24:961,49.7308
15:24:24:981,49.653
15:24:25:001,49.7549
15:24:25:023,49.6025
15:24:25:042,49.54
15:24:25:061,49.3363
15:24:25:081,49.5211
15:24:25:101,49.7774
15:24:25:123,49.6921
15:24:25:142,49.7127
15:24:25:161,49.6461
15:24:25:181,49.3931
15:24:25:201,49.384
15:24:25:221,49.5555
15:24:25:241,49.1829
15:24:25:261,49.3642
15:24:25:281,49.5672
15:24:25:304,49.4935
15:24:25:322,49.4562
15:24:25:342,49.1859
15:24:25:361,49.3256
15:24:25:381,49.3991
15:24:25:404,49.5841
15:24:25:421,50.0043
15:24:25:442,50.0532
15:24:25:461,49.8497
15:24:25:481,49.7832
15:24:25:502,49.544
15:24:25:521,49.4975
15:24:25:541,49.605
15:24:25:561,49.3802
15:24:25:581,49.3154
15:24:25:602,49.3122
15:24:25:621,49.1314
15:24:25:641,48.9535
15:24:25:661,48.7972
15:24:25:681,48.7246
15:24:25:701,48.4839
15:24:25:721,48.5062
15:24:25:742,48.7906
15:24:25:761,48.649
