Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
15:22:21:571,282,-81,127,-113,171,,390,,143,
15:22:23:587,282,-81,127,-113,171,,390,,143,
15:22:25:600,282,-81,127,-113,171,,390,,143,
15:22:27:572,282,-81,127,-113,171,,390,,143,
15:22:29:571,282,-81,127,-113,171,,390,,143,
15:22:31:572,282,-81,127,-113,171,,390,,143,
15:22:33:570,282,-81,127,-113,171,,390,,143,
15:22:45:088,282,-81,127,-113,171,,390,,143,
15:22:46:941,282,-81,127,-113,171,,390,,143,
15:22:48:941,282,-81,127,-113,171,,390,,143,
15:22:50:942,282,-81,127,-113,171,,390,,143,
15:22:52:941,282,-81,127,-113,171,,390,,143,
15:22:54:941,282,-81,127,-113,171,,390,,143,
15:22:56:941,282,-81,127,-113,171,,390,,143,
15:22:58:941,282,-81,127,-113,171,,390,,143,
15:23:00:941,282,-81,127,-113,171,,390,,143,
15:23:02:941,282,-81,127,-113,171,,390,,143,
15:23:04:942,282,-81,127,-113,171,,390,,143,
15:23:06:941,282,-81,127,-113,171,,390,,143,
15:23:08:942,282,-81,127,-113,171,,390,,143,
15:23:10:942,282,-81,127,-113,171,,390,,143,
15:23:12:941,282,-81,127,-113,171,,390,,143,
15:23:14:942,282,-81,127,-113,171,,390,,143,
15:23:16:942,282,-81,127,-113,171,,390,,143,
15:23:18:942,282,-81,127,-113,171,,390,,143,
15:23:20:941,282,-81,127,-113,171,,390,,143,
15:23:22:942,282,-81,127,-113,171,,390,,143,
15:23:24:942,282,-81,127,-113,171,,390,,143,
15:23:26:942,282,-81,127,-113,171,,390,,143,
15:23:28:942,282,-81,127,-113,171,,390,,143,
15:23:30:941,282,-81,127,-113,171,,390,,143,
15:23:32:942,282,-81,127,-113,171,,390,,143,
15:23:34:941,282,-81,127,-113,171,,390,,143,
15:23:36:941,282,-81,127,-113,171,,390,,143,
15:23:38:942,282,-81,127,-113,171,,390,,143,
15:23:40:941,282,-81,127,-113,171,,390,,143,
15:23:42:941,282,-81,127,-113,171,,390,,143,
15:23:44:942,282,-81,127,-113,171,,390,,143,
15:23:46:941,282,-81,127,-113,171,,390,,143,
15:23:48:946,282,-81,127,-113,171,,390,,143,
15:23:50:970,282,-81,127,-113,171,,390,,143,
15:23:52:970,282,-81,127,-113,171,,390,,143,
15:23:54:941,282,-89,127,-125,171,-126.0,390,,143,
15:23:56:941,282,-89,127,-125,171,-126.0,390,,143,
15:23:58:945,282,-89,127,-125,171,-126.0,390,,143,
15:24:00:942,282,-89,127,-125,171,-126.0,390,,143,
15:24:02:942,282,-89,127,-125,171,-126.0,390,,143,
15:24:04:941,282,-89,127,-125,171,-126.0,390,,143,
15:24:06:942,282,-89,127,-125,171,-126.0,390,,143,
15:24:08:941,282,-89,127,-125,171,-126.0,390,,143,
